# Source: Appendix D BOQ For MEI Pkg I-3.xlsx
# Sheet: Pkg I-3-005
"# Rows: 84, Cols: 25"






NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,MATERIAL,Material Supplied By,UNIT,Qty.,,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 40 
General",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
PK-0005-Green,4015-SC-0003A,Eletronic Belt Scale,"Adaptation bandwidth: 2200mm
Weighing range: 4000t/h
Weighing precision: +/- 0.25%  
Belt speed: V=2.54 m/s
Roll angle: 45°
Power: 3kw ",construction material:Tubular carbon steel,Contractor,EA,1,1,0.3,0.3,,,,,,,,,,,4814.81481481482
PK-0005-Green,4015-SC-0003B,Eletronic Belt Scale,"Adaptation bandwidth: 2200mm
Weighing range: 4000t/h
Weighing precision: +/- 0.25%  
Belt speed: V=2.54 m/s
Roll angle: 45°
Power: 3kw ",construction material:Tubular carbon steel,Contractor,EA,1,1,0.3,0.3,,,,,,,,,,,4814.81481481482
PK-0005-Green,4015-MS-0001A,Magnetic Separator,"Applicable conveying bandwidth: 1000mm
Rated hanging height:TBD
Magnetic field strength:TBD
Excitation power:TBD
Drive motor power:30 kw 
Blower power:TBD
Length:3000mm",MOC: CS,Contractor,EA,1,1,11.5,11.5
PK-0005-Green,4015-MS-0001B,Magnetic Separator,"Applicable conveying bandwidth: 1000mm
Rated hanging heigh: TBD
Magnetic field strength: TBD
Excitation power: TBD
Drive motor power: 30 kw 
Blower power:TBD
Length: 3000mm",MOC: CS,Contractor,EA,1,1,11.5,11.5
PK-0005-Green,4015-MS-0002A,Magnetic Separator,"Applicable conveying bandwidth: 2200mm
Rated hanging height:TBD
Magnetic field strength: TBD
Excitation power: TBD
Drive motor power: 30 kw 
Blower power: TBD
Length: 3700mm
",MOC: CS,Contractor,EA,1,1,7,7,,,,,,,,,,,25925.9259259259
PK-0005-Green,4015-MS-0002B,Magnetic Separator,"Applicable conveying bandwidth: 2200mm
Rated hanging height:TBD
Magnetic field strength: TBD
Excitation power: TBD
Drive motor power: 30 kw 
Blower power: TBD
Length: 3700mm
",MOC: CS,Contractor,EA,1,1,7,7,,,,,,,,,,,25925.9259259259
PK-0005-Green,4015-DV-0001A,Diverter Gate,"Capacity:600t/h
Inlet size:TBD
Outlet size:TBD
Power:3kw (continuous)","Gate material:316 L
Bypass material:316 L
Reinforcements Type/Material:L100/S275JR ",Contractor,EA,1,1,0.6,0.6
PK-0005-Green,4015-DV-0001B,Diverter Gate,"Capacity: 600t/h
Inlet size: TBD
Outlet size: TBD
Power:3kw (continuous)","Gate material:316 L
Bypass material:316 L
Reinforcements Type/Material:L100/S275JR ",Contractor,EA,1,1,0.6,0.6
PK-0005-Green,4015-TT-0011,Transfer Tower,"W= 9500 mm
L= 9500 mm
H= 10342mm
Qty. of floor & roof: 2","structure: CS
Roofing: trapezoidal sheet metal",Contractor,EA,1,1,42,42
PK-0005-Green,4015-TT-0012,Transfer Tower,"W=  15500mm
L= 16000mm
H= 21752mm
Qty. of floor & roof: 4","structure: CS
Roofing: trapezoidal sheet metal",Contractor,EA,1,1,346,346
PK-0005-Green,4015-TT-0014,Transfer Tower,"W=15000 mm
L=15000  mm
H= 13000mm
Qty. of floor & roof: 2","structure: CS
Roofing: trapezoidal sheet metal",Contractor,EA,1,1,126,126,,,,,,,,,,,466666.666666667
PK-0005-Brown,4015-CV-0004A,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=333000mm
Length (Brown)=201500mm
Power：450kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,"weight within brown area: 133t
(total wight of CV-0004A: 220t)","weight within brown area: 133t
(total wight of CV-0004A: 220t)"
PK-0005-Brown,4015-CV-0004B,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=332150mm
Length (Brown)=200150mm
Power：450kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,"weight within brown area: 133t
(total wight of CV-0004B: 220t)","weight within brown area: 133t
(total wight of CV-0004B: 220t)"
PK-0005-Brown,4015-CV-0005A,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h 
Total Length=296300mm
Power：450KW","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,350,350
