# Source: Appendix D.1 BOQ For Firefighting Pipe Prefabrication Rev.A.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D SUBCONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT: Fire-fighting Piping (3-inch and above) Prefabrication Works on FOB Basis,,,,
0.SUBCONTRACT PRICE SUMMARY,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (USD),DAY RATE FOR WORK (USD),DAY RATE FOR STAND-BY (USD)
60,"External Line Up Clamp, 52""",,,
61,"External Line Up Clamp, 48""",,,
61,"External Line Up Clamp, 36""",,,
62,"External Line Up Clamp, 24""",,,
62,"External Line Up Clamp, 20""",,,
63,"External Line Up Clamp, 18""",,,
63,"External Line Up Clamp, 16""",,,
64,"Induction Heating Unit, complete",,,
64,"Generator, 20 KVA",,,
65,"Generator, 25 KVA",,,
65,"Generator, 50 KVA",,,
66,"Generator, 100 KVA",,,
66,"Generator, 130 KVA",,,
67,"Generator, 220 KVA",,,
67,"Generator, 250 KVA",,,
68,Generator 360 KVA,,,
68,Generator 500 KVA,,,
69,"Floodlight, 3,5 kw",,,
69,Grit Blast unit + compressor ,,,
70,Padding m/c + dozer,,,
70,Padding m/c + loader,,,
71,"Thrustbore Machine, 30"" P/l, compl.",,,
71,"Thrustbore Machine, 24"" P/l, compl.",,,
72,"Thrustbore Machine for 48""P/l., compl.",,,
72,"Thrustbore Machine for 52"" P/l, compl.",,,
73,"Microtunnelling Machine, 30"" P/l",,,
73,"Microtunnelling Machine, 24"" P/l",,,
74,"Microtunnelling Machine, 48"" P/l",,,
74,"Microtunnelling Machine, 52"" P/l",,,
75,"Horizontal Drilling Rig, 30"" P/l comp.",,,
75,"Horizontal Drilling Rig, 24"" P/l comp.",,,
76,"Horizontal Drilling Rig, 48"" P/l comp.",,,
76,"Horizontal Drilling Rig, 52"" P/l comp.",,,
77,"Container Office, 20""",,,
77,"Container Store, 20""",,,
78,"Workshop Container, 20""",,,
78,"Workshop Container, 40""",,,
79,"Set:Cleaning, Gauging and Hydrotest Eqp.",,,
79,Air Drying Equipment,,,
80,"Concrete Mixer Truck, 5 - 7 M3",,,
80,"Concrete Mixer Truck, 8 - 10 M3",,,
81,"Concrete Pump, Truck mounted",,,
81,"Crude Oil Tanker, 10 M3",,,
82,"Water Pump, 32 M3 / h",,,
