,,,,,,,,,,,,,,,,,,,,ATTACHMENT - 8,
,Procurement Status Report (Equipment & Bulk Materials),,,,,,,,,,,,,,,,,,,,
,Discipline:,,,,,,,,,,,,,,,,,,,,
,Sr. No.,Item Description,"Activity ID
(Baseline Plan)",Wt. %,"P
V
F
A","Prepare
MR / PR","Float
Enquiry","Receive
Offers","Complete
Vendor
Clarifications","Complete 
Eval. & Submit
TBE to COMPANY","Receive
COMPANY  Approval",Commit / Issue P.O.,"Receive &
Approve
Vend. Drgs (Major)","Compl.
Mfg.","Compl.
Final
Inspection","Compl.
Mat'l
Dispatch","Receive
Mat'l
at Site","Prepare
MRV",ROS Date,"Weightage
Achieved",Remarks / Status
,,,,,,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,P/V/F/A,,Plan/Act.,
,,,,,,,,,,,,,,,,,,,,,
,1.0,,,,P,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,
,,,,,A,,,,,,,,,,,,,,,,
,2.0,,,,P,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,
,,,,,A,,,,,,,,,,,,,,,,
,3.0,,,,P,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,
,,,,,A,,,,,,,,,,,,,,,,
,4.0,,,,P,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,
,,,,,A,,,,,,,,,,,,,,,,
,5.0,,,,P,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,
,,,,,A,,,,,,,,,,,,,,,,
,6.0,,,,P,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,
,,,,,A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Note:,,,,,,,,,,,,,,,,,,,,
,,"1. Figures in brackets indicate proposed weightages for progress computation on completion of each Control Point. If any Control Point is not applicbale,
    progress will be claimed only after achievement of the next applicable Control Point.",,,,,,,,,,,,,,,,,,,
,,2. Plan dates shall be in line with the respective activity schedules in the Baseline Plan.,,,,,,,,,,,,,,,,,,,
,,3. Vendor Schedule dates after placement of order shall be based on the delivery dates agreed with the Vendor as per Purchase order.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Legend:,P/V/F/A : Baseline Plan / Vendor Schedule  / Forecast / Actual,,,,,,,,,,,,,,,,,,,
