Progress Measurement System,,,,,,,,,,,
RUWAIS SULPHUR GRANULATION PLANT(RSGP) DEVELOPMENT AT RSHT-2 FOR HAIL & GHASHA,,,,,,,,,,,
,,,,,,,,,,,
Activity Description,,,,,,Weightage Level,,,,,Basis of Measurement for Individual Discipline/ Activity
,,,,,,Level-1,Level-2,Level-3,Level-4,Level-5,
,,,"- Control Valve, On-Off Valve &Shutdown Valve",,,,,By Contractor,,,Cost
,,b),Bulk Materials,,,,0.2,,,,
,,,- Piping,,,,,By Contractor,,,Cost
,,,- Electrical,,,,,By Contractor,,,Cost
,,,- Instrumentation & Control,,,,,By Contractor,,,Cost
,,,- Civil / Structural,,,,,By Contractor,,,Cost
,,,- Safety and Risk,,,,,By Contractor,,,Cost
,C),Construction and Pre- Commissioning,,,,0.4,,,,,
,,a),Construction ,,,,0.75,,,,Man-hours
,,,1),Unit 100- Common & Utilities,,,,0.1,,,
,,,,-,Common Works,,,,0.05,,
,,,,,- Common Works,,,,,By Contractor,Man-hours
,,,,,- Project Site Office for Company,,,,,By Contractor,Man-hours
,,,,,- Project Site Office for EPC Contractor,,,,,By Contractor,Man-hours
,,,,,- Laydown Areas,,,,,By Contractor,Man-hours
,,,,-,Stacker Reclaimer,,,,0.2,,
,,,,,- Refurbuishment of Stacker Reclaimer (New Dome),,,,,By Contractor,Man-hours
,,,,,- Refurbishment of Stacker Reclaimer (Linear Storage Building),,,,,By Contractor,Man-hours
,,,,,- Refurbuishment of Stacker Reclaimer (Old Dome),,,,,By Contractor,Man-hours
,,,,,- Installment of Stacker reclaimer (Linear Storage Building),,,,,By Contractor,Man-hours
,,,,-,Substation -1,,,,0.16,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,-,Substation -2,,,,0.1,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,-,Substation -3,,,,0.16,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,-,Substation -4,,,,0.16,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,-,Operating Building,,,,0.11,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- HVAC,,,,,By Contractor,Man-hours
,,,,,- Fire Fighting,,,,,By Contractor,Man-hours
,,,,-,Operator Shelter,,,,0.06,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- HVAC,,,,,By Contractor,Man-hours
,,,2),Unit 10 - Solid Sulphur (Material) Handling,,,,0.15,,,
,,,,-,Piperack,,,,0.25,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,-,Conveyors,,,,0.4,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Piping Works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,-,Transfer Tower,,,,0.35,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,3),Unit 20 - Granulated Sulphur Ship Loader,,,,0.23,,,
,,,,,- Dismantling Works,,,,,By Contractor,Man-hours
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,4),"Unit 30 - Sulphur granulation, Transfer, Storage and Substation 5",,,,0.22,,,
,,,,-,Granular / Refurbuishment,,,,0.15,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Others,,,,,By Contractor,Man-hours
,,,,-,Granular Relocation,,,,0.2,,
,,,,,- Granulator Relocation Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,-,Granulator GX-1 Thru GX-12,,,,0.2,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Piping Works,,,,,By Contractor,Man-hours
,,,,,- Gup Process Water Works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,-,Substation 5,,,,0.15,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Building Works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- HVAC Works,,,,,By Contractor,Man-hours
,,,,-,Interface of New Area with Existing Area,,,,0.3,,
,,,,,- 11 kV Power Supply from SS2 to SS5,,,,,By Contractor,Man-hours
,,,,,- 11kVA power Supply from New Stacker Reclaimer in Linear Storage from SS5,,,,,By Contractor,Man-hours
,,,,,- Sulphur Piping tie-ins of New Area with existing Electrically Traced Lines,,,,,By Contractor,Man-hours
,,,,,- Sulphur piping Tie-ins f new Area with Hail & Ghasha Sulphur Supply Lines,,,,,By Contractor,Man-hours
,,,,,- Sulphur piping Tie-ins from New Sulphur tanks to existing Area New tank 54140-tk-4002,,,,,By Contractor,Man-hours
,,,,,- Utilities Tie-ins near sulphur tank 54140-tk-4002,,,,,By Contractor,Man-hours
,,,,,- Solid Sulphur Transfer interface at Tt-10,,,,,By Contractor,Man-hours
,,,,,- Tie-in of Instrument & Telecom Cables,,,,,By Contractor,Man-hours
,,,,,- Construction of Drains,,,,,By Contractor,Man-hours
,,,,,- Construction of Roads,,,,,By Contractor,Man-hours
,,,5),Unit 40 - Liquid Sulphur Handling,,,,0.15,,,
,,,,-,Relocation of Firewater Lines,,,,0.1,,
,,,,,"- 18''-40-FW-7100-17100, TP-700-B/C at North of New Area INC Tie-ins TP-700B/C",,,,,By Contractor,Man-hours
,,,,,"- FW-003-14'-52HG-NI, TP-729-A/B (14"") at South of New Granulator Building",,,,,By Contractor,Man-hours
,,,,,- 18'-40-FW-026-17100 to provide space for SS5,,,,,By Contractor,Man-hours
,,,,,- 18''-54140-FW-014/026 at SS5,,,,,By Contractor,Man-hours
,,,,-,Relocation of NG & Nitrogen lines,,,,0.1,,
,,,,,"- 24'-00-P-5024-11120, TIP 501/2",,,,,By Contractor,Man-hours
,,,,,"-2''-00-UN-5026-11010, TIP-503/4",,,,,By Contractor,Man-hours
,,,,,- Cold vent,,,,,By Contractor,Man-hours
,,,,-,Relocation of CICPA fence,,,,0.05,,
,,,,,- Relocation of CICPA fence towards GUP Seawater Outfall,,,,,By Contractor,Man-hours
,,,,-,Grading & Fencing,,,,0.05,,
,,,,,- Grading and Leveling of new Sulphur Tank & Granulation Area,,,,,By Contractor,Man-hours
,,,,,- Concrete works - Bund Wall around new liquid storage tanks,,,,,By Contractor,Man-hours
,,,,-,"New Sulphur Tanks 
(40-tk-0001/0002/0003)",,,,0.45,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Piping Works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,-,"New Liquid Sulphur Pumps
(40-p-0001a/B/C/S)",,,,0.15,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Piping Works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- Firefighting Works,,,,,By Contractor,Man-hours
,,,,-,Sulphur Unloading Pipeline upto Tk-4002,,,,0.1,,
,,,,,- Civil works,,,,,By Contractor,Man-hours
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Piping Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,6),Refurbishment & Demolition,,,,0.15,,,
,,,,-,Refurbishment,,,,0.5,,
,,,,,- Linear Storage Building,,,,,By Contractor,Man-hours
,,,,,- Old Dome,,,,,By Contractor,Man-hours
,,,,,- Old Dome Fire Fighting,,,,,By Contractor,Man-hours
,,,,,- Control Building & Guard House,,,,,By Contractor,Man-hours
,,,,,- Liquid Sulphur Pit,,,,,By Contractor,Man-hours
,,,,,- Thick Unloading Bays,,,,,By Contractor,Man-hours
,,,,,- Storage tank Foundations,,,,,By Contractor,Man-hours
,,,,-,Replacement,,,,0.2,,
,,,,,- TBD,,,,,By Contractor,Man-hours
,,,,-,Demolition,,,,0.3,,
,,,,,- Structural Works,,,,,By Contractor,Man-hours
,,,,,- Equipment Works,,,,,By Contractor,Man-hours
,,,,,- Piping Works,,,,,By Contractor,Man-hours
,,,,,- Electrical Works,,,,,By Contractor,Man-hours
,,,,,- I&C and Telcommunication works,,,,,By Contractor,Man-hours
,,b),Precommissioning,,,,0.25,By Contractor,,,
,,,- Unit 100 Common & Utilities,,,,,,,By Contractor,Man-hours
,,,- Unit 10 Sulphur Material Handling,,,,,,,By Contractor,Man-hours
,,,- Unit 20 Granulated sulphur Ship Loader,,,,,,,By Contractor,Man-hours
,,,- Unit 30 Sulphur granulation,,,,,,,By Contractor,Man-hours
,,,- Unit 40 Liquid Sulphur Handling,,,,,,,By Contractor,Man-hours
,D),Commissioning & As-Built Documentation,,,,0.1,,,,,
,,-,Commissioning & Start-up,,,,1.0,,,,
,,,- Unit 100 Common & Utilities,,,,,,,By Contractor,Man-hours
,,,- Unit 10 Sulphur Material Handling,,,,,,,By Contractor,Man-hours
,,,- Unit 20 Granulated sulphur Ship Loader,,,,,,,By Contractor,Man-hours
,,,- Unit 30 Sulphur granulation,,,,,,,By Contractor,Man-hours
,,,- Unit 40 Liquid Sulphur Handling,,,,,,,By Contractor,Man-hours
Overall Project ,,,,,,1.0,,,,,
,,,,,,,,,,,
,Note:,,,"Weight factors indicated above shall remain ""Fixed"" for the duration of the Project. Weight factors for the other activities shall be proposed by Contractor after award of Contract,  for  COMPANY review and approval.",,,,,,,
