"Progress Statistics
Pre-commissioning Progress Summary by Area (Level- 3)",,,,,,,,,,,
,,,,,,,,,,,Progress for Week Ending : _____________
"Sl
No.",Activity Description,Weight Factors,,Cumulative  Progress (%),,,"Progress during Reporting 
Period (%)",,Completion Date,,
,,Level-2,Level-3,"Contr. Plan
(Early)","Base Plan
(Early)",Actual,"Base Plan
(Early)",Actual,Early Plan,Forecast,Actual
Pre-Commissioning,,,,,,,,,,,
a),- Unit 100 Common & Utilities,TBA,TBA,,,,,,,,
b),- Unit 10 Sulphur Material Handling,TBA,TBA,,,,,,,,
c),- Unit 30 Sulphur granulation,TBA,TBA,,,,,,,,
d),- Unit 40 Liquid Sulphur Handling,TBA,TBA,,,,,,,,
Overall (Pre-commissioning)   ,,25.0,100.0,,,,,,,,
Note :,"1.  Above details shall be consistent with the agreed WBS, Progress Measurement and Progress Reporting Systems.",,,,,,,,,,
,"2.  Detailed Unitwise / Disciplinewise weightages for the above shall be developed by Contractor after award of Contract and submitted
      to Company for approval.",,,,,,,,,,
