,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SETUP,,,,,30% MODELING STAGE (80%),,,,,,,,,,30% MODELING STAGE (Internal Check 20%),,,,,,,60% MODELING STAGE,,,,,,,,,,,,,,60% MODELING STAGE (Internal Check 10%),,,,,,,,,,,,90% MODELING STAGE,,,,,,,,,90% MODELING STAGE (Internal Check 10%),,,,,,,,,FINAL MODELING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60% Modeling Stage,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foundations ,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steel Stuctures,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005714285714285715,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roads ,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0015,0.0015,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paving ,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0017142857142857144,0.0015,0.0015,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Follow up of 30% Model  Review Comments
(10% of Item 2 weighting)",0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002285714285714286,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90% Modeling Stage,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous Foundations,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous Structures,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0025000000000000005,0.0025000000000000005,0.0025000000000000005,0.0025000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Follow up of 30% Model  Review Comments
(10% of Item 3 weighting)",0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0025000000000000005,0.0025000000000000005,0.0025000000000000005,0.0025000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Modeling Stage,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalization of Model incorporating 90 % Review,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Actual Progress,1.0,,0.0,0.004,0.004,0.004,0.004,0.004,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0115,0.0115,0.0115,0.0115,0.0,0.0,0.0,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.017142857142857147,0.015000000000000001,0.015000000000000001,0.015000000000000001,0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.015000000000000003,0.015000000000000003,0.015000000000000003,0.015000000000000003,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.02,0.112,0.18560000000000001,0.23850000000000005,0.25000000000000006,0.3357142857142857,0.4042857142857142,0.4728571428571427,0.5499999999999998,0.5499999999999998,0.5766666666666664,0.6833333333333329,0.7899999999999994,0.8499999999999994,0.8499999999999994,0.9166666666666663,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,0.004,0.008,0.012,0.016,0.02,0.038400000000000004,0.0568,0.0752,0.0936,0.112,0.13040000000000002,0.14880000000000002,0.16720000000000002,0.18560000000000001,0.20400000000000001,0.21550000000000002,0.22700000000000004,0.23850000000000005,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.2671428571428572,0.2842857142857143,0.30142857142857143,0.31857142857142856,0.3357142857142857,0.3528571428571428,0.36999999999999994,0.38714285714285707,0.4042857142857142,0.4214285714285713,0.43857142857142845,0.45571428571428557,0.4728571428571427,0.4899999999999998,0.5049999999999998,0.5199999999999998,0.5349999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5766666666666664,0.603333333333333,0.6299999999999997,0.6566666666666663,0.6833333333333329,0.7099999999999995,0.7366666666666661,0.7633333333333328,0.7899999999999994,0.8049999999999994,0.8199999999999994,0.8349999999999994,0.8499999999999994,0.8499999999999994,0.8499999999999994,0.8499999999999994,0.8499999999999994,0.8499999999999994,0.8666666666666661,0.8833333333333329,0.8999999999999996,0.9166666666666663,0.933333333333333,0.9499999999999997,0.9666666666666665,0.9833333333333332,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note:1 Data shall be prepared , each area based on relative weight factors and Total Discipline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,           2 Steps for Civil are used for illustration purpose only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
