"Progress Statistics
Construction Progress - Other Equipments & Modifications Summary (Level- 5)",,,,,,,,,,,
,,,,,,,,,,,Progress for Week Ending : _____________
"Sl
No.",Activity Description,Weight Factors,,Cumulative  Progress (%),,,"Progress during Reporting 
Period (%)",,Completion Date,,
,,Level-4,Level-5,"Contr. Plan
(Early)","Base Plan
(Early)",Actual,"Base Plan
(Early)",Actual,Early Plan,Forecast,Actual
Unit 100 - Common & Utilities,,,,,,,,,,,
Common Works,,,,,,,,,,,
,- Common Works,TBA,TBA,,,,,,,,
,- Project Site Office for Company,TBA,TBA,,,,,,,,
,- Project Site Office for EPC Contractor,TBA,TBA,,,,,,,,
,- Laydown Areas,TBA,TBA,,,,,,,,
,Others (if any),TBA,TBA,,,,,,,,
Sub Total,,10.0,100.0,,,,,,,,
Stacker Reclaimer,,,,,,,,,,,
,- Installment of Stacker reclaimer (Linear Storage Building),TBA,TBA,,,,,,,,
,Others (if any),TBA,TBA,,,,,,,,
Sub Total,,28.0,100.0,,,,,,,,
Linear Storage Building,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
, - HVAC Works,TBA,TBA,,,,,,,,
, - Firefighting,TBA,TBA,,,,,,,,
,Others (if any),TBA,TBA,,,,,,,,
Sub Total,,40.0,100.0,,,,,,,,
Operating Building,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
,- HVAC,TBA,TBA,,,,,,,,
,- Fire Fighting,TBA,TBA,,,,,,,,
,Others (if any),TBA,TBA,,,,,,,,
Sub Total,,15.0,100.0,,,,,,,,
Operator Shelter,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
,- HVAC,TBA,TBA,,,,,,,,
,Others (if any),TBA,TBA,,,,,,,,
Sub Total,,17.0,100.0,,,,,,,,
Unit 10 - Solid Sulphur Material Handling,,,,,,,,,,,
Piperack,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
Sub Total,,25.0,100.0,,,,,,,,
Conveyors,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Equipment Works,TBA,TBA,,,,,,,,
,- Piping Works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
Sub Total,,40.0,100.0,,,,,,,,
Transfer Towers,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
Sub Total,,35.0,100.0,,,,,,,,
"Unit 30 - Sulphur Granulation, Transfer, Storage & Substation",,,,,,,,,,,
Granulators GX-1 Thru GX-10,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Equipment Works,TBA,TBA,,,,,,,,
,- Piping Works,TBA,TBA,,,,,,,,
,- Gup Process Water Works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
Sub Total,,45.0,100.0,,,,,,,,
Substation,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Building Works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
,- HVAC Works,TBA,TBA,,,,,,,,
Sub Total,,25.0,100.0,,,,,,,,
Interface of New Area with Existing Area,,,,,,,,,,,
,- 11 kV Power Supply from SS2 to SS5,TBA,TBA,,,,,,,,
,- 11kVA power Supply from New Stacker Reclaimer in Linear Storage from SS5,TBA,TBA,,,,,,,,
,- Sulphur Piping tie-ins of New Area with existing Electrically Traced Lines,TBA,TBA,,,,,,,,
,- Sulphur piping Tie-ins f new Area with Hail & Ghasha Sulphur Supply Lines,TBA,TBA,,,,,,,,
,- Sulphur piping Tie-ins from New Sulphur tanks to existing Area New tank 54140-tk-4002,TBA,TBA,,,,,,,,
,- Utilities Tie-ins near sulphur tank 54140-tk-4002,TBA,TBA,,,,,,,,
,- Solid Sulphur Transfer interface at Tt-10,TBA,TBA,,,,,,,,
,- Tie-in of Instrument & Telecom Cables,TBA,TBA,,,,,,,,
,- Construction of Drains,TBA,TBA,,,,,,,,
,- Construction of Roads,TBA,TBA,,,,,,,,
Sub Total,,30.0,100.0,,,,,,,,
Unit 40 - Liquid Sulphur Handling,,,,,,,,,,,
Grading & Fencing,,,,,,,,,,,
,- Grading and Leveling of new Sulphur Tank & Granulation Area,TBA,TBA,,,,,,,,
,- Concrete works - Bund Wall around new liquid storage tanks,TBA,TBA,,,,,,,,
Sub Total,,15.0,100.0,,,,,,,,
New Liquid Sulphur Tanks,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Equipment Works,TBA,TBA,,,,,,,,
,- Piping Works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
Sub Total,,45.0,100.0,,,,,,,,
New Liquid Sulphur Pumps,,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
,- Equipment Works,TBA,TBA,,,,,,,,
,- Piping Works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
,- Electrical Works,TBA,TBA,,,,,,,,
,- I&C and Telcommunication works,TBA,TBA,,,,,,,,
,- Firefighting Works,TBA,TBA,,,,,,,,
Sub Total,,15.0,100.0,,,,,,,,
"Sulphur Unloading Pipeline
",,,,,,,,,,,
,- Civil works,TBA,TBA,,,,,,,,
,- Structural Works,TBA,TBA,,,,,,,,
