,,,,,,,,,,,,,,,,,,,,ATTACHMENT - 10
,,,,,,,,,,,,,,,,,,,,
,ENGINEERING DOCUMENT DELIVERABLE REGISTER,,,,,,,,,,,,,,,,,,,
,CLASS - 2 AND CLASS - 3 DOCUMENTS,,,,,,,,,,,,,,,,,,,
,Discipline / Area / Phase :,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Sr. No.,"Drawing / Document

Title",Activity ID (Baseline Plan),Drawing/,Drg/,Est.,P,Started,IFR,Submission / Review Status,,,,,,Issue IFC,,Earned Man-hours,,Remarks
,,,,Document,Doc,Man-,F,,,Issue-1 (ICR),,Issue-2,,Issue-3 (IFD / IFA),,1st Issue,Final Issue,,,
,,,,Number,Class,Hours/,A,,,Submitted,Receive Comments,Submitted,Receive Comments,Submitted,Approved,,,,,
,,,,,,wt %,,(5%),(40%),(50%),-,-,-,(75%),(85%),(95%),(100%),Plan,Actual,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Note:,"(1) In case of Class-3 documents which are required to be submitted only ""For Information"", 85% Progress may be claimed on ""Initial Submission"" (where applicable)",,,,,,,,,,,,,,,,,,
,,"      and balance after ""Issue for Construction (IFC)""",,,,,,,,,,,,,,,,,,
,,"(2) In case of other documents which are required to be submitted ""For Review / Comments / Approval"", Progress may be claimed as per details mentioned above.",,,,,,,,,,,,,,,,,,
,,"(3) Please retain minimum 5% man-hours as a contingency against each discipline towards "" Miscellaneous"" to ensure flexibility of adjustment on account of possible",,,,,,,,,,,,,,,,,,
,,       additions / deletions in the list of documents.,,,,,,,,,,,,,,,,,,
,,"(4) If any of the Control Points mentioned abvoe is not applicable, progress will be claimed only after achievement of the next applicable Control Point.",,,,,,,,,,,,,,,,,,
,LEGEND :  P : Plan Date    F : Forecast Date   A : Actual Date,,,,,,,,,,,,,,,,,,,
