,,,,,,,,,,,,,,,ATTACHMENT - 15
,EQUIPMENT STATUS REPORT,,,,,,,,,,,,,,
Type & Equipment :    Mech / Elect. / Instr. / Package EQPT.,,,,,,,,,,,,,,,
,,,,,,,,,,,,Month ending: ________________,,,
SR. NO.,EQUIPMENT NAME,TAG NO.,"P
F
A",P.O. ISSUED,DELIVERY (EX-WORKS),DELIVERY (FOB),ROS,FOUNDATION READY,EQUIPMENT INSTALLED,INTERNALS INSTALLED,STRUCTURAL WORKS COMPLETED,ALIGNMENT & GROUTING COMPLETED,BOX UP COMPLETED,INSULATION COMPLETED,FIRE PROOFING COMPLETED
1.0,Convection Bank,,,,,,,,,,,,,,
a),,,,,,,,,,,,,,,
b),,,,,,,,,,,,,,,
c),,,,,,,,,,,,,,,
d),,,,,,,,,,,,,,,
2.0,Purge Fan,,,,,,,,,,,,,,
a),,,,,,,,,,,,,,,
b),,,,,,,,,,,,,,,
c),,,,,,,,,,,,,,,
3.0,BMS PLC,,,,,,,,,,,,,,
a),,,,,,,,,,,,,,,
b),,,,,,,,,,,,,,,
c),,,,,,,,,,,,,,,
d),,,,,,,,,,,,,,,
4.0,UPS System & Battery Set,,,,,,,,,,,,,,
a),,,,,,,,,,,,,,,
b),,,,,,,,,,,,,,,
c),,,,,,,,,,,,,,,
d),,,,,,,,,,,,,,,
5.0,Analyser Shelter,,,,,,,,,,,,,,
a),,,,,,,,,,,,,,,
b),,,,,,,,,,,,,,,
c),,,,,,,,,,,,,,,
TOTAL NOS.,,PLAN,,,,,,,,,,,,,
,,ACTUAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: ,"1.  All Plan Dates will be based on ""Baseline Plan"".",,,,,,,,,,,,,,
,2. Contractor shall fill plan / Actual dates against each Equipment Tag,,,,,,,,,,,,,,
