# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Fire Fighting (Brown)
"# Rows: 104, Cols: 166"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,"UNIT 40 
Conveyor",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

FF-02-01-0007,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A351 CF8M ,Trim:316/STL(Trim No.12) ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,10,CL150,FLGD,ea,,1,,,,,,,,,,,1714.28571428571
FF-02-01-0008,VALVE,"Butterfly Vlv ,API 609 Cat A ,CL 150 ,FF ,Gear operator ,ASTM A216 WCB,Lined with Chloroprene Rubber or EPDM ,Trim:BRONZE ,ASME B16.5 ,Concentric,LUG Type",CS,Contractor,12,CL150,FLGD,ea,,6,,,,,,,,,,,2095.2380952381
FF-02-01-0009,AIR RELEASE VALVE,AIR RELEASE VALVE,CS,Contractor,6,,FLGD,ea,,6,,,,,,,,,,,571.428571428571
FF-02-01-0010,AIR RELEASE VALVE,AIR RELEASE VALVE,CS,Contractor,8,,FLGD,ea,,10,,,,,,,,,,,1142.85714285714
FF-02-01-0011,DRAIN VALVE,DRAIN VALVE,CS,Contractor,6,,FLGD,ea,,6,,,,,,,,,,,571.428571428571
FF-02-01-0012,DRAIN VALVE,DRAIN VALVE,CS,Contractor,8,,FLGD,ea,,10,,,,,,,,,,,1142.85714285714
FF-02-01-0013,SPRAY NOZZLE,"N1W,K=13.7,120°",CS,Contractor,0.5,,,ea,,4463,,,,,,,,,,,190.47619047619
FF-02-01-0014,COUPLING,"CL 3000, FORGED",CS,Contractor,1,,,ea,,4463,,,,,,,,,,,285.714285714286
FF-02-01-0015,T-STRAINER,T-STRAINER,CS,Contractor,10,,FLGD,set,,4,,,,,,,,,,,1714.28571428571
FF-02-01-0016,T-STRAINER,T-STRAINER,CS,Contractor,12,,FLGD,set,,6,,,,,,,,,,,2095.2380952381
FF-03,,FIRE FIGHTING FACILITIES,,,,,,,,,,,,,,,,,,,0
FF-03-0001,HYDRANT,4 WAY HYDRANT,,Contractor,,,,ea,,6,,,,,,,,,,,952.380952380952
FF-03-0002,HOSE BOX,HOSE BOX 30M,,Contractor,,,,ea,,3,,,,,,,,,,,1619.04761904762
FF-03-0003,DELUGE VALVE,"6""Deluge Valve with trim connections, local & control room remote operated, UL/FM,UL listed and FM approved.",CS,Contractor,6,,FLGD,ea,,6,,,,,,,,,,,866.666666666667
FF-03-0004,DELUGE VALVE,"8""Deluge Valve with trim connections, local & control room remote operated, UL/FM,UL listed and FM approved.",CS,Contractor,8,,FLGD,ea,,10,,,,,,,,,,,1628.57142857143
FF-03-0005,DELUGE VALVE PROTECT BOX,DELUGE VALVE PROTECT BOX,,Contractor,,,,ea,,5,,,,,,,,,,,857.142857142857
FF-03-0006,EXTINGUISHER,PORTABLE DRY CHEMICAL EXTINGUISHER (6kg) - ABC，with Hanger of Brackets,,Contractor,,,,set,,,,,,,,,,,,,0
FF-03-0007,EXTINGUISHER,"PORTABLE DRY CHEMICAL EXTINGUISHER (9kg) - ABC, with Reinforced Fiberglass Boxes",,Contractor,,,,set,,127,,,,,,,,,,,190.47619047619
FF-03-0008,EXTINGUISHER,"WHEELED DRY CHEMICAL EXTINGUISHER (50kg) - ABC, with Heavy-duty Wrappers",,Contractor,,,,set,,,,,,,,,,,,,0
FF-03-0009,EXTINGUISHER,"PORTABLE CO2 EXTINGUISHER (5kg) - BC, with Hanger of Brackets",,Contractor,,,,set,,,,,,,,,,,,,0
FF-04,,MISCELLANEOUS,,,,,,,,,,,,,,,,,,,0
FF-04-0001,PIPE SUPPORT, CS,,Subcontractor,,,,Ton,18.681068,,,,,,3703.7037037037,,,,,,13227.5132275132
FF-04-0002,CS+GALV PIPING Painting and Coating,"PIPELINE PAINTING, Refer to AGES-SP-07-004",,Subcontractor,,,,m2,,979.8799,,,,,37.037037037037,,,,,,84.6560846560846
FF-04-0003,CS+FBE PIPING Painting and Coating,"PIPELINE PAINTING, Refer to AGES-SP-07-004",,Subcontractor,,,,m2,,19.8788,,,,,37.037037037037,,,,,,84.6560846560846
FF-04-0004, PIPING SUPPORT Painting and Coating,"PIPELINE PAINTING, Refer to AGES-SP-07-004",,Subcontractor,,,,m2,,199.95174,,,,,37.037037037037,,,,,,84.6560846560846
FF-04-0005,SURFACE PREPARATION AS NEAR-WHITE METAL BLAST CLEANING, EQUIVALENT TO SA 2 1/2 OF SWEDISH STANDARD SIS,,Subcontractor,,,,m2
FF-04-0006,UG PIPING COATING AND WRAPPING,PRIMER+POLYETHYLENE INNER WRAP (305MM)+POLYETHYLENE OUTER WRAP(0.760 MM),,Subcontractor,,,,m2
,,Fire Fighting (Brown) TOTAL
NOTES:
1,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings."
1.1,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials."
1.2,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items."
1.3,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc."
2,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.
3,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order."
4,,"C/S includes C/S, C/S Sour, LTCS etc.
S/S includes 304, 304L, 316, 316L."
























