# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-03-0022,,WELDING RECEPTACLE ,"Welding outlets Flameproof type, 415V, 50Hz, 63A, 3 Phase, 4 wire, 5 pin switch
socket units, Ex-’de’, suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP65 ,
tropicalized, corrosion resistant, Rotary switch with in-built 30mA ELCB shall be
provided.Sockets shall be interlocked type i.e. Socket shall be energized only after fully
insertion of plug & shall be de-energized before plug is removed. Interlock shall be
provided such that plug can't be withdrawn in energized condition.
",Contractor,set,,,,20,,,,,,,,,,,,31.7460317460317
,,,,,,,,,,,,,,,,,,,,,0
EL-04,,,CABLE LADDER/TRAY HDG,,,,,,,,,,,,,,,,,,0
,,,"CABLE LADDER FOR INDOOR/OUTDOOR USE, ALL CABLE LADDER/TRAYS AND ACCESSORIES ARE HOT DIP, GALVANIZED SHEET STEEL WITH MIN. 2.5 mm THICKNESS, AND OUTSIDE RAIL TYPE, WITH WASHER NUTS AND BOLTS, MIN. 70µm THICKNESS OF GALVANIZING, STANDARD LENGTH OF CABLE LADDER IS 3000MM WITH THE RUINGS, PLACED 300MM APART FROM EACH OTHER, HEIGHT OF CABLE LADDER : 100MM, THE CABLE LADDER SHALL BE CAPTABLE OF SUPPORTING, AS
PER IEC-61537,  50%  ladder to be equpped with cover
Weight: 300W  25kg/m; 600W 40kg/m； 900W 60kg/m with cover",,,,,,,,,,,,,,,,,,0
EL-04-0001,,CABLE LADDER/TRAY HDG,STRAIGHT/ 900W x 100H x 3000L,,PCS,,,,,,,,,,,,,,,,0
EL-04-0002,,CABLE LADDER/TRAY HDG,STRAIGHT/ 600W x 100H x 3000L,,PCS,,,,,,,,,,,,,,,,0
,,CABLE LADDER/TRAY GRP ,STRAIGHT/ 600W x 150H x 3000L,Contractor,lm,,,,700,,,,,,,,,,,,157.142857142857
EL-04-0003,,CABLE LADDER/TRAY HDG,STRAIGHT/ 300W x 100H x 3000L,,PCS,,,,,,,,,,,,,,,,0
,,CABLE LADDER/TRAY GRP ,STRAIGHT/ 150W x 50H x 3000L,,PCS,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,0
EL-05,,,EARTHING,,,,,,,,,,,,,,,,,,0
EL-05-0001,,,"EARTHING WIRE, PVC SHEATHED, GREEN  YELLOW  WITH GREEN STRIPES STRANDED COPPER CONDUCTOR",,,,,,,,,,,,,,,,,,0
,,EARTHING WIRE,16 mm2,Contractor,lm,,,,200,,,,,,,,,,,,4.76190476190476
,,EARTHING WIRE,25~50 mm2,Contractor,lm,,,,1000,,,,,,,,,,,,12.6984126984127
