# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: UG PIP （Green）
"# Rows: 68, Cols: 25"







Item,Category,Description,size,MATERIAL,"MATERIAL
Supply by",Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,,"UNIT 10 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
2.3,Sleeve,"12"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,6,,,,,,,,,,,365.079365079365
2.4,Sleeve,"14"" carbon steel, material of pipe shall ,including casing pipe, end seal, cathode protection, casing spacerconfirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,12,,,,,,,,,,,412.698412698413
2.5,Sleeve,"20"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,6,,,,,,,,,,,476.190476190476
2.6,Sleeve,"18"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,12,,,,,,,,,,,444.444444444444
2.7,Sleeve,"24"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,6,,,,,,,,,,,579.365079365079
2.8,Sleeve,"28"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,4,,,,,,,,,,,730.15873015873
2.9,Sleeve,"32"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,4,,,,,,,,,,,873.015873015873
2.10,Sleeve,"36"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,5,,,,,,,,,,,1190.47619047619
2.11,Sleeve,"52"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,5,,,,,,,,,,,1746.03174603175
2.12,Sleeve,REINFORCED CONCRETE PIPE,12,CONCRETE ,Contractor,M,,80,,,,,,,,,,,407.936507936508
2.13,Sleeve,REINFORCED CONCRETE PIPE,16,CONCRETE ,Contractor,M,,60,,,,,,,,,,,563.492063492063
2.14,Sleeve,REINFORCED CONCRETE PIPE,20,CONCRETE ,Contractor,M,,10,,,,,,,,,,,785.714285714286
2.15,Sleeve,REINFORCED CONCRETE PIPE,24,CONCRETE ,Contractor,M,,20,,,,,,,,,,,1134.92063492063
,,,,,,,,,,,,,,,,,,,0
NO.3,,Plumbing,,,,,,,,,,,,,,,,,0
3.1,"Hot and cold water
supply and building
service water supply
piping systems","3"" Polypropylene (Class PP-R PN 20)","3""",PPR,Subcontractor,LM,,80,,,,,51.5873015873016,,,,,,91.2698412698413
3.2,Sanitary drain piping,"4"" UPVC conforming to BS EN1401","4"" ",UPVC,Subcontractor,LM,,80,,,,,15.8730158730159,,,,,,63.4920634920635
3.3,Sanitary drain piping,"8"" UPVC conforming to BS EN1401","8"" ",UPVC,Subcontractor,LM,,80,,,,,43.6507936507937,,,,,,162.698412698413
NO.4,,PIV Located in VALVE PIT,,,,,,,,,,,,,,,,,0
4.1,PIV,"8"",POST INDICATOR VALVE, FLANGE CONNECTION","8""",METAL,Contractor,EA,,6,,,,,,,,,,,952.380952380952
4.2,PIV,"10"",POST INDICATOR VALVE, FLANGE CONNECTION",10,METAL,Contractor,EA,,6,,,,,,,,,,,1428.57142857143
4.3,PIV,"12"",POST INDICATOR VALVE, FLANGE CONNECTION",12,METAL,Contractor,EA,,9,,,,,,,,,,,1746.03174603175
4.4,PIV,"18"",POST INDICATOR VALVE, FLANGE CONNECTION","18""",METAL,Contractor,EA,,13.6,,,,,,,,,,,2777.77777777778
4.5,PIV,"20"",POST INDICATOR VALVE, FLANGE CONNECTION","20""",METAL,Contractor,EA,,4.8,,,,,,,,,,,3174.60317460317
4.6,Gate valve,"12"",GATE VALVE, FLANGE CONNECTION","12""",METAL,Contractor,EA,,5,,,,,,,,,,,1746.03174603175
4.7,Slide gate,"48"", SLIDE GATE, Including the track, the opening/closing device, and the motor","48""",METAL,Contractor,EA,1,1,,,,,,,,,,,11904.7619047619
4.8,Slide gate,"32"", SLIDE GATE, Including the track, the opening/closing device, and the motor","32""",METAL,Contractor,EA,1,1,,,,,,,,,,,8730.15873015873
,,SUBTOTAL-UG PIPING WORKS (Green)


