# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES

,,,,CONTRACT NO. :XXXXX

All Inclusive Equipment Rates
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
,"Pipe Bevelling Machine, pneumatic",14700,798,399
60,"External Line Up Clamp, 52""",34020,1890,945
,"External Line Up Clamp, 48""",30240,1680,840
61,"External Line Up Clamp, 36""",23100,1302,651
,"External Line Up Clamp, 24""",17640,966,483
62,"External Line Up Clamp, 20""",14280,798,399
,"External Line Up Clamp, 18""",12180,672,336
63,"External Line Up Clamp, 16""",10500,588,294
,"Induction Heating Unit, complete",25200,1386,693
64,"Generator, 20 KVA",8820,504,252
,"Generator, 25 KVA",11340,630,315
65,"Generator, 50 KVA",17640,966,483
,"Generator, 100 KVA",26460,1470,735
66,"Generator, 130 KVA",33600,1848,924
,"Generator, 220 KVA",47040,2604,1302
67,"Generator, 250 KVA",53760,2982,1491
,Generator 360 KVA,77700,4326,2163
68,Generator 500 KVA,108360,6006,3003
,"Floodlight, 3,5 kw",3360,168,84
69,Grit Blast unit + compressor ,21840,1218,609
,Padding m/c + dozer,47040,2604,1302
70,Padding m/c + loader,42000,2352,1176
,"Thrustbore Machine, 30"" P/l, compl.",172200,9576,4788
71,"Thrustbore Machine, 24"" P/l, compl.",126000,7014,3507
,"Thrustbore Machine for 48""P/l., compl.",260400,14448,7224
72,"Thrustbore Machine for 52"" P/l, compl.",327600,18186,9093
,"Microtunnelling Machine, 30"" P/l",247800,13776,6888
73,"Microtunnelling Machine, 24"" P/l",180600,10038,5019
,"Microtunnelling Machine, 48"" P/l",365400,20286,10143
74,"Microtunnelling Machine, 52"" P/l",470400,26124,13062
,"Horizontal Drilling Rig, 30"" P/l comp.",205800,11424,5712
75,"Horizontal Drilling Rig, 24"" P/l comp.",159600,8862,4431
,"Horizontal Drilling Rig, 48"" P/l comp.",277200,15414,7707
76,"Horizontal Drilling Rig, 52"" P/l comp.",348600,19362,9681
,"Container Office, 20""",6720,222.6,111.3
77,"Container Store, 20""",4620,151.2,75.6
,"Workshop Container, 20""",5460,180.6,90.3
78,"Workshop Container, 40""",9660,319.2,159.6
,"Set:Cleaning, Gauging and Hydrotest Eqp.",29400,1638,819
79,Air Drying Equipment,8820,504,252
,"Concrete Mixer Truck, 5 - 7 M3",18060,1008,504
80,"Concrete Mixer Truck, 8 - 10 M3",23100,1302,651
,"Concrete Pump, Truck mounted",29400,1638,819
81,"Crude Oil Tanker, 10 M3",18060,1008,504
,"Water Pump, 32 M3 / h",7560,210,105
82,"Water Pump, 65 M3 / h",11760,336,168
,Level,3360,109.2,54.6
83,Theodolite,4830,159.6,79.8
,Tractor Welder D6,55440,3066,1533
84,Tractor Welder D7,69300,3864,1932
,Nitrogen generator,14700,798,399
85,Berm forming machine,26460,1470,735
,Hydrotest Cabin and Equipment,40320,2226,1113
86,Lighting Set,14700,798,399
,Truck 6 T/W - Hiab,19740,1092,546
87,Truck 10 T/W - Hiab,24780,1386,693
,Truck - Lube,16380,924,462
88,Truck C/Pit 400 GL,16380,924,462
,Truck Cold Storage 27 M3,27930,27930,13965
89,Truck - Service,15330,840,420
,Truck - Tipper 15 M3,24570,1386,693
90,Pipe Lowering-in Equipment,33600,1848,924
,Rock Hammer,10500,588,294
91,Fuel Truck 1500 GL,15120,840,420
,Fuel Truck 3000 GL,19740,1092,546
92,TR W/Tanker 3000 GL,19740,1092,546
,TR W/Tanker 5000 GL,26460,1470,735
93,TR W/Tanker 6000 GL,44100,2436,1218
,TR W/Tanker 12000 GL,29400,1638,819
94,TR TIPP MER3824 15 M3,29400,1638,819
,Truck 6T,12180,672,336
95,Scraper 631D,81900,4536,2268
,W/Loader BOB CAT 741/3,14700,798,399
96,Excavator JCB 3C,26040,1428,714
,Hot Tapping Machine for  4” – 10”,20580,1134,567
97,Hot Tapping Machine for  12” – 18”,27300,1512,756
,Hot Tapping Machine for  20” – 24”,35700,1974,987
98,Hot Tapping Machine for  26” – 30”,46200,2562,1281
,Hot Tapping Machine for  36” – 40”,62160,3444,1722
99,Hot Tapping Machine for  42” – 46”,78960,4368,2184
,Hot Tapping Machine for  48” – 52”,102900,5712,2856
100,Ripper Dozer D8K,73920,4116,2058
,Tow Truck,37800,2100,1050
101,Side Boom 594,81900,4536,2268
,Side Boom 572,105000,5838,2919
102,Side Boom 571,144900,8064,4032
,Side Boom 583,189000,10500,5250
103,Compactor Trench 75,32760,1806,903
,Compactor Trench 65,26460,1470,735
104,Test Pump,14700,399,199.5
,H.P. Test Pump,14700,399,199.5
105,Well Point Dewatering System,23520,651,325.5
,Forklift 6 Ton,21840,1218,609
106,Dumper 2 T,8820,504,252
,Batching Plant 55 M3,134400,4620,2310
107,Transit Mixer 6 M3,15960,882,441
,Ambulance ,28560,1596,798
108,4 WD Pickup with A/C,13440,756,378
,4 WD Station Wagon with A/C,15120,840,420
109,CAT 966 Rubber Tyred Shovels,45360,2520,1260
,"Cold Cutting Machine upto 48""",29400,1638,819
110,Cutting & Beveling Machine,39900,2226,1113
,Survey Equipment,21840,1218,609
111,Holiday Detector,10500,588,294
,Hydraulic Jack Hammer,8820,504,252
112,"Crawler Crane, 400 T",840000,46662,23331
,"Crawler Crane, 350 T",588000,32676,16338
113,"Crawler Crane, 250 T",394800,21924,10962
,"Crawler Crane, 165 T",264600,14700,7350
114,"Crawler Crane, 110 T",178500,9912,4956
,"Crawler Crane, 70 T",119700,6636,3318
115,"Crawler Crane, 50 - 60 T",81900,4536,2268
,"Mobile Crane, 120 - 125 T",130200,7224,3612
116,"Mobile Crane, 110 T",111300,6174,3087
,"Mobile Crane, 70 T",79800,4452,2226
117,"Mobile Crane, 50 T",57960,3234,1617
,Mobile Crane 40 T,42000,2352,1176
118,"Mobile Crane, 18T",29400,1638,819
,"RT Crane, 51 - 60 T",92400,5124,2562
119,"RT Crane, 41 - 50 T",71400,3948,1974
,"RT Crane, 30 - 40 T",53760,2982,1491
120,"RT Crane, 18 - 20 T",39900,2226,1113
,4WD Landcruiser with A/C,13440,504,252
121,Saloon Car (5 seater with A/C),7980,294,147
,Others ( BIDDER to specify)
Special Notes
"1.The above daily equipment rates shall apply for 10 hours/day of operational use of Subcontractor-owned and supplier's construction equipment which has been mobilized to the general vicinity of WORK SITE. And the monthly rate applies for the equipment which to be rented for at least 1 month. When Subcontractor's equipment does not resemble the equipment having rates listed herein, the rate shall be negotiated and agreed upon in writing by Contractor."
"2.Equipment rates shall include all costs to Subcontractor for mobilization, demobilization, loading and off-loading, assembly and disassembly, overtime premium, bonuses, holidays premium, fuel, maintenance, repairs, insurance, overhead and profits, and any other allowance and/or expense incurred to Subcontractor in compliance with all applicable Federal, State and Local laws."
3.Equipment rates shall include all typical equipment accessories required for use within the equipment including spare parts.
"4.Any equipment standby time for changes in SUBCONTRACT WORK caused by CONTRACTOR shall be approved by CONTRACTOR (if applicable), and shall be paid at the percentages quoted above."
5.Subcontractor's costs for any construction equipment not available at jobsite which must be rented by Subcontractor or its low tier subcontractor or suppliers for the execution of changes to SUBCONTRACT WORK shall be reimbursed at actual cost to Subcontractor plus.5%-(five percent).
"6.The cost for equipment drivers, operators, fuelers, oilers etc. are included in the Construction Equipment rates."
"7. VAT will be excluded in the proposal and submit together with the invoice, which is required to be approved by Wison."

