# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Rotary Equipment（Green）
"# Rows: 44, Cols: 26"






NO.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
RE-03-0003,1047-HO-0002,"Hoist For Wash Down Recycle
Pumps","Type: Electric Driven
Capacity (t): 2
Lifting Height:5m;travel diatance:5m
Motor Power(kW): 5
Electric Area Classification: Safe",CS,Contractor,SET,,,,,0.5,0.5,,,,,,,,,,,0
RE-03-0004,3033-HO-0001,ELECTRICAL HOIST,"Type: Electric Driven
Capacity (t): 1
Lifting Height:8m;travel diatance:5m
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,0.5,0.5,,,,,,,,,,,3835.97883597883
RE-03-0005,3033-HO-0002,ELECTRICAL HOIST,"Type: Electric Driven
Capacity (t): 1
Lifting Height:8m;travel diatance:5m
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,0.5,0.5,,,,,,,,,,,3835.97883597883
RE-03-0006,3033-HO-0003,ELECTRICAL HOIST,"Type: Electric Driven
Capacity (t): 1
Lifting Height:8m;travel diatance:5m
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,0.5,0.5,,,,,,,,,,,3835.97883597883
RE-03-0007,3033-HO-0004,ELECTRICAL HOIST,"Type: Electric Driven
Capacity (t): 1
Lifting Height:8m;travel diatance:5m
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,0.5,0.5,,,,,,,,,,,3835.97883597883
RE-03-0008,3033-HO-0005,ELECTRICAL HOIST,"Type: Electric Driven
Capacity (t): 1
Lifting Height:8m;travel diatance:5m
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,0.5,0.5,,,,,,,,,,,3835.97883597883
RE-03-0009,3033-HO-0006,ELECTRICAL HOIST,"Type: Electric Driven
Capacity (t): 1
Lifting Height:8m;travel diatance:5m
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,0.5,0.5,,,,,,,,,,,3835.97883597883
RE-03-0010,3033-L-0001,Davit,"Type: Electric Driven
Capacity (t): 3t
Lifting Height:9.6m;
Motor Power(kW): 3
Electric Area Classification: Zone 21",CS,Contractor,SET,,1,,,2,2,,,,,,,,,,,7671.95767195767
RE-04,,,Other
RE-04-0001,,Lube Oil,ISO VG32 or VG46,,Contractor,L
,,,Rotary Equipment（Green）TOTAL
NOTES:
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings."
1.1,,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials."
1.2,,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items."
1.3,,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc."
2,,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.
3,,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order."
