# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Piping (Green）
"# Rows: 251, Cols: 26"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

AP-01,,Connection Joints
AP-01-39,CARBON STEEL,,CS,Contractor,10,S-30,Butt Weld,Dia-Inch,256.67,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-40,CARBON STEEL,,CS,Contractor,10,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-41,CARBON STEEL,,CS,Contractor,12,S-20,Butt Weld,Dia-Inch,228.94,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-42,CARBON STEEL,,CS,Contractor,12,S-30,Butt Weld,Dia-Inch,38.46,,,,,,,,,,,177.777777777778
AP-01-43,CARBON STEEL,,CS,Contractor,12,S-STD,Butt Weld,Dia-Inch,12,,,,,,,,,,,177.777777777778
AP-01-44,CARBON STEEL,,CS,Contractor,12,S-80,Butt Weld,Dia-Inch,12,,,,,,,,,,,195.238095238095
AP-01-45,CARBON STEEL,,CS,Contractor,12,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-46,CARBON STEEL,,CS,Contractor,14,S-20,Butt Weld,Dia-Inch,126,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-47,CARBON STEEL,,CS,Contractor,14,S-30,Butt Weld,Dia-Inch,14,,,,,,,,,,,177.777777777778
AP-01-48,CARBON STEEL,,CS,Contractor,16,S-20,Butt Weld,Dia-Inch,51.28,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-49,CARBON STEEL,,CS,Contractor,16,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-50,CARBON STEEL,,CS,Contractor,20,S-20,Butt Weld,Dia-Inch,40,,,,,,,,,,,177.777777777778
AP-01-51,CARBON STEEL,,CS,Contractor,20,S-40,Butt Weld,Dia-Inch,20,,,,,,,,,,,177.777777777778
AP-01-52,ALLOY STEEL,,AS,Contractor,0.5,S-XXS,Butt Weld,Dia-Inch,32.05,,,,,,,,,,,214.285714285714
AP-01-53,ALLOY STEEL,,AS,Contractor,0.75,S-160,Butt Weld,Dia-Inch,48.08,,,,,,,,,,,214.285714285714
AP-01-54,ALLOY STEEL,,AS,Contractor,1,S-160,Butt Weld,Dia-Inch,64.1,,,,,,,,,,,214.285714285714
AP-01-55,ALLOY STEEL,,AS,Contractor,1.5,S-160,Butt Weld,Dia-Inch,96.15,,,,,,,,,,,214.285714285714
AP-01-56,ALLOY STEEL,,AS,Contractor,2,S-160,Butt Weld,Dia-Inch,2,,,,,,,,,,,214.285714285714
AP-01-57,ALLOY STEEL,,AS,Contractor,6,S-120,Butt Weld,Dia-Inch,6,,,,,,,,,,,214.285714285714
AP-01-58,ALLOY STEEL,,AS,Contractor,10,S-120,Butt Weld,Dia-Inch,10,,,,,,,,,,,214.285714285714
AP-01-59,ALLOY STEEL,,AS,Contractor,14,S-120,Butt Weld,Dia-Inch,14,,,,,,,,,,,214.285714285714
AP-01-60,STAINLESS STEEL,,SS,Contractor,0.75,S-80S,Butt Weld,Dia-Inch,48.17,,,,,,,,,,,209.52380952381
AP-01-61,STAINLESS STEEL,,SS,Contractor,0.75,S-80S,Fillet Weld,Dia-Inch,3,,,,,,,,,,,209.52380952381
AP-01-62,STAINLESS STEEL,,SS,Contractor,0.75,CL 3000,Fillet Weld,Dia-Inch,7.5,,,,,,,,,,,247.619047619048
AP-01-63,STAINLESS STEEL,,SS,Contractor,1,S-80S,Butt Weld,Dia-Inch,525.64,,,,,,,,,,,209.52380952381
AP-01-64,STAINLESS STEEL,,SS,Contractor,1,S-80S,Fillet Weld,Dia-Inch,690,,,,,,,,,,,209.52380952381
AP-01-65,STAINLESS STEEL,,SS,Contractor,1,CL 3000,Fillet Weld,Dia-Inch,590,,,,,,,,,,,247.619047619048
AP-01-66,STAINLESS STEEL,,SS,Contractor,1.5,S-80S,Butt Weld,Dia-Inch,119.46,,,,,,,,,,,209.52380952381
AP-01-67,STAINLESS STEEL,,SS,Contractor,2,S-10S,Butt Weld,Dia-Inch,25.64,,,,,,,,,,,190.47619047619
AP-01-68,STAINLESS STEEL,,SS,Contractor,2,S-40S,Butt Weld,Dia-Inch,383.13,,,,,,,,,,,190.47619047619
AP-01-69,STAINLESS STEEL,,SS,Contractor,3,S-10S,Butt Weld,Dia-Inch,2638.85,,,,,,,,,,,190.47619047619
AP-01-70,STAINLESS STEEL,,SS,Contractor,4,S-10S,Butt Weld,Dia-Inch,1687.38,,,,,,,,,,,190.47619047619
AP-01-A,,"Jacketed Pipe Installation.Quantity shown is only for outer jacket pipe,core pipe quantity will not be measured seperately.
Hydrotest related to Site weld for adjusment spools  will not be measured seperately.",,,,,,,,,,,,,,,,,,0
AP-01-A-1,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-20",CS,Contractor,8,S-20,FLGD,LM,24.9,,,,,,,,,,,150.793650793651,,Updated quantity for jacket pipe
AP-01-A-2,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-20",CS,Contractor,10,S-20,FLGD,LM,178.25,,,,,,,,,,,222.222222222222,,Updated quantity for jacket pipe
AP-01-A-3,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-20",CS,Contractor,12,S-20,FLGD,LM,47.33,,,,,,,,,,,261.904761904762,,Updated quantity for jacket pipe
AP-01-A-4,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-20",CS,Contractor,16,S-20,FLGD,LM,513.56,,,,,,,,,,,317.460317460317,,Updated quantity for jacket pipe
AP-01-A-5,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-20",CS,Contractor,20,S-20,FLGD,LM,78.25,,,,,,,,,,,420.634920634921,,Updated quantity for jacket pipe
AP-01-A-6,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-40",CS,Contractor,3,S-40,FLGD,LM,132.97,,,,,,,,,,,71.4285714285714,,Updated quantity for jacket pipe
AP-01-A-7,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-40",CS,Contractor,4,S-40,FLGD,LM,177.89,,,,,,,,,,,103.174603174603,,Updated quantity for jacket pipe
AP-01-A-8,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-40",CS,Contractor,6,S-40,FLGD,LM,359.8,,,,,,,,,,,136.507936507937,,Updated quantity for jacket pipe
AP-01-A-9,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-80",CS,Contractor,0.75,S-80,FLGD,LM,0.06,,,,,,,,,,,47.6190476190476,,Updated quantity for jacket pipe
AP-01-A-10,Jacketed Pipe,"Pipe ,ASME B36.10M ,BE ,A106 Gr.B ,SMLS ,S-80",CS,Contractor,4,S-80,FLGD,LM,2.98,,,,,,,,,,,178.571428571429,,Updated quantity for jacket pipe
AP-01-A-11,Jacketed Pipe Adjustment Joint,"CS welding joints for jacket pipe adjustment for site installation, irrespective of NPS size ,location and schedule",CS,Contractor,ALL,ALL,Butt/Fillet,Dia-Inch,100,,,,,,,,,,,555.555555555556,,Updated quantity for jacket pipe
AP-02,,Valves,,,,,,,,,,,,,,,,,,0
AP-02-01,,Gate valve,,,,,,,,,,,,,,,,,,0
AP-02-01-0001,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Gear operator ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,16,CL150,FLGD,PCS,,,,,,,,,,,,2380.95238095238
AP-02-01-0002,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,STD Port,ASME B16.5",CS,Contractor,2,CL150,FLGD,PCS,,,,,,,,,,,,79.3650793650794
AP-02-01-0003,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,2,CL150,FLGD,PCS,49,,,,,,,,,,,158.730158730159
AP-02-01-0004,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,12,CL150,FLGD,PCS,,,,,,,,,,,,1746.03174603175
AP-02-01-0005,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 300 ,RF ,BB,OS&Y,FlexWedge ,Gear operator ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,10,CL300,FLGD,PCS,,,,,,,,,,,,1428.57142857143
AP-02-01-0006,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 300 ,RF ,BB,OS&Y,FlexWedge ,Gear operator ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,12,CL300,FLGD,PCS,,,,,,,,,,,,1746.03174603175
AP-02-01-0007,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 300 ,RF ,BB,OS&Y,FlexWedge ,Gear operator ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,20,CL300,FLGD,PCS,,,,,,,,,,,,3174.60317460317
AP-02-01-0008,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 300 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,2,CL300,FLGD,PCS,1,,,,,,,,,,,158.730158730159
