# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical (Green）
"# Rows: 322, Cols: 44"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,UNIT 30,"UNIT 40 
SSB","UNIT 40 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
EL-07-0001,,Emergency Main Lighting Panel,"0.415kV Emergency Main Lighting Panel
- 415V, 630A, 65kA/1s
- CT/PT, ATS
- MCCB and so on",,ea,,,,,,,,,,,,,,,0
EL-07-0001,,Main HVAC Power Distribution Panel,"HVAC power panel
- 415V, 2000A, 65kA/1s
- CT/PT, ATS
- ACB, MCCB and so on",,ea,,,,,,,,,,,,,,,0
EL-07-0001,,Main HVAC Power Distribution Panel,"HVAC power panel
- 415V, 400A, 65kA/1s
- CT/PT, ATS
- MCCB and so on",,ea,,,,,,,,,,,,,,,0
EL-08,,,UPS,,,,,,,,,,,,,,,,,0
EL-08-0001,1012-UPSAC-6001,UPS,"AC UPS:

- Input 415V 3ph
- Output 415V, 100kVA, 65kA, 1s
- 30minutes battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch
",,set,,,,,,,,,,,,,,,0
EL-08-0001,1012-UPSAC-6002,UPS,"AC UPS:

- Input 415V 3ph
- Output 415V, 60kVA, 65kA, 1s
- 8Hrs battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch
",,set,,,,,,,,,,,,,,,0
EL-08-0001,1013-UPSAC-6001,UPS,"AC UPS:

- Input 415V 3ph
- Output 240V, 45kVA, 65kA, 1s
- 8Hrs battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch
",,set,,,,,,,,,,,,,,,0
EL-08-0002,1012-UPSDC-6001,UPS,"DC UPS:

- Input 415V 3ph
- Output 110V DC, 15kVA, 65kA
- 8Hrs battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch

",,set,,,,,,,,,,,,,,,0
EL-09,,,Capacitor Bank,,,,,,,,,,,,,,,,,0
EL-09-0001,1012-PFI-6001A/B,Capacitor Panel,"11kV Capacitor panel:

- 11kV, 630A, 65kA, 31.5kA/1s
- 800kVAR
- 3 steps ",,set,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,0
EL-01,,,LIGHTING POLE,,,,,,,,,,,,,,,,,0
EL-01-0001,,LIGHTING POLE,"2.4 METER POLE ( for LED Lighting Fixture, Stanchion Mounting Type )
HOT DIPPED GALVANIZED STEEL POLE, MIN 2.5 mm THICKNESS WITH A
PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX STANCHION
MOUNTING TYPE TO HAND RAIL WITH ALL NECESSARY MOUNTING
ACCESSORIES",,,,,,,,,,,,,,,,,0
,,,"FOR LED LIGHT, 70W",Contractor,set,,120,30,,,,,,,,,,,,132.275132275132
,,,"FOR FLUORESCENT LIGHT, 2 x 18W",,set,,,,,,,,,,,,,,,0
EL-01-0002,,LIGHTING POLE,"1.5 METER POLE ( for Fluorescent Lighting Fixture, Bracket Mounting Type ) HOT DIPPED GALVANIZED STEEL POLE, MIN 2.5 mm THICKNESS  WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   WITH ALL NECESSARY MOUNTING ACCESSORIES",,,,,,,,,,,,,,,,,0
,,,"FOR  FLUORESCENT LIGHT, 2 x 36W",,set,,,,,,,,,,,,,,,0
EL-01-0003,,LIGHTING POLE,"6M POLE (for LED Lighting Fixture , Column Mounting Type ) HOT DIPPED GALVANIZED STEEL COLUMN COLUMN MOUNTING TYPE ON CONCRETE FOUNDATION WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   AND ALL NECESSARY MOUNTING ACCESSORIES COMPLETE  NUMBER ANCHOR BOLTS AND WASHERS FOR COLUMN",,,,,,,,,,,,,,,,,0
,,,"FOR STREET LIGHTING, 150W,LED Flood Lighting",Contractor,set,,,,20,,,,,,,,,,,264.550264550265
EL-01-0004,,LIGHTING POLE,"10M POLE (for LED Lighting Fixture , Column Mounting Type ) HOT DIPPED GALVANIZED STEEL COLUMN COLUMN MOUNTING TYPE ON CONCRETE FOUNDATION WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   AND ALL NECESSARY MOUNTING ACCESSORIES COMPLETE  NUMBER ANCHOR BOLTS AND WASHERS FOR COLUMN",,,,,,,,,,,,,,,,,0
,,,"FOR STREET LIGHTING, 150W,LED Flood Lighting",Contractor,set,,,,30,,,,,,,,,,,529.100529100529
EL-02,,,ELECTRICAL CONDUIT,,,,,,,,,,,,,,,,,0
EL-02-0001,,,"HOT DIP GALVANIZED, RIGID STEEL CONDUIT W/COUPLING AT ONE END 6000mm LONG , ZINC (HOT-DIP GALVANIZING) COATING SHALL BE ACCORDING TO STANDARD ""ASTM A123/A 123M""",,,,,,,,,,,,,,,,,0
,,ELECTRICAL CONDUIT,"1""(D)  X 6M(LONG)",Subcontractor,lm,,120,120,,,,,,5.29100529100529,,,,,,18.5185185185185
,,ELECTRICAL CONDUIT,"2""(D)  X 6M LONG",Subcontractor,lm,,120,120,,,,,,5.29100529100529,,,,,,22.4867724867725
,,ELECTRICAL CONDUIT,"3""(D)  X 6M LONG",,lm,,,,,,,,,,,,,,,0
,,ELECTRICAL CONDUIT,"4""(D)  X 6M LONG",,lm,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,0
EL-03,,,"LIGHTING FIXTURE & RECEPTACLE [INDOOR (polycarbonate for industrial & indoor type)& OUTDOOR
TYPE(Aluminum or GRP for EX type)]",,,,,,,,,,,,,,,,,0
EL-03-0001,,,"LED, Well glass fixture, Ceiling mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,,,,,,,,,,,,,,0
,,LIGHTING FIXTURE,70W,Contractor,set,,20,,,,,,,,,,,,,79.3650793650794
,,LIGHTING FIXTURE,2 x 18W,,set,,,,,,,,,,,,,,,0
EL-03-0002,,,"LED(Emergency with 1.5 hour battery backup), Well glass fixture, Ceiling mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,,,,,,,,,,,,,,0
