# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Instrumentation(Green）
"# Rows: 231, Cols: 27"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
IN-02-02-0004,,Gas Detector,"Detector (H2S) :
- Operating Principle: Solid state/ electrochemical cell type with electrodes
- Measuring Range:   0-50 ppm
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol, with SIL II certification;
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,Contractor,ea,,10,0,0,6,,,,,,,,,,,,,92.5925925925926
IN-02-02-0005,,Analyzers,"pH Analyzer, PG 13.5 thread,  Shaft material: Glass, Range: 2~12 pH, Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0006,,Analyzers,"CL Analyzer, PG 13.5 thread,  Shaft material: Glass, Range: TBD, Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0007,,Analyzers,"COND , Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02,,,Analyzers,,,,,,,,,,,,,,,,,,,,,0
IN-02-02-0001,,Analyzers," Moisture Monitors, wall mounting type, 5 streams, 1 sensor each stream with sample system, with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA
(122-AE-008A ,122-AE-008B,123-AE-001,123-AE-002,123-AE-006)",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0002,,Analyzers,"Moisture Monitors, wall mounting type, 1 streams, 1 sensor with sample system,  with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0003,,Analyzers," Moisture Monitors, wall mounting type, 1 streams, 1 sensor with sample system,  with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03,,,Valves,,,,,,,,,,,,,,,,,,,,,0
IN-02-03-0001,,Control valve,"Globe（Single seat globe);  
Flange：3"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0002,,Control valve,"Globe（Single seat globe);  
Flange：6"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-002,,Control valve,"Control Valve // Body_Type:Plug; Size:3""; Rating:150# RF; Body_Material:A216 GR. WCB; Plug Material:API Trim #8; Actuator_Type:SPRING & DIAPHRAGM;Leakage:Class IV; Positioner:Digital Smart ; Signal:4-20mA+HART.",,Contractor,ea,,,,0,1,,,,,,,,,,,,,767.195767195767
IN-02-03-0003,,Control valve,"Globe（Single seat globe);  
Flange：2"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0004,,Control valve,"Globe（Single seat globe);  
Flange：2"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0005,,Control valve,"Globe（Double seat globe);  
Flange：12"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI VI(TSO);
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;
PROXIMITY SWITCHES ,IP65,ELECTRIAL CONNECTION: ISO M20",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0006,,Control valve,"Globe（Double seat globe);  
Flange：16"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI VI(TSO);
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;
PROXIMITY SWITCHES - 1NOS.(TAG NO.: 1032-PZSO -0013),IP65,ELECTRIAL CONNECTION:ISO M20",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0007,,Control valve,"Globe（Double seat globe);  
Flange：10"" ASME CL900 RF; 
Body Material ：ASTM A217 WC6;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;
PROXIMITY SWITCHES - 1NOS.IP65,ELECTRIAL CONNECTION: ISO M20",,,ea,,,,,,,,,,,,,,,,,,0
