# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Instrumentation(Green）
"# Rows: 231, Cols: 27"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
IN-02-03-0031,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：4"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0032-1,,On-Off Vlave,"On-Off Valve // Body_Type:STEAM JACKETED PLUG VALVE; Size:6""X4""; Rating:300# RF; Body_Material:A216 GR. WCB; Plug Material:API Trim #8; Actuator_Type:SPRING & DIAPHRAGM; Fire Protection:As per API 6FA / BS EN ISO 10497;PST device:required;Proximity Limit_Switches_Qty:2 NOS; Enclosure Protection:Required As per IEC 60529; Valve Tightness:API 598.",,Contractor,ea,,,,,5,,,,,,,,,,,,,529.100529100529
IN-02-03-0032-2,,"2020-XV-0117,0122,0111",On-Off Vlave,,Contractor,ea,,,,0,3,,,,,,,,,,,,,529.100529100529
IN-02-03-0032-3,,On-Off Vlave,"On-Off Valve // Body_Type:STEAM JACKETED PLUG VALVE; Size:6""X4""; Rating:300# RF; Body_Material:A216 GR. WCB; Plug Material:API Trim #8; Actuator_Type:SPRING & DIAPHRAGM; Fire Protection:As per API 6FA / BS EN ISO 10497;PST device:required;Proximity Limit_Switches_Qty:2 NOS; Enclosure Protection:Required As per IEC 60529; Valve Tightness:API 598.",,Contractor,ea,,,,,4,,,,,,,,,,,,,529.100529100529
IN-02-03-0032-4,,On-Off Vlave,"On-Off Valve // Body_Type:STEAM JACKETED PLUG VALVE; Size:6""X4""; Rating:300# RF; Body_Material:A216 GR. WCB; Plug Material:API Trim #8; Actuator_Type:SPRING & DIAPHRAGM; Fire Protection:As per API 6FA / BS EN ISO 10497;PST device:required;Proximity Limit_Switches_Qty:2 NOS; Enclosure Protection:Required As per IEC 60529; Valve Tightness:API 598.",,Contractor,ea,,,,,4,,,,,,,,,,,,,529.100529100529
IN-02-03-0033,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：6"" ASME CL300 RF;                    
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;                                                                                                                                 Shutoff Class: ANSI V;
Actuator: Pneumatic;FO, Maximum Closing Time:4s
with one solenoid valve(IECEx'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0034,,Sov,"
Screw：G3/4"" ASME CL300 RF;                    
Body Material ：ASTM A216 GR WCB;                                                                                                                                
 Shutoff Class: ANSI V;
Explosion proof: IEC Ex'd';
IP65 as minimum


",,,ea,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,0
IN-02-04,,,Desuperheater,,,,,,,,,,,,,,,,,,,,,0
IN-02-04-0001,,Desuperheater,"Desuperheater Skid：Including control valves, manual valves, check valves, strainers and pipes, sunshade, etc. 
Steam Side：IHP/HP Steam,Steam Side Inlet line size:10"" (DG1A1L-FH-H) , Steam Side Outlet line size:12"" (DG1A1L-FH-H), Water Side: 2"" (BC1A3B-FH-H).
Steam side: CL900 RF, material: 1 1/4 Cr - 1/2 Mo P11;
Water side: CL300 RF, material: CS
The Actuator of control valve shall be Pneumatic,FC, and shall be supplied with Smart Positioner,IECEx iaIIC T4,IP66,4-20mA+HART;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-04-0002,,Desuperheater,"Desuperheater Skid：Including control valves, manual valves, check valves, strainers and pipes, sunshade, etc. 
Steam Side：MP Steam,Steam Side Inlet line size:10"" (BC1A1B-FH-H) , Steam Side Outlet line size:14"" (AC1A1B-FH-H), Water Side: 1"" (BC1A3B-FH-H).
Steam side: CL300 RF, material: CS;
Water side: CL300 RF, material: CS
The Actuator of control valve shall be Pneumatic,FC, and shall be supplied with Smart Positioner,IECEx iaIIC T4,IP66,4-20mA+HART;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05,,,Flow Instrument,,,,,,,,,,,,,,,,,,,,,0
IN-02-05-0001,,Flow Instrument,"Steam Jacketed Coriolis;
Fluid name: SULPLUR;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:16""x12"" ASME B16.5 300CL RF; 
Remote Transmitter with 2'' bracket pipe installation; 
with LCDer and Sunshade
4-20mA+HART output;
IEC Ex ia IIC T4, IP65        ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0002,,Flow Instrument,"Steam Jacketed Coriolis;
Fluid name: SULPLUR;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:10""x8""ASME B16.5 150CL RF; 
Remote Transmitter with 2'' bracket pipe installation; 
with LCDer and Sunshade
4-20mA+HART output;
IEC Ex ia IIC T4, IP65                                      ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0003,,Flow Instrument,"Steam Jacketed Coriolis;
Fluid name: SULPLUR;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:16""x12""ASME B16.5 150CL RF; 
Remote Transmitter with 2'' bracket pipe installation; 
with LCDer and Sunshade
4-20mA+HART output;
IEC Ex ia IIB T3, IP65                                      ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0004,,Flow Instrument,"Steam Jacketed Coriolis;
Fluid name: SULPLUR;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:10""x8""ASME B16.5 150CL RF; 
Remote Transmitter with 2'' bracket pipe installation; 
with LCDer and Sunshade
4-20mA+HART output;
IEC Ex ia IIC T4, IP65                                      ",,Contractor,ea,,,,,3,,,,,,,,,,,,,178.571428571429
IN-02-05-0004,,Flow Instrument,"Metal Tube Rotameter;
Fluid name: POTABLE WATER;
Measuring Element Material: 316SS;
Body Material: 316SS;
Flange:2""ASME B16.5 HOLD CL RF; 
IP65                                                              ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0005,,Flow Instrument,"Metal Tube Rotameter;
Fluid name: NITROGEN;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:1/2''ASME B16.5 CL150 RF
IP65
Rotameter is used for purge and inlet pressure gauge, filter, and inlet regulator, inlet ball valve, outlet pressure gauge need to be provided as a set and installed centrally on the 316LSS bracket.                                                              ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0006,,Flow Instrument,"Metal Tube Rotameter;
Fluid name: NITROGEN;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:1/2''ASME B16.5 CL150 RF
IP65
Rotameter is used for purge and inlet pressure gauge, filter, and inlet regulator, inlet ball valve, outlet pressure gauge need to be provided as a set and installed centrally on the 316LSS bracket.                                                          ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0007,,Flow Instrument,"Metal Tube Rotameter;
Fluid name: NITROGEN;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:1/2''ASME B16.5 CL150 RF
IP65
Rotameter is used for purge and inlet pressure gauge, filter, and inlet regulator, inlet ball valve, outlet pressure gauge need to be provided as a set and installed centrally on the 316LSS bracket.                                                        ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0008,,Flow Instrument,"Metal Tube Rotameter;
Fluid name: NITROGEN;
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:1''ASME B16.5 CL150 RF
IP65
Rotameter is used for purge and inlet pressure gauge, filter, and inlet regulator, inlet ball valve, outlet pressure gauge need to be provided as a set and installed centrally on the 316LSS bracket. ",,Contractor,ea,,,,,1,,,,,,,,,,,,,130.952380952381
IN-02-05-0009,,Flow Instrument,"Standard Orifice Plate;
Fluid name: PROCESS WATER;
Orifice Plate Material: ASTM A182 GR F316/316L;
Orifice Flanges Material: ASTM A182 GR F316/316L;
Gasket Material: SP. WINDING + INNER RING: SS316, FILLER: GRAPHITE, SS316 OUTER RING
Bolts Material: STUD: ASTM A193 GR. B7, ASTM A194 GR. 2H
Flange:6"" ASME B16.5 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0010,,Flow Instrument,"Standard Orifice Plate;
Fluid name: NITROGEN;
Orifice Plate Material: ASTM A105N;
Orifice Flanges Material: ASTM A105N;
Gasket Material: SP. WINDING + INNER RING: SS316, FILLER: GRAPHITE, SS316 OUTER RING
Bolts Material: STUD: ASTM A193 GR. B7, ASTM A194 GR. 2H
Flange:3"" ASME B16.5 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0011,,Flow Instrument,"Standard Orifice Plate;
Fluid name:HIGH PRESSURE STEAM;
Orifice Plate Material: ASTM A182 GR. F11 CL2;
Orifice Flanges Material: ASTM A182 GR. F11 CL2;
Gasket Material: SP. WINDING + INNER RING: SS 347, FILLER: MICA &GRAPHITE, SS 316 OUTER RING
Bolts Material: STUD: ASTM A193 GR. B16 ASTM A194 GR. 7
Flange:10"" ASME B16.5 900CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0012,,Flow Instrument,"Standard Orifice Plate;
Fluid name: LP STEAM CONDENSATE;
Orifice Plate Material: ASTM A105N;
Orifice Flanges Material: ASTM A105N;
Gasket Material:SP. WINDING + INNER RING: SS316, FILLER: 
GRAPHITE, CS OUTER RING
Bolts Material:STUD: ASTM A193 GR. B16, ASTM A194 GR. 7
Flange:3"" ASME B16.5 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0013,,Flow Instrument,"Standard Orifice Plate;
Fluid name: MEDIUM PRESSURE STEAM;
Orifice Plate Material: ASTM A105N;
Orifice Flanges Material: 3ASTM A105N;
Gasket Material: SP. WINDING + INNER RING: SS316, FILLER: 
GRAPHITE, CS OUTER RING
Bolts Material: STUD: ASTM A193 GR. 
B16, ASTM A194 GR. 7
Flange:14"" ASME B5.36 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0014,,Flow Instrument,"Integral orifice meters; 
Fluid name:LOW PRESSURE STEAM CONDENSATE;
Orifice Plate Material: 316SS;
Orifice Flanges Material: 316SS;
Flange:1-1/2"" ASME B16.36 300CL RF;
Orifice Flanges shall be socket welded to the upstream and 
downstream piping sections, which shall be supplied with the meter.                                                  ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0015,,Flow Instrument,"Standard Orifice Plate;
Fluid name: LP CONDENSATE;
Orifice Plate Material: ASTM A105N;
Orifice Flanges Material: ASTM A105N;
Gasket Material: SP. WINDING + INNER RING: SS316, FILLER: 
GRAPHITE, CS OUTER RING
Bolts Material: STUD: ASTM A193 GR. B16, ASTM A194 GR. 7
Flange:3"" ASME B16.5 300CL RF;                                                        ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0016,,Flow Instrument,"Standard Orifice Plate;
Fluid name: WASH DWON WATER;
Orifice Plate Material: ASTM A182 GR F316/316L;
Orifice Flanges Material: ASTM A182 GR F316/316L;
Gasket Material: SP. WINDING + INNER RING: SS316, FILLER: GRAPHITE, SS316 OUTER RING
Bolts Material: STUD: ASTM A193 GR. B7, ASTM A194 GR. 2H
Flange:3"" ASME B16.5 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0017,,Flow Instrument,"Standard Orifice Plate;
Fluid name: UTILITY WATER;
Orifice Plate Material: ASTM A182 GR F316/316L;
Orifice Flanges Material: ASTM A182 GR F316/316L;
Gasket Material: SP. WINDING + INNER RING: SS316, FILLER: GRAPHITE, SS316 OUTER RING
Bolts Material: STUD: ASTM A193 GR. B7, ASTM A194 GR. 2H
Flange:3"" ASME B16.5 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0018,FITs,Flow Instrument,"Differential Pressure Transmitter integrated LCD display
with 2'' bracket pipe installation and Sunshade
4-20mA+HART output;
Element Material: 316LSS;
Housing Material: 316LSS;
Process Connection: 1/2'' NPT;
Manifold Connection Size: ½'' NPT;
Electrical Connection: 2 x ISO M20
with 5-valve manifold
IEC Ex ia IIB T3, IP65;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0019,,Flow Instrument,"Restriction Orifice;
Fluid name: IHP/HP STEAM;
Orifice Material: ASTM A182 GR. F11 CL2;
Flange Size :2"" 900CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0020,FOs,Flow Instrument,"Restriction Orifice;
Fluid name: LP STEAM;
Orifice Material: 316SS;
Flange Size :3"" 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0021,,Flow Instrument,"Restriction Orifice;
Fluid name: LP STEAM;
Orifice Material: 316SS;
Flange Size :2"" 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0022,,Flow Instrument,"Steam Jacketed Restriction Orifice;
Fluid name: SULPHUR;
Orifice Material: 316SS;
Flange Size :6""x4"" 300CL RF;                                                     ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-05-0003,,Restriction orifice,"Orifice type:restriction orifice;Material:316 St. St. as minimum;Size: 3"";Rating:300#;Facing:RF;
 ",,Contractor,ea,,,,,6,,,,,,,,,,,,,211.640211640212
IN-02-05-0004,,Restriction orifice,"Orifice type:restriction orifice;Material:316 St. St. as minimum;Size: 2"";Rating:300#;Facing:RF;
 ",,Contractor,ea,,,,,2,,,,,,,,,,,,,211.640211640212
IN-02-06,,,Level Instrument,,,,,,,,,,,,,,,,,,,,,0
IN-02-06-0001,,Level Instrument,"Magnetic level gauge, 
Scale:0~1500mm(HOLD);
Flange: 2"" ASME CL300 RF;
For float, flanges and chamber:316SS;IP65; ",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-06-0002,LITs,Level Instrument,"Level Transmitter-Bubbler Type,
Pressure Transmitter, IEC Ex iaIICT4, IP65, 4-20mA.DC+HART, with LCD and remote Local  indicator; Range:HOLD
Accuray:±0.2% of span;（for 0°C ~87°C service condition）;
with 2'' bracket pipe installation and Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-06-0003,,Level Instrument,"Level Transmitter-Radar Type,
IECEx iaIIC T4, 4-20mA.DC+HART, 316SS,IP65;  DN100 300LB RF
Accuray:±0.1% of span;  Range:HOLD
Electrical connection: 2 x ISO M20; Power supply:24VDC loop powered
with integrated LCD display and Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-06-0004,,Level Instrument,"Level Transmitter-Radar Type,
IECEx iaIIC T4, 4-20mA.DC+HART, 316SS, IP65; DN100 300LB
Accuray:±0.1% of span; Range:HOLD
with SIL III certification;
Electrical connection: 2 x ISO M20; Power supply:24VDC loop powered
with LCD and remote Local  indicator; with Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-06-0005,,Level Instrument,"Level Transmitter ,
(LEVEL TRANSMITTER - DP)PRESSURE TRANSMITTER,
with Local LCD indicator（for 0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.2% of span;
Electrical connection: 2 x ISO M20; Power supply:24VDC loop powered
with 316SS integral  5-way manifold, 
IECEx iaIIC T4, IP65
with 2'' bracket pipe installation and Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-06-0001,,Level Instrument,"Level Transmitter-Bubbler Type,
Pressure Transmitter, IEC Ex iaIICT4, IP65, 4-20mA.DC+HART, with LCD and remote Local  indicator; Range:HOLD
Accuray:±0.2% of span;（for 0°C ~87°C service condition）;
with 2'' bracket pipe installation and Sunshade",,Contractor,ea,,,,,1,,,,,,,,,,,,,462.962962962963
IN-02-06-0002,,Level Instrument,"Transmitter:Radar Level Transmitter;Horn Antenna,6""-300#,Electrical connection:M20x1.5;Power supply:24VDC loop powered;Output signal:4-20mA/HART7;Enclosure Protection:IP 65 as per IEC 60529;Integral  Indicator:Yes;Accuracy:0.1% of span.",,Contractor,ea,,,,,1,,,,,,,,,,,,,462.962962962963
IN-02-06-0003,,Level Instrument,"Transmitter:Radar Level Transmitter;Horn Antenna,6""-300#,Electrical connection:M20x1.5;Power supply:24VDC loop powered;Output signal:4-20mA/HART7;Enclosure Protection:IP 65 as per IEC 60529;Integral  Indicator:Yes;Accuracy:0.1% of span. With HOT DIPPED GALVANISED sunshade.",,Contractor,ea,,,,,3,,,,,,,,,,,,,462.962962962963
IN-02-06-0004,,Level Instrument,"Transmitter:Radar Level Transmitter;Horn Antenna,6""-300#,Electrical connection:M20x1.5;Power supply:24VDC loop powered;Output signal:4-20mA/HART7;Enclosure Protection:IP 65 as per IEC 60529;Integral  Indicator:Yes;Accuracy:0.1% of span. With HOT DIPPED GALVANISED sunshade.",,Contractor,ea,,,,,3,,,,,,,,,,,,,462.962962962963
IN-02-06-0005,,Level Instrument,"Transmitter:Radar Level Transmitter;Horn Antenna,6""-300#,Electrical connection:M20x1.5;Power supply:24VDC loop powered;Output signal:4-20mA/HART7;Enclosure Protection:IP 65 as per IEC 60529;Integral  Indicator:Yes;Accuracy:0.1% of span. With HOT DIPPED GALVANISED sunshade.",,Contractor,ea,,,,,3,,,,,,,,,,,,,462.962962962963
IN-02-06-0006,,Level Instrument,"Local indicator:Ex_Certification:FM/UL; 
   Ex_Class:Class 1, Div 2, GR B,C,D T3; 
   Enclosure Protection:NEMA4X",,Contractor,ea,,,,,10,,,,,,,,,,,,,158.730158730159
IN-02-07,,,Pressure Instrument,,,,,,,,,,,,,,,,,,,,,0
"IN-02-07-0001
",PITs,Pressure Instrument,"PRESSURE TRANSMITTER, 
with Local LCD indicator（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of span; Range:HOLD
with 316SS integral 2-valve integral manifold.
IECEx iaIIC T4, IP65
Electrical connection: 2 x ISO M20; Power supply:24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
with 2'' bracket pipe installation and Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
"IN-02-07-0002
",,Pressure Instrument,"PRESSURE TRANSMITTER with diaphragm seal
with Local LCD indicator（for   -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of span; Range:HOLD
IECEx iaIIC T4, IP65, 2” Flanged Connection,
with capillary,Capillary Length 5m，
Power supply:24VDC loop powered
Electrical connection: 2 x ISO M20;
with 2'' bracket pipe installation and Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
"IN-02-07-0003
",,Pressure Instrument,"Differential Pressure Transmitter integrated LCD display (for  -0°C ~87  service condition), 
IECEx iaIIC T4, IP65, 4-20mA.DC+HART, 316SS, 2” Flanged Connection,
with capillary,Capillary Length 5m×2，Power supply:24VDC loop powered;
Electrical connection: 2 x ISO M20;
with 2'' bracket pipe installation and Sunshade",,,ea,,,,,,,,,,,,,,,,,,0
"IN-02-07-0004
","PGs
",Pressure Instrument,"Pressure Gauge, Dial 100mm, 316SS Case, IP65, With 2 valve manifold and Gauge Adapter， Accuracy: ± 1.0% of full scale，Range:hold,  NPT Connection with  Solid front & blow out protection",,,ea,,,,,,,,,,,,,,,,,,0
"IN-02-07-0005
",,Pressure Instrument,"Pressure Gauge with Dial 100mm, 316SS Case, IP65, With 2 valve manifold and Gauge Adapter， Accuracy: ± 1.0% of full scale，Range:hold, NPT Connection with  Solid front & blow out protection,
with pipe siphon",,,ea,,,,,,,,,,,,,,,,,,0
"IN-02-07-0006
","PGs
",Pressure Instrument,"Pressure Gaugewith Diaphragm seal , Dial 100mm, 316SS Case, IP65, With 2 valve manifold and Gauge Adapter，Accuracy: ± 1.0% of full scale，Range:hold, 2” Flanged Connection, with  Solid front & blow out protection",,,,,,,,,,,,,,,,,,,,,0
"IN-02-07-0007
",,Pressure Instrument,"Pressure Gauge, Dial 100mm, 316SS Case, IP65,  With 2 valve manifold and Gauge Adapter， Accuracy: ± 1.0% of full scale，Range:hold, 2” Flanged Connection",,,ea,,,,,,,,,,,,,,,,,,0
"IN-02-07-0001
",,Pressure Instrument,"Transmitter:Diaphragm seal type,316SS,3-300#,Electronic smart;Electrical connection:2 X ISO M20;Power supply:24VDC loop powered;Output signal:4-20mA/HART;Enclosure Protection:As per IEC 60529;Integral  Indicator:Yes;Housing Material:Aluminum alloy with polyurethane paint. With HOT DIPPED GALVANISED sunshade.",,Contractor,ea,,,,,5,,,,,,,,,,,,,264.550264550265
"IN-02-07-0002
",,Pressure Instrument,"Differential Pressure Transmitter integrated LCD display (for  -0°C ~87  service condition), 
IECEx iaIIC T4, IP65, 4-20mA.DC+HART, 316SS, 2” Flanged Connection,
with capillary,Capillary Length 5m×2，Power supply:24VDC loop powered;
Electrical connection: 2 x ISO M20;
with 2'' bracket pipe installation and Sunshade",,Contractor,ea,,,,,1,,,,,,,,,,,,,462.962962962963
"IN-02-07-0003
","PGs
",Pressure Instrument,"Gauge type:Diaphragm seal type;3""-300#,Inc. 825 or Hastelloy 276,Capillary Length 5m,Over Range Protection:1.3, Accuracy: ± 0.5% .",,Contractor,ea,,,,,13,,,,,,,,,,,,,462.962962962963
IN-02-08,,,Temperature Instrument,,,,,,,,,,,,,,,,,,,,,0
IN-02-08-0001,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:1½” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 150mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-08-0002,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:1½” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 200mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-08-0003,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:1½” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 350mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-08-0004,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:1½” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 400mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-08-0005,,Temperature Instrument,"Temperature Gauge, Thermowell material:SS316 as minimum;Pipe or Equip Connection:1½” 300# RF;Insertion U Length:200mm.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-08-0006,,Temperature Instrument,"Temperature Gauge, Thermowell material:SS316 as minimum;Pipe or Equip Connection:1½” 900# RF;Insertion U Length:200mm.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-09,PCVs,Pressure Regulator,"Pressure regulator, process connection:1/4"" FNPT, body materials: MFR standard, rating: 17.2 bar, output set pressure: 1.4 bar, with S.S. 4"" outlet gauge (range: 0~4 barg)",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-08-0001,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:3” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 3400mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,Contractor,ea,,,,,9,,,,,,,,,,,,,661.375661375661
IN-02-08-0002,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:3” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 1600mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,Contractor,ea,,,,,2,,,,,,,,,,,,,661.375661375661
IN-02-08-0003,TE/TITs,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Process Connection:3” 300# RF; 
Element connection:1/2"" NPT(F); 
Construction Type:Drilled, Solid Barstock;Insertion 
Insert Length: 500mm;
With Temperature Transmitter integrated with LCD（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of full range;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X ISO M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.
With Sunshade.",,Contractor,ea,,,,,1,,,,,,,,,,,,,661.375661375661
IN-03,,,Instrument Material,,,,,,,,,,,,,,,,,,,,,0
IN-03-01,,,Cable,,,,,,,,,,,,,,,,,,,,,0
