# Source: Att 01_BOQ - Civil - BLDG Pkg II.xlsx
# Sheet: PLOT_PLAN（Green）
# Rows: ~219 data rows

,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,,
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,,
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,,
NO.1,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3,Angle Steel,Embed angled steel on both sides of ditch to provide structural support for the grating cover,,T,32.000904,32.000904,,,,,,,3558.13638888889,113863.58099974,3842.7873,122972.667479719,5931.60939814815,189816.862915637,474.528751851852,15185.3490332509,2682.811,85852.377261144,12931.7376388889,413827.29473527,,,,
9.4,Concrete slope protection,"100 THK concret liner with fibre reinforcemnt;
welded wire fabric min A193(200 x 200;7 mm dia)",,M2,202.8,202.8,,,,,,,61.6191203703704,12496.3576111111,66.54865,13496.06622,121.57875,24656.1705,9.7263,1972.49364,33.16465,6725.79102,231.015972222222,46850.0391666667,,,,
NO.10,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1,Others,ROAD SIGNS,AGES-SP-01-005  Roads and Paving - Design and Construction Specification,SET,150,150,,,,,,,290.579305555556,43586.8958333333,313.82565,47073.8475,553.110740740741,82966.6111111111,44.2488592592593,6637.32888888889,0,0,911.184259259259,136677.638888889,,,,
10.2,Others,ROAD MARKING,AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M,11460,11460,,,,,,,4.32145272705097,49523.8482520041,4.66716894521505,53485.7561121645,19.2151897681535,220206.07474304,1.53721518145228,17616.4859794432,4.58228220736453,52512.9540963976,30.0010256239674,343811.753650667,,,,
10.3,Others,CRASH BARRIER,AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M,305,305,,,,,,,10.4424074074074,3184.93425925926,11.2778,3439.729,706.02662037037,215338.119212963,56.4821296296296,17227.049537037,9.5765,2920.8325,783.368796296296,238927.48287037,,,,
10.4,Other,CAR SEHLTER(5.5*10.5M),,SET,6,6,,,,,,,0,0,0,0,24768.5185185185,148611.111111111,1981.48148148148,11888.8888888889,0,0,26750,160500,,,,
,,SUBTOTAL-PLOT PLAN (Green）,,,,,,,,,,,,6079030.97410706,,6565353.45203564,,29186379.0587133,,2451436.40923016,,4385269.27708807,,42588171.0364858,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
