,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
3.12,Earth Work,Dewatering-Pump (1Shift=24hours),Shift,1,,,5.94444444444444,5.94444444444444,6.42,6.42,44.3901388888889,44.3901388888889,3.55121111111111,3.55121111111111,144.0648,144.0648,198.425555555556,198.425555555556,,
3.13,Earth Work,Unclassified Excavation of Sludge ,M3,1,,,6.88564814814815,6.88564814814815,7.4365,7.4365,40.6005555555556,40.6005555555556,3.24804444444444,3.24804444444444,38.46115,38.46115,89.74625,89.74625,,
3.14,Earth Work,Unclassified Excavation of Quicksand,M3,1,,,6.88564814814815,6.88564814814815,7.4365,7.4365,40.6005555555556,40.6005555555556,3.24804444444444,3.24804444444444,38.46115,38.46115,89.74625,89.74625,,
3.15,Earth Work,Unclassified Excavation of Rock,M3,1,,,601.751157407407,601.751157407407,649.89125,649.89125,40.7590740740741,40.7590740740741,3.26072592592593,3.26072592592593,33.9939,33.9939,727.90712962963,727.90712962963,,
3.16,Earth Work,"BACKFILL - GENERAL BACKFILL 
As per AGES-SP-01-005
(only structure foundation scope, not all overall)",M3,1368,,1368,20.8550925925926,28529.7666666667,22.5235,30812.148,44.7071759259259,61159.4166666667,3.57657407407407,4892.75333333333,4.5047,6162.4296,75.3111574074074,103025.663333333,,
3.17,Earth Work,"BACKFILL - STRUCTURAL BACKFILL
(only structure foundation scope, not all overall)",M3,5454,,5454,20.8550925925926,113743.675,22.5235,122843.169,112.275694444444,612351.6375,8.98205555555556,48988.131,4.5047,24568.6338,148.284166666667,808741.845,,
3.18,Earth Work,"Mass fill  with EXCAVATION soil As per AGES-SP-01-005
 Qty refer to Planplot",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.19,Earth Work,BACKFILL - CLEAN SAND,M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.2,Earth Work,BACKFILL - CRUSHED STONE,M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.21,Earth Work,DISPOSAL OF SOIL (OUTSIDE OF CICPA),M3,6820,,6820,0.396296296296296,2702.74074074074,0.428,2918.96,79.497037037037,542169.792592593,6.35976296296296,43373.5834074074,2.0437,13938.034,88.3294907407407,602407.126851852,,
3.22,Earth Work,DISPOSAL OF SOIL(POLLUTED SOIL),M3,0,,,,0,,0,,0,,0,,0,,0,,
3.23,Earth Work,50MM THK ANTI CORROSIVE LAYER CONSISTING OF COARSE SAND MIXED WITH ASPHALT.,M3,0,,,,0,,0,,0,,0,,0,,0,,
NO.4,,Foundation and Concrete Structure,,,,,,,,,,,,,,,,,,
4.1,Concrete,"CONCRETE - PLAIN AND LEAN CONC (fc'=20N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,105,,105,330.907407407407,34745.2777777778,357.38,37524.9,444.862407407407,46710.5527777778,35.5889925925926,3736.84422222222,0,0,837.829814814815,87972.1305555556,,
4.2,Concrete,"CONCRETE - DUCTBANKS (fc'=20N/mm²)  
COLOUR (RED OXIDE FOR UNDERGROUND ELECTRICAL AND GREEN OXIDE FOR UNDERGROUND INSTRUMENTCABLES) IN DUCT BANKS, TRENCH COVERS, SLABS AND PAVING ABOVE UNDERGROUND CABLES SHALL BE INACCORDANCE WITH BS EN 12878 OR ASTM C 979 / C979.
refer to AGES-SP-01-001;AGES-STD-01-101",M3,500,,500,196.057685185185,98028.8425925926,211.7423,105871.15,2510.46273148148,1255231.36574074,200.837018518519,100418.509259259,0,0,2923.04185185185,1461520.92592593,,
4.3,Concrete,"CONCRETE - EQUIPMENT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
4.4,Concrete,"CONCRETE - MAT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,356,,356,643.768472222222,229181.576111111,695.26995,247516.1022,749.822314814815,266936.744074074,59.9857851851852,21354.9395259259,0.11235,39.9966,1505.19277777778,535848.628888889,,
4.5,Concrete,"CONCRETE - ISOLATED FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,400,,400,643.768472222222,257507.388888889,695.26995,278107.98,749.822314814815,299928.925925926,59.9857851851852,23994.3140740741,0.11235,44.94,1505.19277777778,602077.111111111,,
4.6,Concrete,"CONCRETE - ELEVATION CONCRERE-BM, COL, WALL (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.7,Concrete,"CONCRETE - PAVING AND SLAB ON GRADE (fc'=30F N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.8,Concrete,"CONCRETE - BASINS AND WATER RETAINING STRUCTURES (fc'=40N/mm²)  
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.9,SSB paving sub-base,"Asphalt Wearing Course 
refer to AGES-SP-01-001;AGES-SP-01-005",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.1,SSB paving sub-base,"Bituminous Tack coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,0,,0,,0,,0,,0,,0,,
4.11,SSB paving sub-base,"Binder Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.12,SSB paving sub-base,"Bituminous Prime coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,0,,0,,0,,0,,0,,0,,
4.13,SSB paving sub-base,"Base Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,0,,0,,0,,0,,0,,0,,
