,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
NO.1,,Piling,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,Earth Work,"Extension use for over one month of Sheet Plies, 6m",M2·day,1,,,,,,,,,,9.43680555555556,9.43680555555556,10.19175,10.19175,13.6821296296296,13.6821296296296,1.09457037037037,1.09457037037037,0.36915,0.36915,25.3381944444444,25.3381944444444,,,
3.8,Earth Work,"Shoring by Sheet Plies, 12m",M2,1,,,,,,,,,,324.244675925926,324.244675925926,350.18425,350.18425,470.156018518519,470.156018518519,37.6124814814815,37.6124814814815,12.73835,12.73835,870.687731481481,870.687731481481,,,
3.9,Earth Work,"Extension use for over one month of Sheet Plies, 12m",M2·day,1,,,,,,,,,,10.8089814814815,10.8089814814815,11.6737,11.6737,15.6735185185185,15.6735185185185,1.25388148148148,1.25388148148148,0.42265,0.42265,29.02375,29.02375,,,
3.1,Earth Work,Dewatering-Main Pipe,M,1,,,,,,,,,,37.2568055555556,37.2568055555556,40.23735,40.23735,50.4187962962963,50.4187962962963,4.0335037037037,4.0335037037037,0.0214,0.0214,94.7148148148148,94.7148148148148,,,
3.11,Earth Work,Dewatering-Pump (1Shift=24hours),Shift,1,,,,,,,,,,4.9537037037037,4.9537037037037,5.35,5.35,34.1458796296296,34.1458796296296,2.73167037037037,2.73167037037037,110.8199,110.8199,153.04962962963,153.04962962963,,,
3.12,Earth Work,Unclassified Excavation of Sludge ,M3,1,,,,,,,,,,4.12148148148148,4.12148148148148,4.4512,4.4512,28.9989814814815,28.9989814814815,2.31991851851852,2.31991851851852,27.47225,27.47225,63.2488888888889,63.2488888888889,,,
3.13,Earth Work,Unclassified Excavation of Quicksand,M3,1,,,,,,,,,,4.12148148148148,4.12148148148148,4.4512,4.4512,28.9989814814815,28.9989814814815,2.31991851851852,2.31991851851852,27.47225,27.47225,63.2488888888889,63.2488888888889,,,
3.14,Earth Work,Unclassified Excavation of Rock,M3,1,,,,,,,,,,360.327453703704,360.327453703704,389.15365,389.15365,31.9414814814815,31.9414814814815,2.55531851851852,2.55531851851852,24.28365,24.28365,447.933703703704,447.933703703704,,,
3.15,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.16,Earth Work,"BACKFILL - GENERAL BACKFILL 
As per AGES-SP-01-005(Including all testing and corresponding construction works.)",M3,10518,1108,,,,,4590,4820,,,12.488287037037,131351.803055556,13.48735,141859.9473,42.93375,451577.1825,3.4347,36126.1746,3.21535,33819.0513,63.0705555555556,663376.103333333,,,
3.17,Earth Work,"BACKFILL - STRUCTURAL BACKFILL 
As per AGES-SP-01-005(Including all testing and corresponding construction works.)",M3,40200,4432,,,,,16491,19277,,,12.488287037037,502029.138888887,13.48735,542191.47,110.502268518519,4442191.19444446,8.84018148148148,355375.295555555,3.21535,129257.07,136.048518518519,5469150.44444446,,,
3.18,Earth Work,"Mass fill  with EXCAVATION soil As per AGES-SP-01-005
 Qty refer to Planplot",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.19,Earth Work,BACKFILL - CLEAN SAND,M3,1172.494,200,,,,,972.494,,,,9.98666666666667,11709.3067466667,10.7856,12646.0512864,88.993287037037,104344.095091204,7.11946296296296,8347.5276072963,0.81855,959.7449637,107.713333333333,126293.237053333,,,
3.2,Earth Work,BACKFILL - CRUSHED STONE,M3,4071,,,,,,4071,,,,10.3780092592593,42248.8756944446,11.20825,45628.78575,229.500138888889,934295.065416667,18.3600111111111,74743.6052333333,24.4709,99621.0339,283.540092592593,1154291.71694445,,,
3.21,Earth Work,DISPOSAL OF SOIL (OUTSIDE OF CICPA),M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.22,Earth Work,DISPOSAL OF SOIL(POLLUTED SOIL),M3,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.23,Earth Work,50MM THK ANTI CORROSIVE LAYER CONSISTING OF COARSE SAND MIXED WITH ASPHALT.,M3,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
NO.4,,Foundation and Concrete Structure,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Concrete,"CONCRETE - PLAIN AND LEAN CONC (fc'=20N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,880,45,,,,,396,439,,,198.148148148148,174370.37037037,214,188320,444.862407407407,391478.918518518,35.5889925925926,31318.3134814815,0,0,694.449814814815,611115.837037037,,,
4.2,Concrete,"CONCRETE - DUCT BANK(fc'=20N/mm²)  
COLOUR (RED OXIDE FOR UNDERGROUND ELECTRICAL AND GREEN OXIDE FOR UNDERGROUND INSTRUMENTCABLES) IN DUCT BANKS, TRENCH COVERS, SLABS AND PAVING ABOVE UNDERGROUND CABLES SHALL BE INACCORDANCE WITH BS EN 12878 OR ASTM C 979 / C979.
refer to AGES-SP-01-001;AGES-STD-01-101",M3,400,100,,,,,150,150,,,117.397824074074,46959.1296296296,126.78965,50715.86,2510.46273148148,1004185.09259259,200.837018518519,80334.8074074076,0,0,2838.09078703704,1135236.31481482,,,
4.3,Concrete,"CONCRETE - EQUIPMENT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,1076,453,,,,,307,316,,,250.077824074074,269083.738703704,270.08405,290610.4378,571.424583333333,614852.851666666,45.7139666666667,49188.2281333334,0.13375,143.915,887.351990740741,954790.742037037,,,
4.4,Concrete,"CONCRETE - MAT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,4148,4,,,,,,4144,,,385.492268518519,1599021.92981482,416.33165,1726943.6842,749.718287037037,3109831.45462963,59.977462962963,248786.516370371,0.08025,332.877,1226.10606481481,5085887.95685183,,,
4.5,Concrete,"CONCRETE - ISOLATED FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,4068,1062,,,,,2313,693,,,385.492268518519,1568182.54833334,416.33165,1693637.1522,749.718287037037,3049853.99166667,59.977462962963,243988.319333333,0.08025,326.457,1226.10606481481,4987799.47166665,,,
4.6,Concrete,"CONCRETE - ELEVATION CONCRERE-BM, COL, WALL (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,124,124,,,,,,,,,978.529861111111,121337.702777778,1056.81225,131044.719,915.176944444445,113481.941111111,73.2141555555555,9078.55528888888,1.78155,220.9122,2046.98925925926,253826.668148148,,,
