,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",TANK,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
3.21,Earth Work,DISPOSAL OF SOIL (OUTSIDE OF CICPA)（所有绿区）,M3,104764,71078,,,,,17000,16686,,,0.237777777777778,24910.5511111111,0.2568,26903.3952,42.9864814814815,4503435.74592593,6.27891851851852,657804.619674074,1.46055,153013.0602,50.98275,5341156.821,,,
3.22,Earth Work,DISPOSAL OF SOIL(POLLUTED SOIL),M3,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.23,Earth Work,50MM THK ANTI CORROSIVE LAYER CONSISTING OF COARSE SAND MIXED WITH ASPHALT.,M3,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
NO.4,,Foundation and Concrete Structure,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Concrete,"CONCRETE - PLAIN AND LEAN CONC (fc'=20N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,229,,,,,,229,,,,198.148148148148,45375.9259259259,214,49006,444.862407407407,101873.491296296,35.5889925925926,8149.8793037037,,0,694.449814814815,159029.007592593,,,
4.2,Concrete,"CONCRETE - DUCT BANK(fc'=20N/mm²)  
COLOUR (RED OXIDE FOR UNDERGROUND ELECTRICAL AND GREEN OXIDE FOR UNDERGROUND INSTRUMENTCABLES) IN DUCT BANKS, TRENCH COVERS, SLABS AND PAVING ABOVE UNDERGROUND CABLES SHALL BE INACCORDANCE WITH BS EN 12878 OR ASTM C 979 / C979.
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.3,Concrete,"CONCRETE - EQUIPMENT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,1151,,,,,,1151,,,,250.077824074074,287839.575509259,270.08405,310866.74155,571.424583333333,657709.695416666,45.7139666666667,52616.7756333334,0.13375,153.94625,887.351990740741,1021342.14134259,,,
4.4,Concrete,"CONCRETE - MAT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.5,Concrete,"CONCRETE - ISOLATED FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.6,Concrete,"CONCRETE - ELEVATION CONCRERE-BM, COL, WALL (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.7,Concrete,"CONCRETE - PAVING AND SLAB ON GRADE (fc'=30F N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101(E.J / I.J / C.J are all included)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.8,Concrete,"CONCRETE - BASINS AND WATER RETAINING STRUCTURES (fc'=40N/mm²)  
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.9,SSB paving sub-base,"Asphalt Wearing Course 
refer to AGES-SP-01-001;AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.1,SSB paving sub-base,"Bituminous Tack coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.11,SSB paving sub-base,"Binder Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.12,SSB paving sub-base,"Bituminous Prime coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.13,SSB paving sub-base,"Base Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.14,SSB paving sub-base,"Sub-Base
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.15,Concrete,"CONCRETE - PRECAST CONCRETE(FDN, COL, BM, TRENCH CONCRETE COVER,MANHOLE) (fc'=35N/mm²)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.16,Concrete,"CONCRETE - PRECAST CONCRETE(WALL PANELS, SLAB) (fc'=28N/mm²)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.17,Concrete,CONCRETE - FIREPROOFING (fc'=30N/mm²),M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.18000000000001,Concrete,Liquid Admixture-BASF MasterPozzolith 327 or Approved Equal (hold),L,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.19000000000001,Concrete,Liquid Admixture-BASF MasterRheobuild 945 or Approved Equal (hold),L,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.20000000000001,Concrete,CORROSION INHIBITOR-BASF Masterlife CI 30 or Approved Equal (hold),L,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.21000000000001,REBAR,"REBAR - DEFORMED REINFORCING BARS ASTM A615/A615M GRADE 60  (fy'=420N/mm²) or BS EN 10080 and BS 4449 with minimum yield strength of 500 N/mm2
REBAR - STIRRUPS AND TIES ASTM A1035
refer to AGES-SP-01-001;AGES-STD-01-101",T,143.875,,,,,,143.875,,,,1147.37189814815,165078.131846065,1239.16165,178284.38239375,3147.31087962963,452819.352806713,251.78487037037,36225.548224537,,0,4638.25680555555,667329.197899305,,,
4.22000000000001,REBAR,"REBAR - PLAIN STEEL BARS ASTM A615/A615M GRADE 40 (fy'=280N/mm²)
Fabric reinforcement (standard mesh) of Grade 500 shall comply with the requirements of BS 4483 or ASTM A185/ A185M, made with cold reduced steel wire complying with BS 4482 with a minimum yield strength of 460 N/mm2. 
refer to AGES-SP-01-001;AGES-STD-01-101",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.23000000000001,REBAR,"REBAR - WELDED GALVANIZED WIRE MESH ASTM A1064 - 4.5X4.5/150X150 OR SIMILAR (6MM or 8mm DIA@150 SPACING BOTH WAYS )   
 Rebar BS 4483 A393 /A252/A142 for roads and paving  refer to AGES-SP-01-001; AGES-STD-01-022
",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.24000000000001,Prestressed steel Rebar,Prestressed steel Rebar  As per AGES-SP-01-001,T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.25000000000001,GROUT-EPOXY,"EPOXY GROUTING MATERIAL -  MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 96MPA (AS PER ASTM C579)
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.26000000000001,GROUT-NON SHRINK CEMENTITIOUS,"NON SHRINKAGE GROUTING MATERIAL - MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 35MPA (AS PER ASTM C109) 
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.27000000000001,SSB suphur pilewall and column corrossion,SSB suphur pile wall corrossion as per refer to AGES-SP-01-001;AGES-STD-01-101/102,M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.28000000000001,Paving POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.29000000000001,Foundation POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,529,,,,,,529,,,,1.03037037037037,545.065925925926,1.1128,588.6712,2.02111111111111,1069.16777777778,0.161688888888889,85.5334222222223,,0,3.29421296296296,1742.63865740741,,,
