# Source: Appendix D 1 BOQ For MEI-Package i-1 Rev. D.xlsx
# Sheet: Instrumentation  (Brown) 
"# Rows: 77, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-2,,,,,,,,,,,,,,,,,,,,,,"REV. D, DATE: 05/Mar/2026"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,QUANTITIES BY WBS,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,"UNIT 40 
BC & TT & & DC & DS
(RSHT-2)",HP Steam,Day Vessel,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-03-03-0001,,JUNCTION BOX,"Instrument Junction Box (IS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 73 Terminals,
with one M50 x1.5(F) and 20 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs.  SS316L, with sunshade",Contractor,ea,1,,1,,,0,,0,,0,,0,,0,0,0,
IN-03-04,,,Pipe & Tube,,,0,,,,,0,,0,,0,,0,,0,0,0,
IN-03-04-0001,,Pipe & Tube,"1/2"" OD x 0.065"" WT, SS ASTM A269 Gr.TP316SS",Contractor,lm,10,,10,,,0,,0,,0,,0,,0,0,0,
IN-03-04-0002,,Other,"PIPE 2"", ASTM A53 Gr.B Sch80 (SUPPORT FOR Instrument)",Subcontractor,kg,67.32,67.32,,,,0,,0,,0,,0,,0,0,0,The unit of measurement is corrected to kg.
IN-03-04-0003,,Pipe & Tube,"PVC, ϕ160mm",Contractor,lm,36,36,,,,0,,0,,0,,0,,0,0,0,
IN-03-05,,,Other,,,0,,,,,0,,0,,0,,0,,0,0,0,
IN-03-05-0001,,Other,"STEEL CHANNEL (SUPPORT FOR JUNCTION BOX and CABINETS), 100 x 50 x 7.5t, HOT DIPPED GALVANISED",Subcontractor,kg,840,840,,,,0,,0,,0,,0,,0,0,0,
IN-03-05-0002,,Other,"STEEL ANGLE (SUPPORT FOR HOOK-UP TUBE), 50 x 50 x 5t, HOT DIPPED GALVANISED",Subcontractor,kg,806.4,806.4,,,,0,,0,,0,,0,,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
,,,Instrumentation  (Brown) TOTAL,,,,,,,,0,,0,,0,,0,,0,,0,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,
