# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"
# Internal revision: Rev.A

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
52,Electric Welding Machine,8760,438,350.4
52,"Welding Machine, Diesel",10950,547.5,438
53,"Vacuum Pipelifter, 52”",NA,NA,NA
53,"Vacuum Pipelifter, 48""",NA,NA,NA
54,"Vacuum Pipelifter, 24""",NA,NA,NA
54,"Vacuum Pipelifter, 18""",NA,NA,NA
55,"Automatic Welding Machine, 52""",NA,NA,NA
55,"Automatic Welding Machine,48""",NA,NA,NA
56,"Automatic Welding Machine, 24""",NA,NA,NA
56,"Automatic Welding Machine, 18""",NA,NA,NA
57,Facing Machine,NA,NA,NA
57,"Welding Tent, 52""",NA,NA,NA
58,"Welding Tent, 48""",NA,NA,NA
58,"Welding Tent, 24""",NA,NA,NA
59,"Welding Tent, 18""",NA,NA,NA
59,"Pipe Cutter, Zinser No.4",5840,292,233.6
60,"Pipe Bevelling Machine, pneumatic",5840,292,233.6
60,"External Line Up Clamp, 52""",NA,NA,NA
61,"External Line Up Clamp, 48""",NA,NA,NA
61,"External Line Up Clamp, 36""",NA,NA,NA
62,"External Line Up Clamp, 24""",NA,NA,NA
62,"External Line Up Clamp, 20""",NA,NA,NA
63,"External Line Up Clamp, 18""",NA,NA,NA
63,"External Line Up Clamp, 16""",NA,NA,NA
64,"Induction Heating Unit, complete",32120,1606,1284.8
64,"Generator, 20 KVA",4745,237.25,35.5875
65,"Generator, 25 KVA",5840,292,43.8
65,"Generator, 50 KVA",10950,547.5,82.125
66,"Generator, 100 KVA",21535,1076.75,161.5125
66,"Generator, 130 KVA",28105,1405.25,210.7875
67,"Generator, 220 KVA",47085,2354.25,353.1375
67,"Generator, 250 KVA",53655,2682.75,402.4125
68,Generator 360 KVA,77015,3850.75,577.6125
68,Generator 500 KVA,106580,5329,799.35
69,"Floodlight, 3,5 kw",6570,328.5,262.8
69,Grit Blast unit + compressor ,42705,2135.25,1708.2
70,Padding m/c + dozer,42705,2135.25,1708.2
70,Padding m/c + loader,42705,2135.25,1708.2
71,"Thrustbore Machine, 30"" P/l, compl.",NA,NA,NA
71,"Thrustbore Machine, 24"" P/l, compl.",NA,NA,NA
72,"Thrustbore Machine for 48""P/l., compl.",NA,NA,NA
72,"Thrustbore Machine for 52"" P/l, compl.",NA,NA,NA
73,"Microtunnelling Machine, 30"" P/l",NA,NA,NA
73,"Microtunnelling Machine, 24"" P/l",NA,NA,NA
74,"Microtunnelling Machine, 48"" P/l",NA,NA,NA
74,"Microtunnelling Machine, 52"" P/l",NA,NA,NA
75,"Horizontal Drilling Rig, 30"" P/l comp.",NA,NA,NA
75,"Horizontal Drilling Rig, 24"" P/l comp.",NA,NA,NA
76,"Horizontal Drilling Rig, 48"" P/l comp.",NA,NA,NA
76,"Horizontal Drilling Rig, 52"" P/l comp.",NA,NA,NA
77,"Container Office, 20""",2920,146,116.8
77,"Container Store, 20""",1460,73,58.4
78,"Workshop Container, 20""",1825,91.25,73
78,"Workshop Container, 40""",2920,146,116.8
79,"Set:Cleaning, Gauging and Hydrotest Eqp.",27010,1350.5,1080.4
79,Air Drying Equipment,106580,5329,4263.2
80,"Concrete Mixer Truck, 5 - 7 M3",NA,NA,NA
80,"Concrete Mixer Truck, 8 - 10 M3",NA,NA,NA
81,"Concrete Pump, Truck mounted",85410,4270.5,3416.4
81,"Crude Oil Tanker, 10 M3",21535,1076.75,861.4
82,"Water Pump, 32 M3 / h",2555,127.75,102.2
82,"Water Pump, 65 M3 / h",2920,146,116.8
83,Level,2920,146,116.8
83,Theodolite,4015,200.75,160.6
84,Tractor Welder D6,10950,547.5,438
84,Tractor Welder D7,13505,675.25,540.2
85,Nitrogen generator,NA,NA,NA
85,Berm forming machine,NA,NA,NA
86,Hydrotest Cabin and Equipment,NA,NA,NA
86,Lighting Set,NA,NA,NA
87,Truck 6 T/W - Hiab,21535,1076.75,861.4
87,Truck 10 T/W - Hiab,24455,1222.75,978.2
88,Truck - Lube,27010,1350.5,1080.4
88,Truck C/Pit 400 GL,32120,1606,1284.8
89,Truck Cold Storage 27 M3,79935,3996.75,3197.4
89,Truck - Service,21535,1076.75,861.4
90,Truck - Tipper 15 M3,27010,1350.5,1080.4
90,Pipe Lowering-in Equipment,NA,NA,NA
91,Rock Hammer,64240,3212,2569.6
91,Fuel Truck 1500 GL,16425,821.25,657
92,Fuel Truck 3000 GL,21535,1076.75,861.4
92,TR W/Tanker 3000 GL,16425,821.25,657
93,TR W/Tanker 5000 GL,21535,1076.75,861.4
93,TR W/Tanker 6000 GL,27010,1350.5,1080.4
94,TR W/Tanker 12000 GL,32120,1606,1284.8
94,TR TIPP MER3824 15 M3,27010,1350.5,1080.4
95,Truck 6T,16425,821.25,657
95,Scraper 631D,32120,1606,1284.8
96,W/Loader BOB CAT 741/3,27010,1350.5,1080.4
96,Excavator JCB 3C,42705,2135.25,1708.2
97,Hot Tapping Machine for  4” – 10”,NA,NA,NA
97,Hot Tapping Machine for  12” – 18”,NA,NA,NA
98,Hot Tapping Machine for  20” – 24”,NA,NA,NA
98,Hot Tapping Machine for  26” – 30”,NA,NA,NA
99,Hot Tapping Machine for  36” – 40”,NA,NA,NA
99,Hot Tapping Machine for  42” – 46”,NA,NA,NA
100,Hot Tapping Machine for  48” – 52”,NA,NA,NA
100,Ripper Dozer D8K,42705,2135.25,1708.2
101,Tow Truck,50005,2500.25,2000.2
101,Side Boom 594,32120,1606,1284.8
102,Side Boom 572,32120,1606,1284.8
102,Side Boom 571,32120,1606,1284.8
103,Side Boom 583,32120,1606,1284.8
103,Compactor Trench 75,27010,1350.5,1080.4
104,Compactor Trench 65,24455,1222.75,978.2
104,Test Pump,2555,127.75,102.2
105,H.P. Test Pump,3650,182.5,146
105,Well Point Dewatering System,27010,1350.5,1080.4
106,Forklift 6 Ton,16425,821.25,657
106,Dumper 2 T,5840,292,233.6
107,Batching Plant 55 M3,NA,NA,NA
107,Transit Mixer 6 M3,NA,NA,NA
108,Ambulance ,21535,1076.75,861.4
108,4 WD Pickup with A/C,10950,547.5,438
109,4 WD Station Wagon with A/C,14600,730,584
109,CAT 966 Rubber Tyred Shovels,27010,1350.5,1080.4
110,"Cold Cutting Machine upto 48""",8760,438,350.4
110,Cutting & Beveling Machine,2555,127.75,102.2
111,Survey Equipment,10950,547.5,438
111,Holiday Detector,7300,365,292
112,Hydraulic Jack Hammer,50005,2500.25,2000.2
112,"Crawler Crane, 400 T",NA,NA,NA
113,"Crawler Crane, 350 T",NA,NA,NA
113,"Crawler Crane, 250 T",NA,NA,NA
114,"Crawler Crane, 165 T",NA,NA,NA
114,"Crawler Crane, 110 T",141985,7099.25,5679.4
115,"Crawler Crane, 70 T",97820,4891,3912.8
115,"Crawler Crane, 50 - 60 T",71175,3558.75,2847
116,"Mobile Crane, 120 - 125 T",NA,NA,NA
116,"Mobile Crane, 110 T",NA,NA,NA
117,"Mobile Crane, 70 T",124465,6223.25,4978.6
117,"Mobile Crane, 50 T",89060,4453,3562.4
