# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: BLDG （Green)
"# Rows: 211, Cols: 27"

,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BLDG （Green),,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 10 
Operator 
Shelter",UNIT 10 Substation,"UNIT 10 
Operation Building","UNIT 10 
LCR",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,,,
1.15,Floor,Marble treads and risers including carborundum strips on treads / Terrazzo / moulded rubber treads on stairs and rubber tile on landings,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.16,Floor,non-slip ceramic floor tile(600*600mm);waterproof layer; 20mm cement mortar  ,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.17,Floor,non-slip glazed ceramic floor tile(600*600mm); 20mm cement mortar  ,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.18,Floor,non-slip porcelain stoneware floor tile(600*600mm); 20mm cement mortar  ,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.19,Floor,Non-slip Ceramic tile(600x600mm) ;waterproof layer; 20mm cement mortar,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.20,Floor,Raised access floor with (H=800mm) high pressure laminate,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.21,Floor,Raised access floor with (H=800mm) high pressure laminate,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
1.22,Floor,"Raised modular floor system with 800mm high floor panels finished with 2mm thick factory applied anti-static wearing surface at top and aluminium foil at bottom; concrete floor below to be finished with high build, solvent free, hard wearing, abrasion & chemical resistant, epoxy resin floor coating system",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
NO.2,,Skirting,,,,,,,,,,,,,,,,,,,,,,,,
2.1,Skirting,100mm high PVC tiles,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.2,Skirting,100mm(H) ceramic tile,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.3,Skirting,100mm(H) porcelain stoneware wall tile,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.4,Skirting,1000mm(H) porcelain marble and follow by high build glazed coating system on plastered surfaces,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.5,Skirting,100mm(H) dust proof epoxy paint,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.5,Skirting,100mm(H) granite,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.6,Skirting,100mm(H) high pressure laminate,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.7,Skirting,100mm(H) high pressure laminate,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.8,Skirting,100mm(H) Marble,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.9,Skirting,100mm(H) vitrified tile,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.10,Skirting,"300*900*6mm thk.Ceramic tile,3100mm(H),beded on a 12mm thk. cement plaster ",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.11,Skirting,"3100mm(H),300*450*6mm thk. ceramic tile",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.12,Skirting,"acid resistant tile,1500mm(H),beded on a 12mm thk. cement plaster ",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
2.13,Skirting,"Chemical  resistant glazed ceramic tile,1500mm(H),beded on a 12mm thk. cement plaster ",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
NO.3,,Wall,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Wall,100 thk internal concrete block wall ,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.2,Wall,100mm thk. gypsum board system with 50mm thk. PIR insulation,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.3,Wall,150 thk Parapet  RCC wall,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.4,Wall,200 thk internal concrete block wall,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.5,Wall,200 thk internal concrete block wall(2.0h fire rated),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.6,Wall,2.0 hour fire rated glass partion wall with door,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.7,Wall,2.0 hour fire rated gypsum board system with rock wool core,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.8,Wall,200 thk. Concrete masonary unit(CMU block),M2,2440,,,,,,,,2440,3,7320,104.025,253821,106,258640,11.5833823529412,28263.4529411765,6.44117647058823,15716.4705882353,228.049558823529,556440.923529412,,
