# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: PLOT PLAN (Brown)
"# Rows: 137, Cols: 20"
# Internal revision: Rev.A

,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,PLOT PLAN (Brown),,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 50
RHST 2",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
1.21,Demolition and Modification,"Modification and extension of existing culverts, including necessary demolition, reconstruction, extension, and reinstatement works, complete in all respects. The Contractor is required to visit the site and confirm the extent and complexity of works and  prior to pricing",,M3,45,45,70.8,3186,2454.99,110474.55,1071.3,48208.5,314.100535294118,14134.5240882353,78.2066176470588,3519.29779411765,3918.59715294118,176336.871882353,
NO.2,,Earth Work,,,,,,,,,,,,,,,,,
2.1,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,2100,2100,0.424,890.4,14.7022,30874.62,0,0,0.559742529411765,1175.45931176471,20.45825,42962.325,35.7201925294118,75012.4043117647,
2.2,Earth Work,EXCAVATION BY EQUIPMENT 2m to 4m,,M3,0,,,0,,0,,0,,0,,0,,0,
2.3,Earth Work,EXCAVATION BY HAND,,M3,0,,,0,,0,,0,,0,,0,,0,
2.4,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m
(WITHOUT SHORING AS NEEDED)",,M3,0,,,0,,0,,0,,0,,0,,0,
2.5,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",,M3,0,,,0,,0,,0,,0,,0,,0,
2.6,Earth Work,BACKFILL - GENERAL BACKFILL,,M3,0,,,0,,0,,0,,0,,0,,0,
2.7,Earth Work,"BACKFILL - STRUCTURAL BACKFILL
As per AGES-SP-01-005(Including all testing and corresponding construction works.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,2100,2100,2.4,5040,83.22,174762,56.25,118125,2.20116470588235,4622.44588235293,14.4926470588235,30434.5588235294,156.163811764706,327944.004705882,
2.8,Earth Work,BACKFILL - EXCAVATION BACKFILL（RE-USE）,,M3,0,,,0,,0,,0,,0,,0,,0,
2.9,Earth Work,BACKFILL - CLEAN SAND,,M3,0,,,0,,0,,0,,0,,0,,0,
2.1,Earth Work,BACKFILL - CRUSHED STONE,,M3,0,,,0,,0,,0,,0,,0,,0,
2.11,Earth Work,"DISPOSAL OF SOIL 
(OUTSIDE OF CICPA) ",,M3,0,,,0,,0,,0,,0,,0,,0,
2.12,Earth Work,DISPOSAL OF SOIL（POLLUTED SOIL）,,M3,0,,,0,,0,,0,,0,,0,,0,
2.13,Earth Work,50MM THK ANTI CORROSIVE LAYER CONSISTING OF COARSE SAND MIXED WITH ASPHALT.,,M3,0,,,0,,0,,0,,0,,0,,0,
NO.3,,Concrete,,,,,,,,,,,,,,,,,
3.1,Concrete,CONCRETE - Minor Volume Concrete (V<0.3m3) (fc'=35N/mm²),,M3,20,20,67.2,1344,2330.16,46603.2,477,9540,352.559082352941,7051.18164705882,62.8014705882353,1256.02941176471,3222.52055294118,64450.4110588235,
3.2,Concrete,CONCRETE - DUCTBANKS (fc'=20N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.3,Concrete,CONCRETE - EQUIPMENT FOUNDATION (fc'=35N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.4,Concrete,CONCRETE - MAT FOUNDATION (fc'=35N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.5,Concrete,CONCRETE - ISOLATED FOUNDATION (fc'=35N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.6,Concrete,"CONCRETE - ELEVATION CONCRERE-BM, COL, WALL (fc'=35N/mm²)",,M3,0,,,0,,0,,0,,0,,0,,0,
3.7,Concrete,CONCRETE - PAVING AND SLAB ON GRADE (fc'=30N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.8,Concrete,CONCRETE - BASINS AND WATER RETAINING STRUCTURES (fc'=35N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.9,Concrete,"CONCRETE - PRECAST CONCRETE(FDN, COL, BM, TRENCH CONCRETE COVER) (fc'=35N/mm²) ",,M3,0,,,0,,0,,0,,0,,0,,0,
3.10,Concrete,"CONCRETE - PRECAST CONCRETE(WALL PANELS, SLAB) (fc'=28N/mm²)",,M3,0,,,0,,0,,0,,0,,0,,0,
3.11,Concrete,CONCRETE - FIREPROOFING (fc'=30N/mm²),,M3,0,,,0,,0,,0,,0,,0,,0,
3.12,Rebar,"REBAR - DEFORMED REINFORCING BARS ASTM A615/A615M GRADE 60  (fy'=414N/mm²)
REBAR - STIRRUPS AND TIES ASTM A1035",,T,0,,,0,,0,,0,,0,,0,,0,
3.13,Rebar,REBAR - PLAIN STEEL BARS ASTM A615/A615M GRADE 40  (fy'=280N/mm²),,T,2.8,2.8,120,336,4161,11650.8,2982,8349.6,163.734705882353,458.457176470588,155.661764705882,435.85294117647,7462.39647058824,20894.7101176471,
3.14,Rebar,"REBAR - WELDED GALVANIZED WIRE MESH ASTM A1064 - 4.5X4.5/150X150 OR SIMILAR (6MM DIA@150 SPACING BOTH WAYS)
",,T,0,,,0,,0,,0,,0,,0,,0,
NO.4,,Road,,,,,,,,,,,,,,,,,
4.1,Road1,"Asphalt road （Heavy Duty ）
50 mm thk. Bituminous concrete wearing course;                                                        80 mm thk. Bituminous concrete binder course;                                                       250mm thk.aggregate base course; 
250mm thk.aggregate subbase; 
Geotextile membrane;
Prepared subgrade",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,500,500,0,0,0,0,0,0,0,0,0,0,0,0,
4.1.1,,50 mm thk. Bituminous concrete wearing course;,,M3,25,25,11.6912,292.28,405.39236,10134.809,799,19975,29.0607258764706,726.518146911765,76.6360441176471,1915.90110294118,1310.08912999412,32752.2282498529,
4.1.2,,80 mm thk. Bituminous concrete binder course;,,M3,40,40,8.2852,331.408,287.28931,11491.5724,739.125,29565,22.7252104647059,909.008418588236,55.9373235294118,2237.49294117647,1105.07684399412,44203.0737597647,
4.1.3,,250mm thk.aggregate base course;,,M3,125,125,3.2,400,110.96,13870,181.25,22656.25,2.75596470588235,344.495588235294,25.2279411764706,3153.49264705883,320.193905882353,40024.2382352941,
4.1.4,,250mm thk.aggregate subbase;,,M3,125,125,3.2,400,110.96,13870,181.25,22656.25,2.75596470588235,344.495588235294,25.2279411764706,3153.49264705883,320.193905882353,40024.2382352941,
4.1.5,,Geotextile membrane;,,M2,500,500,0.16,80,5.548,2774,5.175,2587.5,0.271989411764706,135.994705882353,1.76058823529412,880.29411764706,12.7555776470588,6377.78882352941,
4.1.6,,Prepared subgrade,,M2,500,500,0.016,8,0.5548,277.4,0,0,0.172125411764706,86.062705882353,1.76058823529412,880.29411764706,2.48751364705883,1243.75682352941,
4.2,Road2,"Asphalt road （Light Duty ）
50 mm thk. Bituminous concrete wearing course;                                                        50 mm thk. Bituminous concrete binder course;                                                       250mm thk.aggregate base course; 
150mm thk.aggregate subbase; 
Geotextile membrane;
Prepared subgrade",,M2,0,,,0,,0,,0,,0,,0,,0,
4.2.1,,50 mm thk. Bituminous concrete wearing course;,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.2.2,,50 mm thk. Bituminous concrete binder course;,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.2.3,,250mm thk.aggregate base course;,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.2.4,,150mm thk.aggregate subbase;,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.2.5,,Geotextile membrane;,,M2,0,0,,0,,0,,0,,0,,0,,0,
4.2.6,,Prepared subgrade,,M2,0,0,,0,,0,,0,,0,,0,,0,
4.3,Road3,"Heavy Duty road
250 mm THK C35 concrete slab with two layer welded wire mesh 200 x 200;8 mm dia;
250 micron Polyethylene sheet;
250mm THK crushed aggregate subbase course;
Compacted Subgrade(CBR ≥20%),",,M2,0,,,0,,0,,0,,0,,0,,0,
4.3.1,,250 mm THK C35 concrete slab ,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.3.2,,with two layer welded wire mesh 200 x 200；8 mm dia;,,T,0,0,,0,,0,,0,,0,,0,,0,
4.3.3,,250 micron Polyethylene sheet;,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.3.4,,250mm THK crushed aggregate subbase course;,,M3,0,0,,0,,0,,0,,0,,0,,0,
4.3.5,,Compacted Subgrade(CBR ≥20%),,M2,0,0,,0,,0,,0,,0,,0,,0,
