# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 104, Cols: 26"
# Internal revision: Rev.A

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLOT PLAN（Green）,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
1.20,Demolition and Modification,"Reinstatement of  Earth Ditch after Demolition and/or Disassembly  as per project specification and requirement(Including but not limited to possible internal HDPE, geotextile, and gravel cover, etc.)",,M3,30,30,,,,,,,1.5,45,52.0125,1560.375,40.25,1207.5,1.57701470588235,47.3104411764705,23.8860294117647,716.580882352941,117.725544117647,3531.76632352941,
NO.2,,Earth Work,,,,,,,,,,,,,,,,,,,,,,,
2.1,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,4850.5,4850.5,,,,,,,0.265,1285.3825,9.188875,44570.6381875,0,0,0.449476029411765,2180.18348066177,20.45825,99232.741625,30.0966010294118,145983.563293162,
2.2,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,3646.5,3646.5,,,,,,,0.925,3373.0125,32.074375,116959.2084375,0,0,1.3258625,4834.75760625,37.4017647058824,136385.535,70.8020022058824,258179.50104375,
2.3,Earth Work,EXCAVATION BY HAND,,M3,0,,,,,,0,,,0,,0,,0,,0,,0,,0,
2.4,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m
(WITHOUT SHORING AS NEEDED)",,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.5,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.6,Earth Work,"BACKFILL - GENERAL BACKFILL 
As per AGES-SP-01-005(Including all testing and corresponding construction works.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,8486.5,8486.5,,,,,,,1,8486.5,34.675,294269.3875,43.75,371284.375,1.23026470588235,10440.6414264706,9.125,77439.3125,88.7802647058823,753433.716426471,
2.7,Earth Work,"BACKFILL - STRUCTURAL BACKFILL
As per AGES-SP-01-005(Including all testing and corresponding construction works.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,3000,3000,,,,,,,1.5,4500,52.0125,156037.5,56.25,168750,1.57701470588235,4731.04411764705,14.4926470588235,43477.9411764705,124.332161764706,372996.485294118,
2.8,Earth Work,BACKFILL - EXCAVATION BACKFILL（RE-USE）(Including all testing and corresponding construction works.),"AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,4210,4210,,,,,,,1.5,6315,52.0125,218972.625,0,0,1.57701470588235,6639.23191176469,23.8860294117647,100560.183823529,77.475544117647,326172.040735294,
2.9,Earth Work,BACKFILL - CLEAN SAND,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.10,Earth Work,BACKFILL - CRUSHED STONE,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.11,Earth Work,"DISPOSAL OF SOIL 
(OUTSIDE OF CICPA) ","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,7841,7841,,,,,,,0.06,470.46,2.0805,16313.2005,0,0,0.202639411764706,1588.89562764706,20.6654411764706,162037.724264706,22.9485805882353,179939.820392353,
2.12,Earth Work,DISPOSAL OF SOIL（POLLUTED SOIL）,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
