# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: CIVIL（Brown)
"# Rows: 118, Cols: 20"

,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,CIVIL（Brown),,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Piling,,,,,,,,,,,,,,,,,
4.36000000000002,ISOLATION JOINT FILLER,"FLEXCELL OR EQUIVALENT FIBRE BOARD JOINT FILLER(INCLUDE THE SEALANT MATERAIL  AND SHALL BE PROVIDED IN ACCORDANCE WITH THE ADNOC STANDARD)
1) 10 THK FOR STRUC/STATIC EQUIPMENT
2) 25 THK FR HEAVY VIBRATIING EQUIPMENT
Including  SSB dike wall EJ, Tank Dike wall EJ and old/new connection ect. 
 Refer to AGES-SP-01-001;AGES-STD-01-101/AGES-STD-01-109",M,30,30,,0.96,28.8,33.288,998.64,15,450,2.53404470588235,76.0213411764705,0,0,50.8220447058823,1524.66134117647,
4.37000000000002,BUILDING JOINT FILLER,JIONT DESCRIBLE Refer to AGES-STD-01-109/AGES-STD-01-302,M,0,0,,,0,,0,,0,,0,,0,,0,
4.38000000000002,PVC WATER STOP,"10mm minimum thickness in accordance with BS 2571 and ASTM D412-75 and ASTM D638 for PVC 
Minimum width of water stop shall be 230mm for concrete section greater than 200mm wide and150mm for concrete section less than 200mm .
refer to AGES-SP-01-001;AGES-STD-01-101",M,480,480,,1.6,768,55.48,26630.4,28.75,13800,3.86556470588235,1855.47105882353,0,0,88.0955647058823,42285.8710588235,
4.39000000000002,HDPE SHEET,"2mm THK (inculding HDPE LINER inserts ect.）
Refer to AGES-STD-01-015 and AGES-SP-01-001",M2,0,0,,,0,,0,,0,,0,,0,,0,
4.4, Geotextile ,"Supply and erection Geotextile according to IFC drawings, specifications and ITP",,,,,,,,,,,,,,,,,
4.40999999999998, HDPED RAIN PIPE,DIA FLEXIBLE HDPED RAIN PIPE (hold),,0,0,,,0,,0,,0,,0,,0,,0,
4.41999999999996,FOAMGLAS INSULATION,Detail refer to AGES-SP-01-001;AGES-STD-01-015 FOAMGLAS INSULATION 225MM FOR TANK BASE ,M2,400,400,,9,3600,312.075,124830,858.6,343440,23.5553823529412,9422.15294117648,28.9852941176471,11594.1176470588,1223.21567647059,489286.270588235,
4.42999999999994,"ANCHOR BOLT 
- TYPE A 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123 
refer to AGES-SP-01-004;AGES-STD-01-111",T,25.2,25.2,,320,8064,11096,279619.2,0,0,966.348235294118,24351.9755294118,515.294117647059,12985.4117647059,12577.6423529412,316956.587294118,
4.43999999999992,"ANCHOR BOLT
- TYPE B
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 (WITH SLEEVE) or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,0,,,0,,0,,0,,0,,0,,0,
4.44999999999991,"ANCHOR BOLT
- TYPE E
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE E Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,0,,,0,,0,,0,,0,,0,,0,
4.45999999999989,EXPANSION BOLTS,EXPANSION BOLTS,T,0.06,0.06,,480,28.8,16644,998.64,20000,1200,1191.87529411765,71.512517647059,687.058823529412,41.2235294117647,38522.9341176471,2311.37604705882,
4.47,EMBEDDED PLATE,"EMBEDDED PLATES / INSERT PLATES/ANGLE STEEL ETC.
HOT DIP GALVANIZED AS PER ASTM A123/A123M referto",T,0.9,0.9,,256,230.4,8876.8,7989.12,10000,9000,833.196235294118,749.876611764706,257.647058823529,231.882352941176,19967.6432941176,17970.8789647059,
NO.5,,MISCELLANEOUS,,,,,,,,,,,,,,,,,
5.1,UPVC Conduit,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,0,,,,0,,0,,0,,0,,0,,0,
5.2,PVC Conduit,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,0,,,,0,,0,,0,,0,,0,,0,
5.3,PIPE SLEEVING,Galvanize PIPE SLEEVING ,M,0,,,,0,,0,,0,,0,,0,,0,
