# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: CIVIL（Green）
"# Rows: 188, Cols: 27"
# Internal revision: Rev.A

,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CIVIL（Green）,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Piling,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Earth Work,"EXCAVATION BY EQUIPMENT more than 4m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,40,,,,,,,,40,,1.75,70,60.68125,2427.25,0,0,4.84859558823529,193.943823529412,68.5448529411765,2741.79411764706,134.074698529412,5362.98794117647,
3.4,Earth Work,"EXCAVATION BY HAND(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,12933.4,,,,,,,,3144.4,9789,6.625,85683.775,229.721875,2971084.898125,0,0,14.1187904411765,182603.964291912,12.6408088235294,163488.636838235,256.481474264706,3317177.49925515,
3.5,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m
(WITHOUT SHORING AS NEEDED)",M3,0,,,,,,,,0,,,0,,0,,0,,0,,0,,0,
3.6,Earth Work,"Shoring by Sheet Plies, 6m",M2,1,,,,,,,,0,,6.6015,6.6015,228.9070125,228.9070125,101.25,101.25,39.0422056764706,39.0422056764706,278.829471507353,278.829471507353,648.028689683824,648.028689683824,
3.7,Earth Work,"Extension use for over one month of Sheet Plies, 6m",M2·day,1,,,,,,,,0,,0,0,0,0,3.75,3.75,0,0,0,0,3.75,3.75,
3.8,Earth Work,"Shoring by Sheet Plies, 12m",M2,1,,,,,,,,0,,8.802,8.802,305.20935,305.20935,135,135,52.0562742352941,52.0562742352941,371.772628676471,371.772628676471,864.038252911765,864.038252911765,
3.9,Earth Work,"Extension use for over one month of Sheet Plies, 12m",M2·day,1,,,,,,,,0,,0,0,0,0,4.5,4.5,0,0,0,0,4.5,4.5,
3.1,Earth Work,Dewatering-Main Pipe,M,1,,,,,,,,0,,3.70675,3.70675,128.53155625,128.53155625,0,0,175.507761022059,175.507761022059,95.0443897058824,95.0443897058824,399.083706977941,399.083706977941,
3.11,Earth Work,Dewatering-Pump (1Shift=24hours),Shift,1,,,,,,,,0,,9.4535,9.4535,327.8001125,327.8001125,0,0,31.8525655735294,31.8525655735294,222.285,222.285,581.937678073529,581.937678073529,
3.12,Earth Work,Unclassified Excavation of Sludge ,M3,1,,,,,,,,0,,0.925,0.925,32.074375,32.074375,0,0,2.6088375,2.6088375,68.2818382352941,68.2818382352941,102.965050735294,102.965050735294,
