# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Static Equipment（Green）
"# Rows: 50, Cols: 28"

,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
NO.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
SE-06-0012,1023-TK-0001,Process water tank internal coating,Internal coating(Coating System B-6),2nd Glass Flake Reinforced Vinyl Ester 750 µm,Subcontractor,m2,250,,,,250,,,,2.944,736,129.65376,32413.44,162.948,40737,21.6006701176471,5400.16752941177,7.09173529411765,1772.93382352941,321.294165411765,80323.5413529412,
SE-06-0013,1027-TK-0001,Portable water tank internal coating,Internal coating(Coating System B-7),"1st Solvent Free Epoxy
 200 µm",Subcontractor,m2,190,,,,190,,,,2.944,559.36,129.65376,24634.2144,20.5921654988322,3912.51144477812,25.9183171764706,4924.48026352941,12.7788860294118,2427.98834558824,188.943128704715,35899.1944538958,
SE-06-0013,1027-TK-0001,Portable water tank internal coating,Internal coating(Coating System B-7),"2nd Solvent Free Epoxy
 200 µm",Subcontractor,m2,190,,,,190,,,,1.104,209.76,48.62016,9237.8304,20.5921654988322,3912.51144477812,8.10025129411765,1539.04774588235,2.65940073529412,505.286139705883,79.971977528244,15194.6757303664,
SE-07,,,Air Cooler,,,,,,,,,,,,,,,,,,,,,,,,
SE-07-0001,1032-E-0001,CONDENSATE RECOVERY VESSEL CONDENSER,"Draft Type: FORCED, Duty(KW):867kW

Code: ASME Section VIII Div. 1, API 661， ""U""Stamp",CS,Contractor,set,0,,,,,,,,,0,,0,,0,,0,,0,0,0,Qty deleted and updated in Pkg II-009
SE-07-0002,1032-E-0002,CONDENSATE COOLER,"Draft Type: FORCED, Duty(MW):670kW

Code: ASME Section VIII Div. 1, API 661， ""U""Stamp",CS,Contractor,set,0,,,,,,,,,0,,0,,0,,0,,0,0,0,Qty deleted and updated in Pkg II-009
,,,Static Equipment (Green) TOTAL,,,,,,,,,,,,,16182.7631914099,,712688.890949692,,106608.441867483,,219420.004632647,,113576.744816177,,1152294.082266,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,,,,,,
1.1,,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,,,,,,,,
1.2,,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,,,,,,,,
1.3,,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,,,,,,,,
2,,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,,,,,,,,
3,,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,,,,,,,,
