# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Electrical (Green）
"# Rows: 321, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-08-0002,,CONTROL SWITCH STATION,"EXPLOSION-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ , OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""-IIB-T3"", IP65 , MATERIAL: CAST METAL, START, STOP &  EMERGENCY STOP BUTTON, WITH AMMETER,AND 1 TAG LABEL  ,WITH SUITABLE GLAND AND EARTH LUG",,Contractor,set,60,,,,50,10,13.34,800.4,587.4936,35249.616,0,0,87.0839188235294,5225.03512941176,216.206176470588,12972.3705882353,890.783695294117,53447.021717647,
EL-08-0003,,CONTROL SWITCH STATION,"EXPLOSION-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ , OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""-IIC-T3"", IP65 , MATERIAL: CAST METAL, START, STOP &  EMERGENCY STOP BUTTON, WITH AMMETER,AND 1 TAG LABEL ,WITH SUITABLE GLAND AND EARTH LUG",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-08-0004,,CONTROL SWITCH STATION,"WEATHER-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ
, OUTDOOR,  IP65 , MATERIAL: CAST METAL, START, STOP &  EMERGENCY STOP BUTTON, ,AND 1 TAG LABEL ,WITH SUITABLE GLAND AND EARTH LUG",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-08-0005,,CONTROL SWITCH STATION,"WEATHER-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ
, OUTDOOR,  IP65 , MATERIAL: CAST METAL, START, STOP & EMERGENCY STOP BUTTON, WITH AMMETER,AND 1 TAG LABEL ,WITH SUITABLE GLAND AND EARTH LUG",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-08-0006,,CONTROL SWITCH STATION,"WEATHER-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ
, OUTDOOR,  IP65 , MATERIAL: CAST METAL, START, STOP & EMERGENCY STOP BUTTON, WITH AMMETER, AND SELECTOR SWITCH AND 1 TAG LABEL ,WITH SUITABLE GLAND AND EARTH LUG",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-08-0007,,CONTROL SWITCH STATION,"WEATHER-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ
, INDOOR,  IP54 , MATERIAL: CAST METAL, START, STOP & EMERGENCY STOP BUTTON, AND SELECTOR SWITCH AND 1 TAG LABEL
,WITH SUITABLE GLAND AND EARTH LUG",,Contractor,set,14,10,,4,,,11.224,157.136,494.30496,6920.26944,0,0,72.6594371764706,1017.23212047059,173.569411764706,2429.97176470588,740.533808941177,10367.4733251765,
,,Switch,"Space heater on/off swithc shall be Flameproof type, suitable for zone21/22,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3 , IP65,high impact type, flame retardant, ultraviolet resistance glass reinforced polyester outdoor. With 1 16A switch.",,Contractor,set,40,,,,30,10,11.224,448.96,494.30496,19772.1984,0,0,72.6594371764706,2906.37748705882,173.569411764706,6942.77647058824,740.533808941177,29621.3523576471,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-09,,,LIGHTING & SOCKET PANELS,,,,,,,,,,,,,,,,,,,,,,
EL-09-0001,,LIGHTING & SOCKET PANELS,"NLP  , 400V AC,3PH, 50HZ, OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""- IIB-T3"", INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS (NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 30mA, withstand 10kA.)",,Contractor,set,8,,,,6,2,135.2538,1082.0304,5956.577352,47652.618816,0,0,687.815321082353,5502.52256865882,648.717700367647,5189.74160294118,7293.11037345,58344.8829876,
EL-09-0002,,LIGHTING & SOCKET PANELS,"ELP  , 400V AC,3PH, 50HZ, OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""-
IIB-T3"", INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS(NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 30mA, withstand 10kA.)",,Contractor,set,6,,,,4,2,135.2538,811.5228,5956.577352,35739.464112,0,0,687.815321082353,4126.89192649412,648.717700367647,3892.30620220588,7293.11037345,43758.6622407,
EL-09-0003,,LIGHTING & SOCKET PANELS,"NSP  , 400V AC,3PH, 50HZ, OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""- IIB-T3"", INCOMING CIRCUIT BREACKER MINIMUM 63A AND SUITABLE OUTGOINGS  (NO OF OUTGOING FEEDERS ARE 12 NUMBER +RCCB 300mA, withstand 10kA.)",,Contractor,set,5,,,,4,1,135.2538,676.269,5956.577352,29782.88676,0,0,687.815321082353,3439.07660541176,648.717700367647,3243.58850183824,7293.11037345,36465.55186725,
EL-09-0004,,LIGHTING & SOCKET PANELS,"NLP  , 400V AC,3PH, 50HZ, INDOOR,   INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS(NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 30mA, withstand 10kA.)",,Contractor,set,6,4,1,1,,,122.958,737.748,5415.07032,32490.42192,0,0,625.286655529412,3751.71993317647,589.743363970588,3538.46018382353,6630.1003395,39780.602037,
EL-09-0005,,LIGHTING & SOCKET PANELS,"ELP  , 400V AC,3PH, 50HZ,INDOOR,  INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS (NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 30mA, withstand 10kA.)",,Contractor,set,6,4,1,1,,,122.958,737.748,5415.07032,32490.42192,0,0,625.286655529412,3751.71993317647,589.743363970588,3538.46018382353,6630.1003395,39780.602037,
EL-09-0006,,LIGHTING & SOCKET PANELS,"NSP  , 400V AC,3PH, 50HZ,INDOOR, , INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS(NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 300mA, withstand 10kA.)",,Contractor,set,4,2,1,1,,,122.958,491.832,5415.07032,21660.28128,0,0,625.286655529412,2501.14662211765,589.743363970588,2358.97345588235,6630.1003395,26520.401358,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-10,,,CABLE,,,,,,,,,,,,,,,,,,,,,,
EL-10-0001,,CABLE,"6.35/11 kV (12) KV Stranded copper conductor (CU/XLPE/PVC/SWA/LS or AWA/PVC/LS), Screened Stranded copper conductor, Lead sheathed, 
XLPE insulation
Semiconducting material
PVC bedding
Multi-core cables : Still Wire armour
Single core cables : Aluminium Wire armour
The outer sheath over the armour shall be Extruded Red PVC complying with requirements of IEC 60502-2 (flame retardant)",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,3X 150mm2,,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,1 X 240 mm2,,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,1 X 300mm2,,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,3 X 95mm2,,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,3 X 240 mm2,,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,3 X 120 mm2,,Contractor,lm,15000,15000,,,,,1.05984,15897.6,46.6753536,700130.304,0,0,8.16482947764706,122472.442164706,1.94294117647059,29144.1176470589,56.7831242541177,851746.863811765,
EL-10-0002,,CABLE,"0.6/1KV (CU/XLPE/PVC/SWA/LS or AWA/PVC) Stranded copper conductor, Lead sheathed, 
Insulation of low voltage cables shall generally be PVC. 
XLPE insulation may be quoted as an alternative proposal.
Semiconducting material
PVC bedding
Multi-core cables : Still Wire armour
Single core cables : Aluminium Wire armour
The outer sheath over the armour shall be Extruded Black PVC complying with requirements of IEC 60502-2 (flame retardant)
",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"3PH,2.5 mm2",,Contractor,lm,5700,5700,,,,,0.2024,1153.68,8.913696,50808.0672,0,0,1.75489901176471,10002.9243670588,0.0674632352941176,384.54044117647,10.7360582470588,61195.5320082353,
,,,"3PH,4 mm2",,Contractor,lm,19500,19500,,,,,0.2208,4305.6,9.724032,189618.624,0,0,1.83593261176471,35800.6859294118,0.0674632352941176,1315.53308823529,11.6274278470588,226734.843017647,
,,,4*4 mm2,,Contractor,lm,7700,7700,,,,,0.2208,1700.16,9.724032,74875.0464,0,0,1.83593261176471,14136.6811105883,0.0674632352941176,519.466911764706,11.6274278470588,89531.194422353,
,,,4*6 mm2,,Contractor,lm,9500,9500,,,,,0.2576,2447.2,11.344704,107774.688,0,0,2.21388216470588,21031.8805647059,0.134926470588235,1281.80147058823,13.6935126352941,130088.370035294,
,,,4*10 mm2,,Contractor,lm,3400,3400,,,,,0.32384,1101.056,14.2619136,48490.50624,0,0,2.85101488941176,9693.45062399998,0.296838235294118,1009.25,17.4097667247059,59193.206864,
,,,4*16 mm2,,Contractor,lm,5150,5150,,,,,0.36432,1876.248,16.0446528,82629.96192,0,0,3.26675939764706,16823.8108978824,0.445257352941177,2293.07536764706,19.7566695505882,101746.848185529,
,,,3*25+1*16 mm2,,Contractor,lm,4950,4950,,,,,0.43516,2154.042,19.1644464,94864.00968,0,0,3.81620934588235,18890.2362621176,0.593676470588235,2938.69852941176,23.5743322164706,116692.944471529,
,,,3*35+1*16 mm2,,Contractor,lm,200,200,,,,,0.51612,103.224,22.7299248,4545.98496,0,0,4.41022777411765,882.04555482353,0.742095588235294,148.419117647059,27.8822481623529,5576.44963247059,
,,,3*50+1*25 mm2,,Contractor,lm,2700,2700,,,,,0.62744,1694.088,27.6324576,74607.63552,0,0,5.13795164235294,13872.4694343529,0.890514705882353,2404.38970588235,33.6609239482353,90884.4946602353,
,,,3*70+1*35 mm2,,Contractor,lm,6800,6800,,,,,0.73876,5023.568,32.5349904,221237.93472,0,0,5.86567551058824,39886.593472,1.03893382352941,7064.74999999999,39.4395997341176,268189.278192,
,,,3*95+1*50mm2,,Contractor,lm,4800,4800,,,,,0.83996,4031.808,36.9918384,177560.82432,0,0,6.54883089882353,31434.3883143529,1.33577205882353,6411.70588235294,44.8764413576471,215406.918516706,
,,,3*120 + 1*70 mm2,,Contractor,lm,6400,6400,,,,,0.97152,6217.728,42.7857408,273828.74112,0,0,7.48442702117647,47900.3329355294,1.78102941176471,11398.5882352941,52.0511972329412,333127.662290824,
,,,3*150 + 1*70 mm2,,Contractor,lm,3950,3950,,,,,1.1132,4397.14,49.025328,193650.0456,0,0,8.46459162352941,33435.1369129412,2.37470588235294,9380.08823529411,59.8646255058824,236465.270748235,
,,,3*185 + 1*95 mm2,,Contractor,lm,4250,4250,,,,,1.265,5376.25,55.7106,236770.05,0,0,9.48932470588235,40329.63,2.96838235294118,12615.625,68.1683070588235,289715.305,
,,,5*4 mm2,,Contractor,lm,450,450,,,,,0.26496,119.232,11.6688384,5250.97728,0,0,2.20311913411765,991.403610352942,0.0809558823529412,36.4301470588235,13.9529134164706,6278.81103741177,
,,,5*6 mm2,,Contractor,lm,4500,4500,,,,,0.30912,1391.04,13.6136448,61261.4016,0,0,2.65665859764706,11954.9636894118,0.161911764705882,728.602941176469,16.4322151623529,73944.9682305882,
,,,5*10 mm2,,Contractor,lm,2550,2550,,,,,0.35328,900.864,15.5584512,39674.05056,0,0,3.11019806117647,7931.005056,0.323823529411765,825.750000000001,18.9924727905882,48430.805616,
,,,5*16 mm2,,Contractor,lm,2700,2700,,,,,0.39744,1073.088,17.5032576,47258.79552,0,0,3.56373752470588,9622.09131670588,0.485735294117647,1311.48529411765,21.5527304188235,58192.3721308235,
,,,3*25+2*16 mm2,,Contractor,lm,4860,4860,,,,,0.47472,2307.1392,20.9066688,101606.410368,0,0,4.16313746823529,20232.8480956235,0.647647058823529,3147.56470588235,25.7174533270588,124986.823169506,
,,,3*35+2*16 mm2,,Contractor,lm,2250,2250,,,,,0.56304,1266.84,24.7962816,55791.6336,0,0,4.81115757176471,10825.1045364706,0.809558823529412,1821.50735294118,30.4169979952941,68438.2454894118,
,,,3*50+2*25 mm2,,Contractor,lm,3100,3100,,,,,0.68448,2121.888,30.1444992,93447.94752,0,0,5.60503815529412,17375.6182814118,0.971470588235294,3011.55882352941,36.7210079435294,113835.124624941,
,,,3*70+2*35 mm2,,Contractor,lm,300,300,,,,,0.80592,241.776,35.4927168,10647.81504,0,0,6.39891873882353,1919.67562164706,1.13338235294118,340.014705882354,43.0250178917647,12907.5053675294,
,,,3*95+2*50mm2,,Contractor,lm,1650,1650,,,,,0.91632,1511.928,40.3547328,66585.30912,0,0,7.14417916235294,11787.8956178824,1.45720588235294,2404.38970588235,48.9561178447059,80777.5944437647,
,,,3*120 + 2*70 mm2,,Contractor,lm,900,900,,,,,1.05984,953.856,46.6753536,42007.81824,0,0,8.16482947764706,7348.34652988235,1.94294117647059,1748.64705882353,56.7831242541177,51104.8118287059,
,,,3*150 + 2*70 mm2,,Contractor,lm,1650,1650,,,,,1.2144,2003.76,53.482176,88245.5904,0,0,9.23409995294118,15236.2649223529,2.59058823529412,4274.4705882353,65.3068641882353,107756.325910588,
,,,3*185 + 2*95 mm2,,Contractor,lm,2950,2950,,,,,1.38,4071,60.7752,179286.84,0,0,10.3519905882353,30538.3722352941,3.23823529411765,9552.79411764707,74.3654258823529,219378.006352941,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-10-0003,,CABLE,"600V CONTROL CABLE (CU/XLPE/PVC/SWA or AWA/PVC)
Insulation grade-service voltage : 600V/1000V
Stranded copper conductor
Extruded layer of PVC insulation
The bedding or inner covering shall be extruded layer of PVC or synthetic tape/s of manufacturer standard,
with the approximate thickness as specified in IEC 60502-1.
PVC inner sheath
The armour shall be galvanized round steel OT aluminum wire supplemented by a helix of galvanized steel tape to keep the armour wires tight. The thickness of the galvanized steel tape shall be 0.3 mm.
The outer sheath over the armour shall be Extruded Black PVC complying with requirements of IEC 60502-2 (flame retardant)",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"5C ,2.5mm2",,Contractor,lm,21000,21000,,,,,0.2576,5409.6,11.344704,238238.784,0,0,2.32182334117647,48758.2901647059,0.0674632352941176,1416.72794117647,13.7339905764706,288413.802105882,
,,,"7C ,2.5mm2",,Contractor,lm,9000,9000,,,,,0.2852,2566.8,12.560208,113041.872,0,0,2.55131491764706,22961.8342588235,0.134926470588235,1214.33823529412,15.2464493882353,137218.044494118,
,,,"10C ,2.5mm2",,Contractor,lm,63000,63000,,,,,0.3128,19706.4,13.775712,867869.856,0,0,2.88874767058823,181991.103247058,0.202389705882353,12750.5514705882,16.8668493764706,1062611.51071765,
,,,"12C ,2.5mm2",,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"14C ,2.5mm2",,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"24C ,2.5mm2",,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-10-0004,,CABLE,"Insulation grade - service voltage : 300/500V Stranded tinned copper conductor
XLPE insulation
Individual & Overall screen
PVC inner sheath
Armour
Galvanized steel wire braid coverage(min 80% coverage to relevant IEC)
The outer sheath shall be flame retardant in accordance with IEC.
Shall be resistant to water, UV, and aliphatic hydrocarbons or aromatic hydrocarbons (when required)",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,4P * 1.5 mm2,,Contractor,lm,3000,3000,,,,,0.2852,855.6,12.560208,37680.624,0,0,2.55131491764706,7653.94475294118,0.134926470588235,404.779411764705,15.2464493882353,45739.3481647059,
,,,6Tr 1.5 mm2,,,lm,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,10Tr 1.5 mm2,,Contractor,lm,1000,1000,,,,,0.368,368,16.20672,16206.72,0,0,3.34773082352941,3347.73082352941,0.337316176470588,337.316176470588,19.891767,19891.767,
,,,communication cable for IEC61850 protocol,,Contractor,lm,5000,5000,,,,,0.2208,1104,9.724032,48620.16,0,0,1.83593261176471,9179.66305882355,0.0674632352941176,337.316176470588,11.6274278470588,58137.1392352941,
EL-10-0005,,TERMINATION KITS,"33/18(6.3kv) TERMINATION KITS for SWITCHGEAR AND TRANSFORMERHEAT SHRINKABLE or EQUIVALENT TYPE STRESS RELIEVING TUBE,
INSULATING BOOTS, & OTHER COMPLETE ACCESSORIES FOR THE FOLLOWING CU/XLPE/AWA/PVC FOR 1C POWER CABLE
1SET : 3EA FOR 3/C CABLE
STRAIGHT TYPE",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,33KV-1/C-300 mm2,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-10-0006,,TERMINATION KITS,"6.35/11 kV (12) KV TERMINATION KITS for SWITCHGEAR AND TRANSFORMERHEAT SHRINKABLE or EQUIVALENT TYPE STRESS RELIEVING TUBE,
INSULATING BOOTS, & OTHER COMPLETE ACCESSORIES FOR THE FOLLOWING CU/XLPE/AWA/PVC FOR 1C POWER CABLE; CU/XLPE/SWA/PVC FOR 3C POWER CABLE
1SET : 3EA FOR 3/C CABLE
STRAIGHT TYPE",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,11KV-3/C-120 mm2,,Contractor,set,40,40,,,,,0.741888,29.67552,32.67274752,1306.9099008,0,0,5.469274752,218.77099008,1.36005882352941,54.4023529411764,39.5020810955294,1580.08324382118,
EL-10-0007,,TERMINATION KITS,"3.6/6kv(7.2kv) TERMINATION KITS for SWITCHGEAR AND TRANSFORMERHEAT SHRINKABLE or EQUIVALENT TYPE STRESS RELIEVING TUBE,
INSULATING BOOTS, & OTHER COMPLETE ACCESSORIES FOR THE FOLLOWING CU/XLPE/AWA/PVC FOR 1C POWER CABLE; CU/XLPE/SWA/PVC FOR 3C POWER CABLE
STRAIGHT TYPE ( )ea, ANGLE TYPE ( )ea",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,6KV-3/C-95 mm2,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,6KV-1/C-185 mm2,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,6KV-1/C-150 mm2,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-11,,,CATHODIC PROTECTION,,,,,,,,,,,,,,,,,,,,,,
EL-11-0001,,CATHODIC PROTECTION,"Cathodic protestion including:
Transformer Rectifier （Installed in Substation）
Cathodic Distribution Panel （Installed in Substation）
Anode Distribution Panel （Installed in Substation）
Anode/Cathode Distribution Boxes;
JBs;
Anodes,etc.",,Contractor,set,,,,,,,,0,,0,,0,,0,,0,0,0,This item is cancelled.
EL-12,,,ELECTRICAL HEAT TRACING,,,,,,,,,,,,,,,,,,,,,,
EL-12-0001,,ELECTRICAL HEAT TRACING,"EHT including:
Distribution boards;
Boxes;
Thermostats;
Heating cables,etc.",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-13,,,ELECTRICAL MOTOR TEST,,,,,,,,,,,,,,,,,,,,,,
EL-13-0001,,ELECTRICAL MOTOR TEST,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,0.25~7.5kW Motor,,,ea,70,,,,70,,35.42,2479.4,1559.8968,109192.776,0,0,212.853091764706,14899.7164235294,513.597610294118,35951.8327205883,2286.34750205882,160044.325144118,
,,,11kW Motor,,,ea,15,,,,15,,38.962,584.43,1715.88648,25738.2972,0,0,234.138400941177,3512.07601411766,564.95737132353,8474.36056985295,2514.98225226471,37724.7337839706,
,,,20kW Motor,,,ea,19,,,,19,,38.962,740.278,1715.88648,32601.84312,0,0,234.138400941177,4448.62961788236,564.95737132353,10734.1900551471,2514.98225226471,47784.6627930294,
,,,45kW Motor,,,ea,6,,,,6,,38.962,233.772,1715.88648,10295.31888,0,0,234.138400941177,1404.83040564706,564.95737132353,3389.74422794118,2514.98225226471,15089.8935135882,
,,,55kW Motor,,,ea,2,,,,2,,38.962,77.924,1715.88648,3431.77296,0,0,234.138400941177,468.276801882354,564.95737132353,1129.91474264706,2514.98225226471,5029.96450452941,
,,,75kW Motor,,,ea,2,,,,2,,38.962,77.924,1715.88648,3431.77296,0,0,234.138400941177,468.276801882354,564.95737132353,1129.91474264706,2514.98225226471,5029.96450452941,
,,,90kW Motor,,,ea,2,,,,2,,38.962,77.924,1715.88648,3431.77296,0,0,234.138400941177,468.276801882354,564.95737132353,1129.91474264706,2514.98225226471,5029.96450452941,
,,,132kW Motor,,,ea,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,450kW motor,,,ea,2,,,,2,,46.7544,93.5088,2059.063776,4118.127552,0,0,280.966081129412,561.932162258824,1412.39342830882,2824.78685661764,3752.42328543823,7504.84657087646,
EL-14,,,Other,,,,,,,,,,,,,,,,,,,,,,
EL-14-0001,,Other,"STEEL CHANNEL (SUPPORT FOR JUNCTION BOX and CABINETS), 100 x 50 x 7.5t, HOT DIPPED GALVANISED",,Subcontractor,kg,9200,,,,,,0.4416,4062.72,19.448064,178922.1888,6.69235294117647,61569.6470588235,2.75436522352941,25340.1600564706,0.877022058823529,8068.60294117647,29.7718042235294,273900.598856471,
EL-14-0002,,Other,"STEEL ANGLE (SUPPORT FOR HOOK-UP TUBE), 50 x 50 x 5t, HOT DIPPED GALVANISED",,Subcontractor,kg,1680,,,,,,0.4416,741.888,19.448064,32672.74752,6.69235294117647,11243.1529411765,2.75436522352941,4627.33357552941,0.877022058823529,1473.39705882353,29.7718042235294,50016.6310955294,
,,,Electrical (Green）TOTAL,,,,,,,,,,,224867.49802,,9903164.6128008,,250594.508235294,,1710320.98128226,,1230155.99230055,,13094236.0946189,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,,,,
1.1,,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,,,,,,
1.2,,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,,,,,,
1.3,,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,,,,,,
2,,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,,,,,,
3,,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,,,,,,
