# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Instrumentation  (Brown) 
"# Rows: 82, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 50 
MCR（RSHT-2）",Polishing,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-02-05-0003,,Flow Instrument,"Flowmeter, Vortex, NPS 3"" CL300 RF, SS316, 4~20mA with HART, IEC Ex ""i"", IP65 as minmium",,,ea,0,,,0,0,,0,,0,,0,,0,0,0,
IN-02-05-0004,,Flow Instrument,"Differential Pressure Transmitter with integral LCD display;
with 2'' bracket pipe installation;
4-20mA+HART output;
Element Material: 316LSS;
Housing Material: 316LSS;
Process Connection: 1/2'' NPT;
Manifold Connection Size: ½'' NPT;
with 5-valve manifold and sunshade
Ex ia IIB T3, IP65;",,,ea,0,,,0,0,,0,,0,,0,,0,0,0,
IN-02-06,,,Level Instrument,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-02-07,,,Pressure Instrument,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-02-07-0001,,Pressure Instrument,"Pressure Gauge with Dial 100mm, 316SS Case, IP65,  W/2 valve manifold， Accuracy: ± 1.0% of full scale，Range:hold,  with  Solid front & blow out protection",,Contractor,ea,3,,3,4.6224,13.8672,203.570496,610.711488,,0,24.0810201882353,72.2430605647059,1.86198529411765,5.58595588235295,229.513501482353,688.540504447059,
IN-02-07-0002,,Pressure Instrument,"PRESSURE TRANSMITTER, 
with Local LCD indicator（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of span;
with 316SS integral 2-valve integral manifold.
Ex iaIIC T4, IP65
Electrical connection:M20;Power supply:24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.",,Contractor,ea,3,,3,25.272,75.816,1112.97888,3338.93664,,0,118.735035058824,356.205105176472,49.1402205882353,147.420661764706,1280.85413564706,3842.56240694118,
IN-02-07-0003,,Pressure Instrument,"Differential Pressure Transmitter with Diaphragm seal（for  -0°C ~87  service condition）, Exia, IP65, 4-20mA.DC+HART, 316SS, 1/2""NPT，2” Flanged Connection,
with capillary,Capillary Length 5m×2，Power supply:24VDC loop powered",,Contractor,ea,1,,1,32.1984,32.1984,1418.017536,1418.017536,,0,215.169371247059,215.169371247059,58.4366544117647,58.4366544117647,1691.62356165882,1691.62356165882,
IN-02-08,,,Temperature Instrument,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-02-08-0001,,Temperature Instrument,"RTD, Pt100, 3-Wire; Duplex; Enclosure Protection:IP65 As per IEC 60529; ACCURACY:A;
Thermowell material:SS316 as minimum; Pipe or Equip Connection:1½” 300# RF; Element connection:1/2"" NPT(F); Construction Type:Drilled, Solid Barstock;Insertion U Length: 400mm;
With Temperature Transmitter integrated with LCD display（for -0°C ~87 service condition）;
4-20mA.DC+HART output;
Accuray:±0.025% of span;
IEC Ex ia IIC T4, IP65
Electrical connection: 2 X M20; Power supply: 24VDC loop powered
Housing Material:Aluminum alloy with polyurethane paint.",,,ea,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03,,,Instrument Material,,,,,,,0,,,,,,,,,,,,
IN-03-01,,,Cable,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-01-0001,,Cable,"1x2x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. 
All cables shall be Flame Retardant and comply with IEC 60332-1-1&2 and IEC 60332-3-22, Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,Contractor,lm,1600,,1600,0.288,460.8,12.68352,20293.632,,0,3.51352847058824,5621.64555294118,0.310330882352941,496.529411764706,16.5073793529412,26411.8069647059,
IN-03-01-0002,,Cable,"10x2x1.0 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.  Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-01-0003,,Cable,"20x2x1.0 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.  Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-01-0004,,Power Cable,"10x2x2.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Black.",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-01-0005,,Cable,"1x3x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. 
All cables shall be Fire Resistant and comply with IEC 60331-21. Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-01-0006,,Power Cable,"0.6/1(1) kV Multi-core, Lead sheathed, Copper conductor, XLPE Insulated,PVC Inner Sheath,GSWA, PVC Outer Jacket, 3Cx4",,Contractor,lm,120,120,,0.3744,44.928,16.488576,1978.62912,,0,4.15309289411765,498.371147294118,0.350808823529412,42.0970588235294,20.9924777176471,2519.09732611765,
IN-03-01-0007,,Cable,INSTRUMENT CABLES & ACCESSORIES    1x70 sq.mm grounding cable,,Contractor,lm,60,60,,0.2736,16.416,12.049344,722.96064,,0,2.93199322352941,175.919593411765,0.377794117647059,22.6676470588235,15.3591313411765,921.547880470588,
IN-03-01-0008,,Cable,24 core single-mode fiber cable,,Contractor,lm,3120,3120,,0.792,2471.04,34.87968,108824.6016,,0,8.66914447058824,27047.7307482353,0.809558823529412,2525.82352941177,44.3583832941177,138398.155877647,
IN-03-02,,,Cable Tray,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-02-0001,,Cable Tray,"cable tray ladder type with ventilation type cover, heavy duty type, GRP (Glass reinforced polyester), with 1 pair splic plate and SS304 bolts & nuts.300Wx150H",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-02-0002,,Cable Tray,"cable tray ladder type with ventilation type cover, heavy duty type, GRP (Glass reinforced polyester), with 1 pair splic plate and SS304 bolts & nuts.600Wx150H",,Contractor,lm,50,50,,4.62384,231.192,203.6339136,10181.69568,,0,23.7527443011765,1187.63721505882,5.97724264705882,298.862132352941,233.363900548235,11668.1950274118,
IN-03-03,,,JUNCTION BOX,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-03-0001,,JUNCTION BOX,"Instrument Junction Box (IS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 73 Terminals,
with one M50 x1.5(F) and 20 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs.  SS316L, with sunshade",,Contractor,ea,2,,2,35.352,70.704,1556.90208,3113.80416,,0,192.120355058824,384.240710117648,73.7643014705882,147.528602941176,1822.78673652941,3645.57347305882,
IN-03-04,,,Pipe & Tube,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-04-0001,,Pipe & Tube,"1/2"" OD x 0.065"" WT, SS ASTM A269 Gr.TP316SS",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-04-0002,,Other,"PIPE 2"", ASTM A53 Gr.B Sch80 (SUPPORT FOR Instrument)",,Subcontractor,kg,60,,,0.8928,53.568,39.318912,2359.13472,9.49882352941177,569.929411764706,4.93574414117647,296.144648470588,1.09290441176471,65.5742647058826,54.8463840823529,3290.78304494118,The unit of measurement is corrected to kg.
IN-03-04-0003,,Pipe & Tube,"PVC, ϕ160mm",,,lm,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-05,,,Other,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-03-05-0001,,Other,"STEEL CHANNEL (SUPPORT FOR JUNCTION BOX and CABINETS), 100 x 50 x 7.5t, HOT DIPPED GALVANISED",,Subcontractor,kg,840,,,0.6912,580.608,30.440448,25569.97632,7.55588235294118,6346.94117647059,3.85360362352941,3237.0270437647,0.877022058823529,736.698529411764,42.7269560352941,35890.6430696471,
IN-03-05-0002,,Other,"STEEL ANGLE (SUPPORT FOR HOOK-UP TUBE), 50 x 50 x 5t, HOT DIPPED GALVANISED",,Subcontractor,kg,806,,,0.72,580.32,31.7088,25557.2928,7.55588235294118,6090.04117647059,3.98043882352941,3208.2336917647,0.877022058823529,706.879779411764,44.1221432352941,35562.4474476471,
