# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Steel Structural（Green）
"# Rows: 41, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,UNIT 10 Pipe Rack,"UNIT 10 
Others",UNIT 10 Substation,UNIT 10 LCR,"UNIT 10 
Operation Shelter",UNIT 20 Pipe Rack,UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
SS-01-0013,Checked plate,"ASTM A786/786M, PATTERN 4OR PATTERN 5 AND ASTM GRADE A36/A36M
HOT DIP GALVANIZED AS PER ASTM A123/A123MA123M, material refer to AGES-SP-01-002 and standard drawing AGES-STD-01",Contractor,T,4.766872,,,,,,,4.766872,78.2,372.7693904,3443.928,16416.763953216,,0,646.628094117647,3082.39335626278,863.529411764706,4116.33417411765,4954.08550588235,23615.4914835964,
SS-01-0014,Bird Mesh,"Installation of bird protection net system for substation / outdoor electrical equipment area, including galvanized steel support frame,  steel mesh, fixing accessories, and all necessary works complete as per specification and drawings.",Contractor,M2,300,,,300,,,,,0.92,276,40.5168,12155.04,,0,14.8457976470588,4453.73929411764,18.8897058823529,5666.91176470587,74.2523035294117,22275.6910588235,
SS-01-0015,Miscellaneous,gutter(3mm thick pre-coated galvanized sheet according to ASTM 123/A123M and A143/143M),Contractor,M,10,,,10,,,,,2.392,23.92,105.34368,1053.4368,,0,25.6461327058824,256.461327058824,25.6360294117647,256.360294117647,156.625842117647,1566.25842117647,
SS-01-0016,Miscellaneous,"Structural steel fabrication, regardless of light, medium or heavy steel, in accordance with the IFC Drawings and Project Specifications (painting and galvanizing excluded).",Contractor,T,2,,2,,,,,,92,184,4051.68,8103.36,,0,664.226823529412,1328.45364705882,890.514705882353,1781.02941176471,5606.42152941176,11212.8430588235,Updated new item
,,Steel Structural (Green) TOTAL,,,,,,,,,,,,139215.5098144,,6131051.05222618,,0,,985861.354458853,,1552294.01407559,,8669206.42076062,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,,,,,
1.1,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,,,,,,,
1.2,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,,,,,,,
1.3,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,,,,,,,
2,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,,,,,,,
3,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
