# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Instrumentation(Green）
"# Rows: 227, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 10 
General",UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-02-02-0002,,Horn & Beacon,"Local sound and light alarm, ExdIIBT4, IP65, 24VDC, ≥110dB, IEC Certificate, 2"" standpipe mounting.",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02-0003,,Gas Detector,"Infra Red Absorption Method:
- Operating Principle:Infra Red Absorption Method
- Measuring Range:  TBD
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,Contractor,ea,24,24,,11.8772,285.0528,523.071888,12553.725312,,0,65.1737770352941,1564.17064884706,78.9319852941177,1894.36764705882,667.177650329412,16012.2636079059,
IN-02-02-0004,,Gas Detector,"Detector (H2S) :
- Operating Principle: Solid state/ electrochemical cell type with electrodes
- Measuring Range:   0-50 ppm
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol, with SIL II certification;
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,Contractor,ea,8,8,,11.8772,95.0176,523.071888,4184.575104,,0,65.1737770352941,521.390216282353,78.9319852941177,631.455882352942,667.177650329412,5337.42120263529,
IN-02-02-0005,,Analyzers,"pH Analyzer, PG 13.5 thread,  Shaft material: Glass, Range: 2~12 pH, Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02-0006,,Analyzers,"CL Analyzer, PG 13.5 thread,  Shaft material: Glass, Range: TBD, Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02-0007,,Analyzers,"COND , Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02,,,Analyzers,,,,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02-0001,,Analyzers," Moisture Monitors, wall mounting type, 5 streams, 1 sensor each stream with sample system, with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA
(122-AE-008A ,122-AE-008B,123-AE-001,123-AE-002,123-AE-006)",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02-0002,,Analyzers,"Moisture Monitors, wall mounting type, 1 streams, 1 sensor with sample system,  with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-02-0003,,Analyzers," Moisture Monitors, wall mounting type, 1 streams, 1 sensor with sample system,  with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA",,,ea,0,,,,0,,0,,0,,0,,0,0,0,
