# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: UG PIP （Green）
"# Rows: 53, Cols: 22"

,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
Item,Category,Description,size,MATERIAL,Material Supplied By,Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,,"UNIT 10 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
1A.1,HDPE Pipe,"HDPE PIPE, PE100",200 mm,PE100,Contractor,LM,25,25,7.99483394833948,199.870848708487,352.092487084871,8802.31217712177,0,0,26.4450067071847,661.125167679617,7.01617647058824,175.404411764706,385.553670262644,9638.8417565661,Updated with new quantity
1A.2,HDPE Pipe,"HDPE PIPE, PE100",355 mm,PE100,Contractor,LM,50,50,11.949815498155,597.49077490775,526.269874538745,26313.4937269372,0,0,38.9426113739961,1947.13056869981,15.4355882352941,771.779411764705,580.648074148035,29032.4037074018,Updated with new quantity
1A.3,HDPE Pipe,"HDPE PIPE, PE100",450 mm,PE100,Contractor,LM,6,6,13.9188191881919,83.5129151291514,612.984797047971,3677.90878228783,0,0,46.2251516171044,277.350909702626,16.3126102941176,97.8756617647056,675.522558959193,4053.13535375516,Updated with new quantity
1A.4,HDPE Pipe,"HDPE PIPE, PE100",560 mm,PE100,Contractor,LM,500,500,17.8738007380074,8936.9003690037,787.162184501845,393581.092250923,0,0,59.4243739309746,29712.1869654873,18.4174632352941,9208.73161764705,865.004021668114,432502.010834057,Updated with new quantity
1A.5,HDPE Pipe,"HDPE PIPE, PE100",900 mm,PE100,Contractor,LM,50,50,24.0509862730628,1202.54931365314,1059.20543546569,52960.2717732845,0,0,79.9614375615195,3998.07187807598,24.7825385294118,1239.12692647059,1163.94941155662,58197.4705778311,Updated with new quantity
NO.2,,Sleeve,,,,,,,,,,,,,,,,,,,
2.1,Sleeve,"8"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent, including casing pipe, end seal, cathode protection, casing spacer","8"" ",CS,Contractor,M,8,8,4.44200965086574,35.5360772069259,195.626105024127,1565.00884019302,0,0,18.3950111335593,147.160089068474,34.0014705882353,272.011764705882,248.022586745922,1984.18069396737,
2.2,Sleeve,"10"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent
including casing pipe, end seal, cathode protection, casing spacer","10""",CS,Contractor,M,8,8,5.02696565427193,40.2157252341754,221.387567414136,1771.10053931309,0,0,22.7054371942362,181.64349755389,49.6799264705882,397.439411764706,293.77293107896,2350.18344863168,
2.3,Sleeve,"12"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","12""",CS,Contractor,M,8,8,5.55708203235879,44.4566562588703,244.733892705081,1957.87114164065,0,0,25.5350475764305,204.280380611444,54.0245588235294,432.196470588235,324.293499105041,2594.34799284033,
2.4,Sleeve,"14"" carbon steel, material of pipe shall ,including casing pipe, end seal, cathode protection, casing spacerconfirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","14""",CS,Contractor,M,16,16,5.61192165767811,89.7907465228498,247.149029804144,3954.3844768663,0,0,26.1091573725601,417.746517960962,56.6691176470588,906.705882352941,329.927304823763,5278.83687718021,
2.5,Sleeve,"20"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","20""",CS,Contractor,M,8,8,8.40874254896395,67.2699403917116,370.321021856372,2962.56817485098,0,0,35.1389922692892,281.111938154314,68.0029411764706,544.023529411765,473.462955302132,3787.70364241705,
2.6,Sleeve,"18"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","18""",CS,Contractor,M,12,12,9.24961680386035,110.995401646324,407.35312404201,4888.23748850412,0,0,38.6528914962181,463.834697954617,74.8032352941176,897.638823529411,520.809250832346,6249.71100998815,
2.7,Sleeve,"24"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","24""",CS,Contractor,M,8,8,10.3098495600341,82.4787964802728,454.0457746239,3632.3661969912,0,0,44.0098769664891,352.079015731913,84.6258823529412,677.00705882353,582.68153394333,4661.45227154664,
2.8,Sleeve,"28"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","28""",CS,Contractor,M,4,4,11.0958841896111,44.3835367584444,488.662739710474,1954.6509588419,0,0,50.1231369855237,200.492547942095,86.70375,346.815,625.489626695998,2501.95850678399,
2.9,Sleeve,"32"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","32""",CS,Contractor,M,4,4,11.4066420664207,45.6265682656828,502.348516605166,2009.39406642066,0,0,54.4342493596701,217.73699743868,100.304338235294,401.217352941176,657.08710420013,2628.34841680052,
2.10,Sleeve,"36"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","36""",CS,Contractor,M,8,8,12.1012773204655,96.810218563724,532.940253193301,4263.52202554641,0,0,56.2660714831945,450.128571865556,109.371397058824,874.971176470592,698.57772173532,5588.62177388256,
2.11,Sleeve,"52"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent,including casing pipe, end seal, cathode protection, casing spacer","52""",CS,Contractor,M,4,4,18.883110984956,75.532443939824,831.612207777462,3326.44883110985,0,0,87.8226103888731,351.290441555492,207.597867647059,830.391470588236,1127.03268581339,4508.13074325358,
NO.3,,Plumbing,,,,,,,,,,,,,,,,,,,
3.1,"Hot and cold water
supply and building
service water supply
piping systems","3"" Polypropylene (Class PP-R PN 20)","3""",PPR,Subcontractor,LM,60,60,2.54612546125461,152.767527675277,112.131365313653,6727.88191881918,76.9080882352941,4614.48529411765,20.0598917950944,1203.59350770566,2.10485294117647,126.291176470588,211.204198285218,12672.2518971131,
3.2,Sanitary drain piping,"4"" UPVC conforming to BS EN1401","4"" ",UPVC,Subcontractor,LM,60,60,2.93653136531365,176.191881918819,129.324841328413,7759.49047970478,28.3345588235294,1700.07352941176,21.0598891252442,1263.59334751465,2.10485294117647,126.291176470588,180.824142218363,10849.4485331018,
NO.4,,PIV Located in VALVE PIT,,,,,,,,,,,,,,,,,,,
4.1,PIV,"8"",POST INDICATOR VALVE, FLANGE CONNECTION","8""",METAL,Contractor,EA,4,4,18.62448,74.49792,820.2220992,3280.8883968,0,0,112.716428489412,450.865713957648,110.863683823529,443.454735294116,1043.80221151294,4175.20884605176,
4.2,PIV,"10"",POST INDICATOR VALVE, FLANGE CONNECTION",10,METAL,Contractor,EA,4,4,28.36176,113.44704,1249.0519104,4996.2076416,0,0,142.499613167059,569.998452668236,124.520941176471,498.083764705884,1516.07246474353,6064.28985897412,
4.3,PIV,"12"",POST INDICATOR VALVE, FLANGE CONNECTION",12,METAL,Contractor,EA,6,6,33.57816,201.46896,1478.7821664,8872.6929984,0,0,176.019078908235,1056.11447344941,124.520941176471,747.125647058826,1779.32218648471,10675.9331189082,
4.4,PIV,"18"",POST INDICATOR VALVE, FLANGE CONNECTION","18""",METAL,Contractor,EA,3.4,3.4,57.90848,196.888832,2550.2894592,8670.98416128,0,0,292.625614136471,994.927088064001,238.369198529412,810.455275000001,3081.28427186588,10476.366524344,
4.5,PIV,"20"",POST INDICATOR VALVE, FLANGE CONNECTION","20""",METAL,Contractor,EA,3.2,3.2,65.70088,210.242816,2893.4667552,9259.09361664,0,0,392.415608348235,1255.72994671435,255.672169117647,818.15094117647,3541.55453266588,11332.9745045308,
,,SUBTOTAL-UG PIPING WORKS (Green),,,,,,,,23096.8086358399,,1017183.45232239,,6314.55882352941,,88719.620787296,,41355.6130411765,,1153573.24497439,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
