# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Brown) 
"# Rows: 90, Cols: 38"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
 Supplied By",size,"Schedule
/Rating",Joint Type,UNIT,Qty.,QUANTITY,,,,,,QUANTITIES BY WBS -Change Order,,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 50 
","UNIT 50 
B3&B4","UNIT 50 
RSHT2","UNIT 50
General","GUP
(PROCESS WATER)","UNIT 40 
Conveyor",HP Steam,Nitrogen,Polishing,Day Vessel,Other to specify,Other to specify,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,,,,,,Q,,,,,,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
AP-01,,Connection Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-02-01,,Gate valve,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-02-01-0001,Gate valve,"Gate Vlv ,API 602 ,CL 150 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,ASTM A182 F316/316L ,Trim:316(Trim No.10)",SS,Contractor,1,CL150,FLGD,ea,1,,1,,,,,,,,,,,,,5.12064,5.12064,225.5129856,225.5129856,0,0,64.9571831341176,64.9571831341176,4.51086176470588,4.51086176470588,294.981030498823,294.981030498823,,
AP-02-01-0002,Gate valve,"Gate Vlv ,API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:STL(Trim No.5)",CS,Contractor,3,CL150,FLGD,ea,2,,2,,,,,,,,,,,,,10.76544,21.53088,474.1099776,948.2199552,0,0,113.293431934118,226.586863868236,5.82558529411765,11.6511705882353,593.228994828236,1186.45798965647,,
AP-02-01-0003,Gate valve,"Gate Vlv ,API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A351 CF8M ,Trim:316(Trim No.10)",SS,Contractor,3,CL150,FLGD,ea,3,,3,,,,,,,,,,,,,10.76544,32.29632,474.1099776,1422.3299328,0,0,113.293431934118,339.880295802354,5.82558529411765,17.4767558823529,593.228994828236,1779.68698448471,,
AP-02-01-0004,Gate valve,"Gate Vlv ,API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8)",CS,Contractor,3,CL150,FLGD,ea,4,,2,,,,,,2,,,,,,,10.76544,43.06176,474.1099776,1896.4399104,0,0,113.293431934118,453.173727736472,5.82558529411765,23.3023411764706,593.228994828236,2372.91597931294,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-02-02,,Check valve,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-02-02-0001,Check valve,"Swing Check Valve ,BS 1868 ,CL 150 ,RF ,BC,Swing ,ASTM A351 CF8M ,Trim:316(Trim No.10)",SS,Contractor,3,CL150,FLGD,ea,2,,2,,,,,,,,,,,,,10.76544,21.53088,474.1099776,948.2199552,0,0,113.293431934118,226.586863868236,5.82558529411765,11.6511705882353,593.228994828236,1186.45798965647,,
AP-02-06,,Steam trap,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-02-06-0001,Steam trap,HOLD,CS,Contractor,1,,FLGD,ea,1,,,,,,,1,,,,,,,,5.98752,5.98752,263.6903808,263.6903808,0,0,70.9860277082353,70.9860277082353,4.66953529411765,4.66953529411765,339.345943802353,339.345943802353,,
AP-02-06-0002,Steam trap,HOLD,CS,Contractor,1,,FLGD,ea,56,,44,,,,,12,,,,,,,,5.98752,335.30112,263.6903808,14766.6613248,0,0,70.9860277082353,3975.21755166118,4.66953529411765,261.493976470588,339.345943802353,19003.3728529318,,
,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-03,,PIPING SUPPORT,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-03-0001,CARBON STEELS,CARBON STEELS,,Subcontractor,,,,t,5.5,,5,,,,,,0.5,,,,,,,633.6,3484.8,27903.744,153470.592,3400.14705882353,18700.8088235294,4889.33807058824,26891.3593882353,1377.86911764706,7578.28014705883,37571.0982470588,206641.040358824,,
AP-03-0002,STAINLESS STEELS,STAINLESS STEELS,,Subcontractor,,,,t,1,,1,,,,,,,,,,,,,734.4,734.4,32342.976,32342.976,12089.4117647059,12089.4117647059,5888.76110588235,5888.76110588235,1865.22352941176,1865.22352941176,52186.3724,52186.3724,,
AP-03-0003,ALLOY STEELS,ALLOY STEELS,,Subcontractor,,,,t,21,,16,,,,,5,,,,,,,,728.64,15301.44,32089.3056,673875.4176,4911.32352941176,103137.794117647,5622.73878117647,118077.514404706,1584.54948529412,33275.5391911765,44207.9173958824,928366.265313529,,
AP-03-0004,Prefabricated Supports,Prefabricated Supports,,Contractor,,,,t,5,,,,,,,,,,,,,,,327.888,1639.44,14440.18752,72200.9376,0,0,2530.23245152941,12651.162257647,713.047268382353,3565.23634191176,17683.4672399118,88417.3361995588,New BoQ item,
AP-04,,INSULATION,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AP-04-0001,Mineral Fibre,Mineral Fibre,,Subcontractor,,,,m3,360,,280,,,,,80,,,,,,,,49.1721056479081,17701.9580332469,2165.53953273387,779594.231784193,1946.1114421877,700600.119187572,287.984082356673,103674.269648402,24.2867647058824,8743.23529411767,4423.92182198413,1592611.85591428,,
AP-04-0002,Aluminium Cladding,"Aluminium Cladding, see BGS-MN-100 ",,Subcontractor,,,,m2,6400,,6400,,,,,,,,,,,,,5.04,32256,221.9616,1420554.24,82.4248402018433,527518.977291797,26.2439541176471,167961.306352941,13.3577205882353,85489.4117647059,343.988114907726,2201523.93540944,,
AP-04-0003,HOLD,PERSONAL PROTECTION,,Subcontractor,,,,m2,170,,170,,,,,,,,,,,,,7.1332824096228,1212.65800963588,314.149757319788,53405.458744364,226.072,38432.24,37.8914463202141,6441.5458744364,13.3577205882353,2270.8125,591.470924228237,100550.0571188,,
,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
AP-05,,PAINTING,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
AP-05-0001,PAINTING,"Primer Coat Inorganic zinc rich
silicate primer
(75 μm)",,Subcontractor,,,,m2,2924,,2374,,,,,550,,,,,,,,0.96,2807.04,42.2784,123622.0416,16.4086759927798,47978.9686028881,6.38666352941176,18674.60416,2.12752058823529,6220.87019999999,67.2012601104268,196496.484562888,BOQ quantities have been updated.,
AP-05-0002,PAINTING,"Interm. Coat Silicone aluminum
(25 μm)",,Subcontractor,,,,m2,2924,,2374,,,,,550,,,,,,,,0.48,1403.52,21.1392,61811.0208,10.031945,29333.40718,3.19333176470588,9337.30207999999,1.06376029411765,3110.43510000001,35.4282370588235,103592.16516,BOQ quantities have been updated.,
AP-05-0003,PAINTING,"Finish Coat Silicone aluminum
(25 μm)",,Subcontractor,,,,m2,2924,,2374,,,,,550,,,,,,,,0.48,1403.52,21.1392,61811.0208,10.031945,29333.40718,3.19333176470588,9337.30207999999,1.06376029411765,3110.43510000001,35.4282370588235,103592.16516,BOQ quantities have been updated.,
AP-05-0004,PAINTING,"Primer Coat Inorganic zinc rich
silicate primer
(75 μm)
Or
Zinc Rich Epoxy
(75 μm)",,Subcontractor,,,,m2,930,,880,,,,,,50,,,,,,,0.96,892.8,42.2784,39318.912,16.4086759927798,15260.0686732852,6.38666352941176,5939.59708235294,2.12752058823529,1978.59414705882,67.2012601104268,62497.171902697,,
AP-05-0005,PAINTING,"Interm. Coat Silicone aluminum
(25 μm) High build
intermediate
polyamide epoxy
(150 μm)",,Subcontractor,,,,m2,930,,880,,,,,,50,,,,,,,2.88,2678.4,126.8352,117956.736,15.32729625,14254.3855125,19.1599905882353,17818.7912470588,6.38256176470588,5935.78244117647,167.705048602941,155965.695200735,,
AP-05-0006,PAINTING,"Finish Coat Modified aliphatic
polyurethane
(60 μm)",,Subcontractor,,,,m2,930,,880,,,,,,50,,,,,,,0.96,892.8,42.2784,39318.912,7.50009669230769,6975.08992384615,6.38666352941176,5939.59708235294,2.12752058823529,1978.59414705882,58.2926808099547,54212.1931532579,BOQ quantities have been updated.,
