# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Green）
"# Rows: 257, Cols: 42"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,Material Supplied By,"SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,QUANTITY,,,,,,,,,,,QUANTITIES BY WBS -Change Order,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 10 31
Inslrument & Utlity Air System,
Nitrogen","UNIT 10 23
Process Water System Recovery System","UNIT 10 
Substation","UNIT 10 32
Steam Distribution and
Condensate Recovery System","UNIT 10 
Operations Building","UNIT 10 
Operator
Sehlter","UNIT 10 
LCR","UNIT 10 
General","UNIT 20
AP-01-12,CARBON STEEL,"CS,1,S-80,Butt Weld",CS,Contractor,1,S-80,Butt Weld,Dia-Inch,109.009470578983,,,,,,,,,,,,,,,,,0.18343,19.9956071883029,5.34561114087,582.722240387352,235.420714643915,25663.087466659,,0,50.5374234241505,5509.05777189254,23.117450140216,2520.02100092098,309.075588208282,33692.1662394725,,
AP-01-13,CARBON STEEL,"CS,1,S-160,Butt Weld",CS,Contractor,1,S-160,Butt Weld,Dia-Inch,422.794871794872,,,,,,,,,,,,,,,,,0.13205,55.8300628205129,5.3668238834925,2269.06561576687,236.35492382901,99929.649718373,,0,50.7379687551987,21451.7529949865,23.2091860534708,9812.72484194052,310.302078637679,131194.1275553,,
AP-01-14,CARBON STEEL,"CS,1,S-80,Fillet Weld",CS,Contractor,1,S-80,Fillet Weld,Dia-Inch,4,,,,,,,,,,,,,,,,,0.02232,0.08928,4.811050026783,19.244200107132,211.878643179523,847.514572718092,,0,45.4836810817354,181.934724326942,20.8057051261944,83.2228205047776,278.168029387453,1112.67211754981,,
AP-01-15,CARBON STEEL,"CS,1,S-160,Fillet Weld",CS,Contractor,1,S-160,Fillet Weld,Dia-Inch,8,,,,,,,,,,,,,,,,,0.01608,0.12864,4.811050026783,38.488400214264,211.878643179523,1695.02914543618,,0,45.4836810817354,363.869448653883,20.8057051261944,166.445641009555,278.168029387453,2225.34423509962,,
AP-01-16,CARBON STEEL,"CS,1,CL800,Fillet Weld",CS,Contractor,1,CL800,Fillet Weld,Dia-Inch,20,,,,,,,,,,,,,,,,,0.00255,0.051,4.811050026783,96.22100053566,211.878643179523,4237.57286359046,,0,45.4836810817354,909.673621634708,20.8057051261944,416.114102523888,278.168029387453,5563.36058774906,,
AP-01-17,CARBON STEEL,"CS,1,CL 3000,Fillet Weld",CS,Contractor,1,CL 3000,Fillet Weld,Dia-Inch,25,,,,,,,,,,,,,,,,,0.00725,0.18125,4.811050026783,120.276250669575,211.878643179523,5296.96607948808,,0,45.4836810817354,1137.09202704338,20.8057051261944,520.14262815486,278.168029387453,6954.20073468632,,
AP-01-18,CARBON STEEL,"CS,1.5,S-80,Butt Weld",CS,Contractor,1.5,S-80,Butt Weld,Dia-Inch,6.03846153846154,,,,,,,,,,,,,,,,,0.11715,0.707405769230769,5.34561114087,32.279267273715,235.420714643915,1421.57893073441,,0,50.5374234241505,305.168287599678,23.117450140216,139.593833538997,309.075588208282,1866.34105187309,,
AP-01-19,CARBON STEEL,"CS,1.5,S-160,Butt Weld",CS,Contractor,1.5,S-160,Butt Weld,Dia-Inch,20.3461538461538,,,,,,,,,,,,,,,,,0.00424,0.0862676923076921,5.701985216928,116.013468452112,251.115428953509,5109.233150631,,0,53.9065849857605,1096.79167144105,24.6586134828971,501.707943555867,329.680627422167,6707.73276562791,,
AP-01-20,CARBON STEEL,"CS,1.5,S-80,Fillet Weld",CS,Contractor,1.5,S-80,Fillet Weld,Dia-Inch,22.5,,,,,,,,,,,,,,,,,0.11715,2.635875,4.811050026783,108.248625602617,211.878643179523,4767.26947153927,,0,45.4836810817354,1023.38282433905,20.8057051261944,468.128365339374,278.168029387453,6258.78066121769,,
AP-01-21,CARBON STEEL,"CS,1.5,S-160,Fillet Weld",CS,Contractor,1.5,S-160,Fillet Weld,Dia-Inch,33,,,,,,,,,,,,,,,,,0.00748,0.24684,4.811050026783,158.764650883839,211.878643179523,6991.99522492426,,0,45.4836810817354,1500.96147569727,20.8057051261944,686.588269164415,278.168029387453,9179.54496978594,,
