# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
51,"Roll Cradile,24""",NA,NA,NA
51,"Roll Cradile,18"" ",NA,NA,NA
52,Electric Welding Machine,13870,693.5,554.8
52,"Welding Machine, Diesel",17155,857.75,686.2
53,"Vacuum Pipelifter, 52”",NA,NA,NA
53,"Vacuum Pipelifter, 48""",NA,NA,NA
54,"Vacuum Pipelifter, 24""",NA,NA,NA
54,"Vacuum Pipelifter, 18""",NA,NA,NA
55,"Automatic Welding Machine, 52""",NA,NA,NA
55,"Automatic Welding Machine,48""",NA,NA,NA
56,"Automatic Welding Machine, 24""",NA,NA,NA
56,"Automatic Welding Machine, 18""",NA,NA,NA
57,Facing Machine,NA,NA,NA
57,"Welding Tent, 52""",NA,NA,NA
58,"Welding Tent, 48""",NA,NA,NA
58,"Welding Tent, 24""",NA,NA,NA
59,"Welding Tent, 18""",NA,NA,NA
59,"Pipe Cutter, Zinser No.4",8760,438,350.4
60,"Pipe Bevelling Machine, pneumatic",8760,438,350.4
60,"External Line Up Clamp, 52""",NA,NA,NA
61,"External Line Up Clamp, 48""",NA,NA,NA
61,"External Line Up Clamp, 36""",NA,NA,NA
62,"External Line Up Clamp, 24""",NA,NA,NA
62,"External Line Up Clamp, 20""",NA,NA,NA
63,"External Line Up Clamp, 18""",NA,NA,NA
63,"External Line Up Clamp, 16""",NA,NA,NA
64,"Induction Heating Unit, complete",50735,2536.75,2029.4
64,"Generator, 20 KVA",6935,346.75,52.0125
