# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: CIVIL（Green）
"# Rows: 188, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 10 
General
",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Piling,,,,,,,,,,,,,,,,,,,,,,,
3.1,Earth Work,Dewatering-Main Pipe,M,1,,,,,,,,,3.26194,3.26194,105.36881685,105.36881685,0,0,258.015930481588,258.015930481588,126.725852941176,126.725852941176,490.110600272764,490.110600272764,
3.11,Earth Work,Dewatering-Pump (1Shift=24hours),Shift,1,,,,,,,,,11.8844,11.8844,383.895831,383.895831,0,0,33.9998528011765,33.9998528011765,222.285,222.285,640.180683801176,640.180683801176,
3.12,Earth Work,Unclassified Excavation of Sludge ,M3,1,,,,,,,,,0.814,0.814,26.294235,26.294235,0,0,2.1935916,2.1935916,68.2818382352941,68.2818382352941,96.7696648352941,96.7696648352941,
3.13,Earth Work,Unclassified Excavation of Quicksand,M3,1,,,,,,,,,1.54,1.54,49.74585,49.74585,0,0,4.07169952941176,4.07169952941176,68.5448529411765,68.5448529411765,122.362402470588,122.362402470588,
3.14,Earth Work,Unclassified Excavation of Rock,M3,1,,,,,,,,,1.21,1.21,39.086025,39.086025,0,0,2.58429017647059,2.58429017647059,169.617647058824,169.617647058824,211.287962235295,211.287962235295,
3.15,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
3.16,Earth Work,"BACKFILL - GENERAL BACKFILL 
As per AGES-SP-01-005(Including all testing and corresponding construction works.)",M3,1427,,1087,273,67,,,,,0.88,1255.76,28.4262,40564.1874,49.921875,71238.515625,2.18866023529412,3123.21815576471,9.125,13021.375,89.6617352352941,127947.296180765,
3.17,Earth Work,"BACKFILL - STRUCTURAL BACKFILL 
As per AGES-SP-01-005(Including all testing and corresponding construction works.)",M3,5708,,4349,1092,267,,,,,1.32,7534.56,42.6393,243385.1244,49.921875,284954.0625,3.04144623529412,17360.5751110588,14.4926470588235,82724.0294117645,110.095268294118,628423.791422823,
3.18,Earth Work,"Mass fill  with EXCAVATION soil As per AGES-SP-01-005
 Qty refer to Planplot",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
3.19,Earth Work,BACKFILL - CLEAN SAND,M3,300,,100,100,100,,,,,1.32,396,42.6393,12791.79,53.25,15975,3.04144623529412,912.433870588236,5.20661764705882,1561.98529411765,104.137363882353,31241.2091647059,
3.2,Earth Work,BACKFILL - CRUSHED STONE,M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
3.21,Earth Work,DISPOSAL OF SOIL (OUTSIDE OF CICPA),M3,9160,,6930,1896,334,,,,,0.0528,483.648,1.705572,15623.03952,0,0,0.247260790588235,2264.90884178823,20.6654411764706,189295.441176471,22.6182739670588,207183.389538259,
3.22,Earth Work,DISPOSAL OF SOIL(POLLUTED SOIL),M3,,,,,,,,,,,0,,0,,0,,0,,0,,0,
3.23,Earth Work,50MM THK ANTI CORROSIVE LAYER CONSISTING OF COARSE SAND MIXED WITH ASPHALT.,M3,,,,,,,,,,,0,,0,,0,,0,,0,,0,
NO.4,,Foundation and Concrete Structure,,,,,,,,,,,,,,,,,,,,,,,
4.1,Concrete,"CONCRETE - PLAIN AND LEAN CONC (fc'=20N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,208,,150,54,4,,,,,8.8,1830.4,284.262,59126.496,385.7075,80227.16,34.9299847058824,7265.43681882354,32.2058823529412,6698.82352941177,737.105367058824,153317.916348235,
4.2,Concrete,"CONCRETE - DUCT BANK(fc'=20N/mm²)  
COLOUR (RED OXIDE FOR UNDERGROUND ELECTRICAL AND GREEN OXIDE FOR UNDERGROUND INSTRUMENTCABLES) IN DUCT BANKS, TRENCH COVERS, SLABS AND PAVING ABOVE UNDERGROUND CABLES SHALL BE INACCORDANCE WITH BS EN 12878 OR ASTM C 979 / C979.
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.3,Concrete,"CONCRETE - EQUIPMENT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4,Concrete,"CONCRETE - MAT FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,2015,,1449,531,35,,,,,11.44,23051.6,369.5406,744624.309,432.745,871981.175,68.8146051176471,138661.429312059,35.7216911764706,71979.2077205883,906.821896294118,1827246.12103265,
4.5,Concrete,"CONCRETE - ISOLATED FOUNDATION (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.6,Concrete,"CONCRETE - ELEVATION CONCRERE-BM, COL, WALL (fc'=40N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101",M3,3225,,1971,1094,160,,,,,33.088,106708.8,1068.82512,3446961.012,432.745,1395602.625,573.594360141176,1849841.81145529,48.5235294117647,156488.382352941,2123.68800955294,6848893.83080823,
4.7,Concrete,"CONCRETE - PAVING AND SLAB ON GRADE (fc'=30F N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101,(E.J / I.J / C.J are all included)",M3,611,,450,155,6,,,,,11.88,7258.68,383.7537,234473.5107,446.0575,272541.1325,36.0686043529412,22037.9172596471,32.2058823529412,19677.7941176471,898.085686705882,548730.354577294,
4.8,Concrete,"CONCRETE - BASINS AND WATER RETAINING STRUCTURES (fc'=40N/mm²)  
refer to AGES-SP-01-001;AGES-STD-01-101",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.9,SSB paving sub-base,"Asphalt Wearing Course 
refer to AGES-SP-01-001;AGES-SP-01-005",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.1,SSB paving sub-base,"Bituminous Tack coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.11,SSB paving sub-base,"Binder Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.12,SSB paving sub-base,"Bituminous Prime coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.13,SSB paving sub-base,"Base Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.14,SSB paving sub-base,"Sub-Base
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.15,Concrete,"CONCRETE - PRECAST CONCRETE(FDN, COL, BM, TRENCH CONCRETE COVER,MANHOLE) (fc'=35N/mm²)",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.16,Concrete,"CONCRETE - PRECAST CONCRETE(WALL PANELS, SLAB) (fc'=28N/mm²)",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.17,Concrete,CONCRETE - FIREPROOFING (fc'=30N/mm²),M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.18000000000001,Concrete,Liquid Admixture-BASF MasterPozzolith 327 or Approved Equal (hold),L,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.19000000000001,Concrete,Liquid Admixture-BASF MasterRheobuild 945 or Approved Equal (hold),L,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.20000000000001,Concrete,CORROSION INHIBITOR-BASF Masterlife CI 30 or Approved Equal (hold),L,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.21000000000001,REBAR,"REBAR - DEFORMED REINFORCING BARS ASTM A615/A615M GRADE 60  (fy'=420N/mm²) or BS EN 10080 and BS 4449 with minimum yield strength of 500 N/mm2
REBAR - STIRRUPS AND TIES ASTM A1035
refer to AGES-SP-01-001;AGES-STD-01-101",T,949,,616,293,40,,,,,66,62634,2131.965,2023234.785,2552.00625,2421853.93125,200.381135294118,190161.697394118,155.661764705882,147723.014705882,5040.01415,4782973.42835,
4.22000000000001,REBAR,"REBAR - PLAIN STEEL BARS ASTM A615/A615M GRADE 40 (fy'=280N/mm²)
Fabric reinforcement (standard mesh) of Grade 500 shall comply with the requirements of BS 4483 or ASTM A185/ A185M, made with cold reduced steel wire complying with BS 4482 with a minimum yield strength of 460 N/mm2. 
refer to AGES-SP-01-001;AGES-STD-01-101",T,50,,20,20,10,,,,,66,3300,2131.965,106598.25,2552.00625,127600.3125,200.381135294118,10019.0567647059,155.661764705882,7783.0882352941,5040.01415,252000.7075,
4.23000000000001,REBAR,"REBAR - WELDED GALVANIZED WIRE MESH ASTM A1064 - 4.5X4.5/150X150 OR SIMILAR (6MM or 8mm DIA@150 SPACING BOTH WAYS )   
 Rebar BS 4483 A393 /A252/A142 for roads and paving  refer to AGES-SP-01-001; AGES-STD-01-022
",T,50,,36,12,2,,,,,52.8,2640,1705.572,85278.6,3763,188150,155.474025882353,7773.70129411765,101.985294117647,5099.26470588235,5726.03132,286301.566,
4.24000000000001,Prestressed steel Rebar,Prestressed steel Rebar  As per AGES-SP-01-001,T,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.25000000000001,GROUT-EPOXY,"EPOXY GROUTING MATERIAL -  MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 96MPA (AS PER ASTM C579)
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.26000000000001,GROUT-NON SHRINK CEMENTITIOUS,"NON SHRINKAGE GROUTING MATERIAL - MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 35MPA (AS PER ASTM C109) 
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.27000000000001,SSB suphur pilewall and column corrossion,SSB suphur pile wall corrossion as per refer to AGES-SP-01-001;AGES-STD-01-101/102,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.28000000000001,Paving POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,2200,,1500,500,200,,,,,0.088,193.6,2.84262,6253.764,2.5515625,5613.4375,0.315483670588235,694.064075294117,1.76058823529412,3873.29411764706,7.47025440588236,16434.5596929412,
4.29000000000001,Foundation POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,4138,,2998,1062,78,,,,,0.132,546.216,4.26393,17644.14234,2.5515625,10558.365625,0.400762270588235,1658.35427569412,1.76058823529412,7285.31411764707,8.97684300588235,37146.1763583412,
4.30000000000001,HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET,"1.5MM THICK SELF-ADHESIVE, HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET MEMBRANE 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,8589,,6118,2188,283,,,,,0.528,4534.992,17.05572,146491.57908,25.515625,219153.703125,1.50643143529412,12938.7395977412,2.68382352941176,23051.3602941176,46.7615999647059,401635.382096859,
4.31000000000001,30mm LAYER OF SCREED,"30mm LAYER OF SCREED (CAN BE REPLACED WITH 5mm THICK HARD
POLYPROPYLENE BASED PROTECTION BOARD OR SIMILAR APPROVED,
SUBJECT TO COMPANY APPROVAL)",M2,4138,,2998,1062,78,,,,,0.88,3641.44,28.4262,117627.6156,14.11125,58392.3525,2.86498376470588,11855.3028183529,1.93235294117647,7996.07647058823,47.3347867058824,195871.347388941,
4.32000000000001,MEMBRANE PROTECTION BOARD,"MEMBRANE PROTECTION BOARD (3.5mm THICK BITUMEN IMPREGNATEDFIBREBOARD OR 12mm THICK BITUMEN IMPREGNATED SOFT 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,4451,,3120,1126,205,,,,,0.44,1958.44,14.2131,63262.5081,15.309375,68142.028125,1.33587423529412,5945.97622129413,0,0,30.8583492352941,137350.512446294,
4.33000000000002,ABOVE GROUND CONCRETE SURFACE PROTECTION (Foundation),"PRIMER: A PENETRATING SILANE SILOXANE
HYDROPHOBIC PRIMER APPLIED AS A FLOOD COAT AT A
RATE OF 0.4 LITRES/M2;
TWO COATS OF AN ACRYLIC POLYMER COATING
SYSTEM OF 150 MICRONS (DFT) EACH TOTAL DFT 300 MICRONS
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,690,,554,101,35,,,,,0.88,607.2,28.4262,19614.078,35.721875,24648.09375,2.86498376470588,1976.83879764706,1.61029411764706,1111.10294117647,68.6233528823529,47350.1134888235,
4.34000000000002,REFRACTORY CASTABLE WITH SS ANCHORS( Sulphur pits),100 mm thick refractory castable with SS anchors.   ( (Materical Discirble refer to AGES-SP-01-001 ),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.35000000000002,STAINLESS STEEL  WITH INSULATION( Sulphur pits),"3mm thick stainless steel lining throughout, with75mm insulation    (Materical Discirble refer to AGES-SP-01-001)",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.36000000000002,ISOLATION JOINT FILLER,"FLEXCELL OR EQUIVALENT FIBRE BOARD JOINT FILLER,(INCLUDE THE SEALANT MATERAIL  AND SHALL BE PROVIDED IN ACCORDANCE WITH THE ADNOC STANDARD)
1) 10 THK FOR STRUC/STATIC EQUIPMENT
2) 25 THK FR HEAVY VIBRATIING EQUIPMENT
Including  SSB dike wall EJ, Tank Dike wall EJ and old/new connection ect. 
 Refer to AGES-SP-01-001;AGES-STD-01-101/AGES-STD-01-109",M,35,,20,10,5,,,,,0.528,18.48,17.05572,596.9502,13.3125,465.9375,1.50643143529412,52.7251002352942,0,0,31.8746514352941,1115.61280023529,
4.37000000000002,BUILDING JOINT FILLER,JIONT DESCRIBLE Refer to AGES-STD-01-109/AGES-STD-01-302,M,50,,50,,,,,,,1.32,66,42.6393,2131.965,48.8125,2440.625,3.52453447058823,176.226723529412,0,0,94.9763344705882,4748.81672352941,
4.38000000000002,PVC WATER STOP,"10mm minimum thickness in accordance with BS 2571 and ASTM D412-75 and ASTM D638 for PVC 
Minimum width of water stop shall be 230mm for concrete section greater than 200mm wide and150mm for concrete section less than 200mm .
refer to AGES-SP-01-001;AGES-STD-01-101",M,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.39000000000002,HDPE SHEET,"2mm THK (inculding HDPE LINER inserts ect.）
Refer to AGES-STD-01-015 and AGES-SP-01-001",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4,Geotextile,"Supply and erection Geotextile according to IFC drawings, specifications and ITP",M2,1200,,300,400,500,,,,,0.088,105.6,2.84262,3411.144,4.5928125,5511.375,0.315483670588235,378.580404705882,1.76058823529412,2112.70588235294,9.51150440588236,11413.8052870588,
4.40999999999998,HDPED RAIN PIPE,DIA FLEXIBLE HDPED RAIN PIPE (hold),,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.41999999999996,FOAMGLAS INSULATION,Detail refer to AGES-SP-01-001;AGES-STD-01-015 FOAMGLAS INSULATION 225MM FOR TANK BASE,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.42999999999994,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123 
refer to AGES-SP-01-004;AGES-STD-01-111",T,1.5,,0.5,0.5,0.5,,,,,176,264,5685.24,8527.86,0,0,611.643811764706,917.465717647059,515.294117647059,772.941176470589,6812.17792941177,10218.2668941176,
