# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 83, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
3.1.6,,"Compacted Subgrade(min 70 CBR );
Select fill subgrade compacted （min CBR20）,max dry density thk 200mm",,M2,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,
3.2,Paving2,"Heavy Duty Paving
200 mm THK concrete grade 30F with two layers  wire mesh A252;
0.25 THK Polyethylene membrane;
250mm THK coarse granular subbase;
compacted subgrade, (E.J / I.J / C.J are all included)",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,10127.5,10127.5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
3.2.1,,200 mm THK concrete grade 30F,,M3,2025.5,2025.5,0,0,0,0,0,0,13.2,26736.6,426.393,863659.0215,432.745,876524.9975,26.4021247058824,53477.5035917648,32.2058823529412,65233.0147058824,917.746007058824,1858894.53729765,
3.2.2,,with two layers  wire mesh A252;,,T,100.0090625,100.0090625,,,,,,,52.8,5280.4785,1705.572,170572.65674625,3763,376334.1021875,87.2511458823529,8725.90530174485,101.985294117647,10199.4536534926,5657.80844,565832.117888988,
3.2.3,,0.25 THK Polyethylene membrane;,,M2,10127.5,10127.5,0,0,0,0,0,0,0.088,891.22,2.84262,28788.63405,2.5515625,25840.94921875,0.201778870588235,2043.51551188235,1.76058823529412,17830.3573529412,7.35654960588236,74503.4561335735,
3.2.4,,250mm THK coarse granular subbase;,,M3,2531.875,2531.875,0,0,0,0,0,0,1.32,3342.075,42.6393,107957.3776875,49.921875,126395.947265625,1.33587423529412,3382.2665794853,14.4926470588235,36693.5707720588,108.389696294118,274429.162304669,
3.2.5,,compacted subgrade,,M2,10127.5,10127.5,0,0,0,0,0,0,0.0088,89.122,0.284262,2878.863405,0,0,0.150611710588235,1525.32009898235,1.76058823529412,17830.3573529412,2.19546194588235,22234.5408569236,
3.3,Paving3,"Light Duty Paving
150 mm THK concrete grade 30F with one layers  wire mesh A252;
0.25 THK Polyethylene membrane;
150mm THK coarse granular subbase;
compacted subgrade",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
3.3.1,,150 mm THK concrete grade 30F ,,M3,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,
3.3.2,,with one layers  wire mesh A252;,,T,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
