1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
  Exhibit 'C' Index,,,,,,,,,
,,,,,,,,,
Sr. No.,Unit,Discipline,Drawing Category,Document Number,Revision,Subject,Issue Status,Remarks,
,,,,,,COMMON,,,
,,,,,,ARCHITECTURAL/CIVIL/STRUTURAL,,,
32,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0706,1,GENERAL ARRANGEMENT - PAVING LAYOUT - AREA 4,IFT,WORLEY,1005312-WOR-AGP-TR-1723
33,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0707,1,GENERAL ARRANGEMENT - PAVING LAYOUT - AREA 5,IFT,WORLEY,1005312-WOR-AGP-TR-1723
34,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0708,1,GENERAL ARRANGEMENT - PAVING LAYOUT - AREA 6,IFT,WORLEY,1005312-WOR-AGP-TR-1723
35,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0709,1,GENERAL ARRANGEMENT - PAVING LAYOUT - AREA 7,IFT,WORLEY,1005312-WOR-AGP-TR-1723
36,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0710,1,GENERAL ARRANGEMENT - PAVING LAYOUT - AREA 8,IFT,WORLEY,1005312-WOR-AGP-TR-1723
37,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0711,0,GENERAL ARRANGEMENT PAVING LAYOUT - AREA 9,IFT,WORLEY,1005312-WOR-AGP-TR-1833
38,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0712,0,GENERAL ARRANGEMENT PAVING LAYOUT - AREA 10,IFT,WORLEY,1005312-WOR-AGP-TR-1833
39,00,CIVIL,Drawing - General Arrangement,5312-00-A1-0713,1,GENERAL ARRANGEMENT PAVING LAYOUT - AREA 11,IFT,WORLEY,1005312-WOR-AGP-TR-1833
40,00,CIVIL,Drawing,5312-00-A1-1000,0,CONCRETE WORKS - GENERAL NOTES,IFT,WORLEY,1005312-WOR-AGP-TR-0171
41,00,CIVIL,Drawing,5312-00-A1-1001,0,ROAD PAVING DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-0323
42,00,CIVIL,Drawing,5312-00-A1-1002,0,ROAD PAVING DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-0323
43,00,CIVIL,Drawing,5312-00-A1-1010,1,TYPICAL MISCELLANEOUS PLATFORM - STEEL STRUCTURE & FOUNDATION DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1775
44,00,CIVIL,Drawing,5312-00-A1-1020,0,CROSS OVER STEEL STRUCTURE AND FOUNDATION DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1532
45,00,CIVIL,Drawing,5312-00-A1-1030,0,GUARD HOUSE REFURBISHMENT FALSE CEILING,IFT,WORLEY,1005312-WOR-AGP-TR-1171
46,00,CIVIL,Drawing,5312-00-A1-1031,0,GUARD HOUSE REFURBISHMENT ROOF WORKS,IFT,WORLEY,1005312-WOR-AGP-TR-1171
47,00,CIVIL,Drawing,5312-00-A1-1032,0,CONTROL BUILDING REFURBISHMENT CONCRETE AND FLOOR WORKS,IFT,WORLEY,1005312-WOR-AGP-TR-1171
48,00,CIVIL,Drawing,5312-00-A1-1033,0,CONTROL BUILDING REFURBISHMENT ROOF WORKS-1 & 2,IFT,WORLEY,1005312-WOR-AGP-TR-1171
49,00,CIVIL,Drawing,5312-00-A1-1040,1,SURFACE DRAINAGE NETWORK DRAWING - LAYOUT AND DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1305
50,00,CIVIL,Drawing,5312-00-A1-1101,0,OPERATOR SHELTER GA AND DETAILS OF FOUNDATION,IFT,WORLEY,1005312-WOR-AGP-TR-0865
51,00,CIVIL,Drawing,5312-00-A1-1102,0,OPERATOR SHELTER STRUCTURAL PLANS,IFT,WORLEY,1005312-WOR-AGP-TR-0865
52,00,CIVIL,Drawing,5312-00-A1-1103,0,OPERATOR SHELTER STRUCTURAL SECTIONS,IFT,WORLEY,1005312-WOR-AGP-TR-0865
53,00,CIVIL,Drawing,5312-00-A1-1104,1,NEW GRANULATION AREA CIVIL DEMOLITION LAYOUT,IFT,WORLEY,1005312-WOR-AGP-TR-1723
54,00,CIVIL,Drawing,5312-00-A1-1111,1,SUBSTATION-5 FOUNDATION LAYOUT AND DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1807
55,00,CIVIL,Drawing,5312-00-A1-1112,1,SUBSTATION-5 STRUCTURAL FLOOR PLAN,IFT,WORLEY,1005312-WOR-AGP-TR-1807
56,00,CIVIL,Drawing,5312-00-A1-1113,1,SUBSTATION-5 STRUCTURAL ROOF FLOOR PLAN,IFT,WORLEY,1005312-WOR-AGP-TR-1807
57,00,CIVIL,Drawing,5312-00-A1-1114,1,SUBSTATION-5 STRUCTURAL SECTION,IFT,WORLEY,1005312-WOR-AGP-TR-1807
58,00,CIVIL,Drawing,5312-00-A1-1121,1,OPERATIONS BUILDING - FOUNDATION LAYOUT AND DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1528
59,00,CIVIL,Drawing,5312-00-A1-1122,1,OPERATIONS BUILDING - PLINTH BEAM LAYOUT AND DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1528
60,00,CIVIL,Drawing,5312-00-A1-1123,1,OPERATIONS BUILDING - FIRST FLOOR BEAM LAYOUT AND DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1528
61,00,CIVIL,Drawing,5312-00-A1-1124,1,OPERATIONS BUILDING - ROOF FLOOR BEAM LAYOUT AND DETAILS,IFT,WORLEY,1005312-WOR-AGP-TR-1528
