1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
41,00,ELECTRICAL,Lists & Schedules,CA-5312-00-EL-003,0,ELECTRICAL LOAD LIST SUBSTATION-2,IFT,,
42,00,ELECTRICAL,Lists & Schedules,CA-5312-00-EL-004,0,ELECTRICAL LOAD LIST SUBSTATION-3,IFT,,
43,00,ELECTRICAL,Lists & Schedules,CA-5312-00-EL-005,0,ELECTRICAL LOAD LIST SUBSTATION-4,IFT,,
44,00,ELECTRICAL,Calculation,CA-5312-00-EL-007,2,INDOOR LIGHTING CALCULATION - NEW BUILDINGS,IFT,,
45,00,ELECTRICAL,Calculation,CA-5312-00-EL-008,0,CABLE SIZING CALCULATION,IFT,,
46,00,ELECTRICAL,Calculation,CA-5312-00-EL-009,0,TRANSFORMER SIZING CALCULATION SUBSTATION-5,IFT,,
47,00,ELECTRICAL,Calculation,CA-5312-00-EL-010,1,AC UPS SIZING CALCULATION (SUBSTATION-5),IFT,,
48,00,ELECTRICAL,Calculation,CA-5312-00-EL-011,0,DC UPS SIZING CALCULATION (SUBSTATION-5),IFT,,
49,00,ELECTRICAL,Calculation,CA-5312-00-EL-012,0,EMERGENCY DIESEL GENERATOR SIZING CALCULATION (SUBSTATION - 5),IFT,,
50,00,ELECTRICAL,Calculation,CA-5312-00-EL-013,0,LIGHTING CALCULATION - OUTDOOR,IFT,,
51,00,ELECTRICAL,Calculation,CA-5312-00-EL-014,0,EARTHING & LIGHTNING PROTECTION CALCULATION FOR GENERAL PLANT AREA AND SUBSTATION 5,IFT,,
52,00,ELECTRICAL,Calculation,CA-5312-00-EL-015,0,AC UPS SIZING CALCULATION (OPERATIONS BUILDING),IFT,,
53,00,ELECTRICAL,Design Basis,DB-5312-00-EL-001,1,ELECTRICAL DESIGN BASIS,IFT,,
