1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
182,00,PIPING,Lists & Schedules,DI-5312-00-PI-003,0,PIPE SUPPORT SCHEDULE,IFT,,
183,00,PIPING,Material Take off,DI-5312-00-PI-004,0,VALVE MTO,IFT,,
184,00,PIPING,Lists & Schedules,DI-5312-00-PI-005,0,PIPE SPRING SUPPORT SCHEDULE,IFT,,
185,00,PIPING,Lists & Schedules,DI-5312-00-PI-006,0,PIPING SPECIALTY ITEMS LIST ,IFT,,
186,00,PIPING,Material Take off,DI-5312-00-PI-007,0,PIPING BULK MTO,IFT,,
187,00,PIPING,Report,DI-5312-00-PI-5001,0,EARLY TIE-IN WORKS PACKAGE,IFT,,
188,00,PIPING,Data Sheet,DS-5312-00-PI-5001,0,DATASHEETS FOR MANUAL BALL VALVES,IFT,,
189,00,PIPING,Data Sheet,DS-5312-00-PI-5002,0,DATASHEETS FOR GATE VALVES,IFT,,
190,00,PIPING,Data Sheet,DS-5312-00-PI-5003,1,DATASHEETS FOR GLOBE VALVES,IFT,,
191,00,PIPING,Data Sheet,DS-5312-00-PI-5004,0,DATASHEETS FOR BUTTERFLY VALVES,IFT,,
192,00,PIPING,Data Sheet,DS-5312-00-PI-5005,1,DATASHEETS FOR CHECK VALVES,IFT,,
193,00,PIPING,Data Sheet,DS-5312-00-PI-5006,1,DATASHEETS FOR JACKETED PLUG VALVES,IFT,,
194,00,PIPING,Data Sheet,DS-5312-00-PI-5011,1,DATASHEETS FOR SPECIALTY ITEMS,IFT,,
195,00,PIPING,Material Requisition,MR-5312-00-PI-002,0,MATERIAL REQUISITION FOR JACKETED PLUG VALVES ,IFT,,
196,00,PIPING,Procedure,PR-5312-00-PI-001,0,SMARTPLANT 3D IMPLEMENTATION PLAN,IFT,,
197,00,PIPING,Procedure,PR-5312-00-PI-002,0,3D MODEL REVIEW PROCEDURE,IFT,,
198,00,PIPING,Report,RP-5312-00-PI-001,0,SITE VISIT REPORT - PIPING,IFI,,
199,00,PIPING,Report,RP-5312-00-PI-002,0,PLOT PLAN REVIEW REPORT,IFT,,
200,00,PIPING,Report,RP-5312-00-PI-003,0,60% MODEL REVIEW REPORT,IFT,,
201,00,PIPING,Report,RP-5312-00-PI-004,0,90% MODEL REVIEW REPORT,IFT,,
202,00,PIPING,Scope of Works,RP-5312-00-PI-005,0,PIPING DEMOLITION SCOPE OF WORK,IFT,,
203,00,PIPING,Report,RP-5312-00-PI-006,0,60% 3D MODEL REVIEW CLOSE-OUT REPORT,IFT,,
204,00,PIPING,Report,RP-5312-00-PI-007,0,90% 3D MODEL REVIEW CLOSE-OUT REPORT,IFT,,
205,00,PIPING,Report,RP-5312-00-PI-008,0,SITE VISIT REPORT - PIPING,IFT,,
206,00,PIPING,Report,RP-5312-00-PI-009,0,SITE VISIT REPORT - PIPING ,IFT,,
207,00,PIPING,Report,RP-5312-00-PI-010,0,SITE VISIT REPORT - PIPING,IFT,,
,,,,,,PROCESS,,,
208,00,PROCESS,Design Basis,DB-5312-00-PR-001,0,PROCESS BASIS OF DESIGN,IFT,,
209,00,PROCESS,Report,RP-5312-00-PR-001,0,PROCESS DESCRIPTION,IFT,,
210,00,PROCESS,Lists & Schedules,RP-5312-00-PR-002,0,EQUIPMENT LIST,IFT,,
211,00,PROCESS,Heat & Mass Balance,RP-5312-00-PR-004,1,HEAT & MASS BALANCE,IFT,,
212,00,PROCESS,Report,RP-5312-00-PR-005,0,UTILITY STUDY & ADEQUACY REPORT,IFT,,
213,00,PROCESS,Report,RP-5312-00-PR-007,1,SITE VISIT REPORT - PROCESS,IFT,,
214,00,PROCESS,Philosophy Documents,RP-5312-00-PR-008,0,OPERATING AND CONTROL PHILOSOPHY,IFT,,
215,00,PROCESS,Philosophy Documents,RP-5312-00-PR-009,0,EMERGENCY SHUTDOWN PHILOSOPHY,IFT,,
216,00,PROCESS,Report,RP-5312-00-PR-010,1,PFD & UFD REVIEW REPORT,IFI,,
217,00,PROCESS,Lists & Schedules,RP-5312-00-PR-012,0,LINE LIST,IFT,,
218,00,PROCESS,Report,RP-5312-00-PR-013,1,P&ID REVIEW REPORT,IFI,,
219,00,PROCESS,Philosophy Documents,RP-5312-00-PR-014,0,START-UP AND NORMAL SHUTDOWN PHILOSOPHY,IFT,,
220,00,PROCESS,Philosophy Documents,RP-5312-00-PR-015,0,EQUIPMENT ISOLATION PHILOSOPHY,IFT,,
221,00,PROCESS,Philosophy Documents,RP-5312-00-PR-016,1,VENT & DRAIN PHILOSOPHY,IFT,,
222,00,PROCESS,Philosophy Documents,RP-5312-00-PR-017,0,TIE-IN PHILOSOPHY,IFT,,
223,00,PROCESS,Philosophy Documents,RP-5312-00-PR-018,0,"PRE-COMMISSIONING, COMMISSIONING PHILOSOPHY",IFT,,
224,00,PROCESS,Report,RP-5312-00-PR-019,0,PROCESS SAFEGUARDING MEMORANDUM ,IFT,,
225,00,PROCESS,Lists & Schedules,RP-5312-00-PR-020,0,TIE-IN LIST,IFT,,
226,00,PROCESS,Report,RP-5312-00-PR-021,0,OVERALL EMISSION AND EFFLUENT SUMMARY,IFT,,
227,00,PROCESS,Report,RP-5312-00-PR-022,0,HYDRAULIC CALCULATION REPORT,IFT,,
228,00,PROCESS,Calculation,RP-5312-00-PR-023,0,PROCESS SIZING CALCULATIONS FOR EQUIPMENT,IFT,,
229,00,PROCESS,Report,RP-5312-00-PR-025,0,PFD & UFD REVIEW CLOSE OUT REPORT,IFT,,
230,00,PROCESS,Report,RP-5312-00-PR-026,0,P&ID REVIEW CLOSE OUT REPORT,IFT,,
231,00,PROCESS,Report,RP-5312-00-PR-027,1,ENERGY REPORT (ER-3 DEFINE STAGE),IFT,,
232,00,PROCESS,Cause and Effect Diagram/Charts,RP-5312-00-PR-028,0,"CAUSE & EFFECT DIAGRAM UNIT 10,30,40 (MODIFICATIONS) SHT-1 EXISTING / NEW FACILITIES",IFT,,
233,00,PROCESS,Lists & Schedules,RP-5312-00-PR-029,0,ALARM & TRIP LIST,IFT,,
234,00,PROCESS,Report,RP-5312-00-PR-030,1,DECOMMISSIONING AND DEMOLITION PHILOSOPHY,IFT,,
,,,,,,SAFETY & RISK,,,
235,00,SAFETY,Report,RP-5312-00-SA-001,1,PROJECT HSE PLAN,IFT,,
236,00,SAFETY,Philosophy Documents,RP-5312-00-SA-002,0,PROJECT HSE PHILOSOPHY,IFT,,
237,00,SAFETY,Philosophy Documents,RP-5312-00-SA-003,1,FIRE PROTECTION PHILOSOPHY,IFT,,
238,00,SAFETY,Scope of Works,RP-5312-00-SA-004,0,SCOPE OF WORK FOR SAFETY STUDIES,IFT,,
239,00,SAFETY,Lists & Schedules,RP-5312-00-SA-005,0,HAZARDOUS AREA CLASSIFICATION SCHEDULE,IFT,,
240,00,SAFETY,Philosophy Documents,RP-5312-00-SA-006,1,FIRE & GAS DETECTION PHILOSOPHY,IFT,,
241,00,SAFETY,Report,RP-5312-00-SA-007,0,FIRE & GAS PERFORMANCE TARGET STUDY ASSUMPTION REGISTER,IFT,,
242,00,SAFETY,Calculation,RP-5312-00-SA-008,1,FIRE WATER DEMAND CALCULATION,IFT,,
243,00,SAFETY,Report,RP-5312-00-SA-009,0,FIRE WATER STEADY STATE HYDRAULIC CALCULATION REPORT,IFT,,
244,00,SAFETY,Report,RP-5312-00-SA-010,0,FIRE WATER SURGE ANALYSIS REPORT ,IFT,,
245,00,SAFETY,Report,RP-5312-00-SA-011,1,PHA (HAZID/ ENVID/ OHID) REPORT,IFT,,
246,00,SAFETY,Report,RP-5312-00-SA-012,0,PHA (HAZID/ENVID/OHID) CLOSEOUT REPORT,IFT,,
247,00,SAFETY,Report,RP-5312-00-SA-013,0,HAZARD & OPERABILITY STUDY (HAZOP) REPORT,IFT,,
248,00,SAFETY,Report,RP-5312-00-SA-014,0,HAZOP CLOSEOUT REPORT,IFT,,
249,00,SAFETY,Report,RP-5312-00-SA-015,0,SAFETY INTEGRITY LEVEL (SIL) REPORT,IFT,,
250,00,SAFETY,Report,RP-5312-00-SA-016,0,INHERENLTY SAFER DESIGN (ISD) REPORT,IFT,,
251,00,SAFETY,Report,RP-5312-00-SA-017,1,CONSTRUCTABILITY REVIEW REPORT,IFT,,
252,00,SAFETY,Report,RP-5312-00-SA-018,0,FIRE & GAS 3D MAPPING STUDY REPORT,IFT,,
253,00,SAFETY,Report,RP-5312-00-SA-019,1,EMERGENCY SYSTEM SURVIVABILITY ASSESSMENT (ESSA) STUDY REPORT,IFT,,
254,00,SAFETY,Report,RP-5312-00-SA-020,1,QRA STUDY REPORT,IFT,,
255,00,SAFETY,Report,RP-5312-00-SA-021,0,FERA REPORT,IFT,,
256,00,SAFETY,Report,RP-5312-00-SA-022,0,EERA REPORT,IFT,,
257,00,SAFETY,Report,RP-5312-00-SA-023,0,HEALTH SAFETY & ENVIRONMENT IMPACT ASSESSMENT (HSEIA - FEED) ,IFT,,
258,00,SAFETY,Report,RP-5312-00-SA-024,0,BOW TIE ANALYSIS REPORT ,IFT,,
259,00,SAFETY,Report,RP-5312-00-SA-025,0,CONTROL OF MAJOR ACCIDENT HAZARDS (COMAH) REPORT ,IFT,,
260,00,SAFETY,Report,RP-5312-00-SA-026,0,HSECES LIST AND PERFORMANCE STANDARDS,IFT,,
261,00,SAFETY,Report,RP-5312-00-SA-027,0,"RELIABILITY, AVAILABILITY & MAINTAINABILITY (RAM) STUDY REPORT ",IFT,,
262,00,SAFETY,Report,RP-5312-00-SA-028,0,SIMOPS REPORT,IFT,,
263,00,SAFETY,Report,RP-5312-00-SA-029,0,VALUE ENGINEERING STUDY REPORT,IFT,,
264,00,SAFETY,Report,RP-5312-00-SA-030,0,HSE ACTION TRACKING REGISTER,IFT,,
265,00,SAFETY,Data Sheet,RP-5312-00-SA-031,1,FIREFIGHTING AND SAFETY EQUIPMENT DATASHEET,IFT,,
266,00,SAFETY,Cause and Effect Diagram/Charts,RP-5312-00-SA-032,1,FIRE AND GAS CAUSE & EFFECT CHART - SUBSATION-05,IFT,,
267,00,SAFETY,Cause and Effect Diagram/Charts,RP-5312-00-SA-033,0,FIRE AND GAS CAUSE & EFFECT CHART - RSE-III/SGP I & II,IFT,,
268,00,SAFETY,Cause and Effect Diagram/Charts,RP-5312-00-SA-034,0,FIRE AND GAS CAUSE & EFFECT CHART - NEW AREA (GRANULATION / LIQUID SULPHUR STORAGE TANKS & PUMPS),IFT,,
269,00,SAFETY,Report,RP-5312-00-SA-036,0,SAFETY & RISK SITE VISIT REPORT,IFT,,
270,00,SAFETY,Report,RP-5312-00-SA-037,0,PHA (HAZID / ENVID /OHID) WORKSHOP TERMS OF REFERENCE,IFT,,
271,00,SAFETY,Specification,RP-5312-00-SA-039,0,FIRE SUPPRESSION SYSTEM SPECIFICATION,IFT,,
272,00,SAFETY,Cause and Effect Diagram/Charts,RP-5312-00-SA-040,1,FIRE AND GAS CAUSE & EFFECT CHART - OPERATIONS BUILDING,IFT,,
273,00,SAFETY,Report,RP-5312-00-SA-041,0,SAFETY INTEGRITY LEVEL (SIL) WORKSHOP TERMS OF REFERENCE ,IFT,,
274,00,SAFETY,Report,RP-5312-00-SA-042,0,CONSTRUCTABILITY & SIMOPS TOR,IFT,,
275,00,SAFETY,Report,RP-5312-00-SA-043,1,INHERENTLY SAFER DESIGN (ISD) WORKSHOP TERMS OF REFERENCE,IFT,,
276,00,SAFETY,Report,RP-5312-00-SA-044,1,HAZOP WORKSHOP TERMS OF REFERENCE,IFT,,
277,00,SAFETY,Report,RP-5312-00-SA-045,0,VALUE ENGINEERING WORKSHOP TERMS OF REFERENCE,IFT,,
278,00,SAFETY,Report,RP-5312-00-SA-046,0,QRA / FERA / EERA / ESSA ASSUMPTION REGISTER,IFT,,
279,00,SAFETY,Report,RP-5312-00-SA-048,0,HSEIA SCREENING REPORT,IFT,,
280,00,SAFETY,Report,RP-5312-00-SA-049,0,PHSER TERMS OF REFERENCE,IFT,,
281,00,SAFETY,Report,RP-5312-00-SA-050,0,PHSER CLOSEOUT REPORT ,IFT,,
282,00,SAFETY,Report,RP-5312-00-SA-051,0,"PROJECT HEALTH, SAFETY & ENVIRONMENT REVIEW (PHSER)- II REPORT",IFT,,
283,00,SAFETY,Report,RP-5312-00-SA-052,0,ERGONOMICS & HUMAN FACTORS ENGINEERING REPORT,IFT,,
284,00,SAFETY,Report,RP-5312-00-SA-053,0,RAM STUDY BASIS ,IFT,,
285,00,SAFETY,Report,RP-5312-00-SA-054,0,ISD CLOSEOUT REPORT,IFT,,
286,00,SAFETY,Report,RP-5312-00-SA-056,0,EIA SCOPING REPORT,IFT,,
287,00,SAFETY,Report,RP-5312-00-SA-057,0,NOISE & AIR DISPERSION MODELLING METHODOLOGY & TERMS OF REFERENCE,IFT,,
288,00,SAFETY,Report,RP-5312-00-SA-058,0,ENVIRONMENTAL IMPACT ASSESSMENT (EIA) REPORT,IFT,,
289,00,SAFETY,Specification,SP-5312-00-SA-001,1,FIRE FIGHTING AND SAFETY EQUIPMENT SPECIFICATION,IFT,,
,,,,,,TELECOM,,,
290,00,TELECOM,Specification,5312-ADD-1532-001,0,ADDENDUM TO AGP DGS FOR RADIO SYSTEM,IFT,,
291,00,TELECOM,Specification,5312-ADD-1532-002,0,ADDENDUM TO AGP DGS FOR PUBLIC ADDRESS SYSTEM,IFT,,
292,00,TELECOM,Specification,5312-ADD-1532-003,0,ADDENDUM TO AGP DGS FOR CCTV SYSTEM,IFT,,
293,00,TELECOM,Specification,5312-ADD-1532-004,0,ADDENDUM TO AGP DGS FOR TELEPHONE SYSTEM,IFT,,
294,00,TELECOM,Specification,5312-ADD-1532-005,0,ADDENDUM TO AGP DGS FOR STRUCTURED CABLING SYSTEM,IFT,,
295,00,TELECOM,Specification,5312-ADD-1532-006,0,ADDENDUM TO AGP DGS FOR ACCESS CONTROL SYSTEM,IFT,,
296,00,TELECOM,Specification,5312-ADD-1532-011,0,ADDENDUM TO AGP DGS FOR FIBER OPTICAL SYSTEM,IFT,,
297,00,TELECOM,Calculation,CA-5312-00-TE-001,0,POWER CONSUMPTION & HEAT DISSIPATION CALCULATION,IFT,,
298,00,TELECOM,Design Basis,DB-5312-00-TE-001,0,TELECOMMUNICATION DESIGN BASIS,IFT,,
299,00,TELECOM,Data Sheet,DS-5312-00-TE-001,0,DATASHEET FOR CCTV SYSTEM,IFT,,
300,00,TELECOM,Data Sheet,DS-5312-00-TE-002,0,DATASHEET FOR PAGA SYSTEM,IFT,,
301,00,TELECOM,Data Sheet,DS-5312-00-TE-003,0,DATASHEET FOR RADIO COMMUNICATION SYSTEM,IFT,,
302,00,TELECOM,Data Sheet,DS-5312-00-TE-004,0,DATASHEET FOR ACCESS CONTROL SYSTEM,IFT,,
303,00,TELECOM,Data Sheet,DS-5312-00-TE-005,0,DATASHEET FOR STRUCTURED CABLING SYSTEM,IFT,,
304,00,TELECOM,Data Sheet,DS-5312-00-TE-006,0,DATASHEET FOR TELEPHONE SYSTEM,IFT,,
305,00,TELECOM,Data Sheet,DS-5312-00-TE-007,0,DATASHEET FOR DATA NETWORK,IFT,,
306,00,TELECOM,Data Sheet,DS-5312-00-TE-008,0,DATASHEET FOR FIBER OPTICAL SYSTEM,IFT,,
307,00,TELECOM,Report,RP-5312-00-TE-001,1,TELECOMMUNICATIONS SITE VISIT REPORT,IFT,,
308,00,TELECOM,Scope of Works,RP-5312-00-TE-002,0,TELECOMMUNICATIONS SYSTEM MODIFICATION - SCOPE OF WORK,IFT,,
309,00,TELECOM,Scope of Works,RP-5312-00-TE-003,0,SCOPE OF WORK FOR TELECOM SYSTEM INTEGRATOR,IFT,,
310,00,TELECOM,Scope of Works,RP-5312-00-TE-004,0,SCOPE OF WORK FOR FO CABLE INSTALLATION,IFT,,
311,00,TELECOM,Scope of Works,RP-5312-00-TE-005,0,SCOPE OF WORK FOR TELECOM COVERAGE STUDIES,IFT,,
312,00,TELECOM,Report,RP-5312-00-TE-006,0,ADEQUACY REPORT FOR TELECOMMUNICATION SYSTEM,IFT,,
313,00,TELECOM,Report,RP-5312-00-TE-007,0,RADIO COVERAGE STUDY REPORT,IFT,,
314,00,TELECOM,Report,RP-5312-00-TE-008,0,CCTV COVERAGE STUDY REPORT (2D & 3D),IFT,,
315,00,TELECOM,Report,RP-5312-00-TE-009,0,PAGA COVERAGE STUDY REPORT,IFT,,
316,00,TELECOM,Lists & Schedules,RP-5312-00-TE-010,0,TELECOM TIE-IN LIST,IFT,,
317,00,TELECOM,Cable Schedule,RP-5312-00-TE-011,0,TELECOM CABLE SCHEDULE,IFT,,
318,00,TELECOM,Material Take off,RP-5312-00-TE-012,0,TELECOM SYSTEM MTO ,IFI,,
,,,,,,UNIT-10,,,
,,,,,,CIVIL/STRUCTURAL,,,
319,10,CIVIL,Report,CA-5312-10-CI-001,1,ADEQUACY CHECK OF STACKER / RECLAIMER FOUNDATION,IFT,,
320,10,CIVIL,Calculation,CA-5312-10-CI-002,0,SHIP LOADER PIVOT FOUNDATION CALCULATION,IFT,,
321,10,CIVIL,Calculation,CA-5312-10-CI-003,0,TRANSFER TOWER TT-12 STRUCTURAL CALCULATION,IFT,,
322,10,CIVIL,Calculation,CA-5312-10-CI-004,0,STANDARD 2-LEGGED TRESTLE STRUCTURAL CALCULATION,IFT,,
323,10,CIVIL,Calculation,CA-5312-10-CI-005,0,STANDARD 4-LEGGED TRESTLE STRUCTURAL CALCULATION,IFT,,
324,10,CIVIL,Calculation,CA-5312-10-CI-006,1,TRANSFER TOWER TT-11 STRUCTURAL CALCULATION,IFT,,
325,10,CIVIL,Calculation,CA-5312-10-CI-007,0,NON-STANDARD 2 & 4-LEGGED TRESTLE STRUCTURAL CALCULATION,IFT,,
326,10,CIVIL,Calculation,CA-5312-10-CI-008,0,TRANSFER TOWER TT-4A STRUCTURAL CALCULATION,IFT,,
327,10,CIVIL,Calculation,CA-5312-10-CI-009,1,STANDARD 18M SPAN CONVEYOR GALLERY STRUCTURAL CALCULATION,IFT,,
328,10,CIVIL,Calculation,CA-5312-10-CI-010,1,38M & 34M SPAN CONVEYOR GALLERY STRUCTURAL CALCULATION,IFT,,
329,10,CIVIL,Calculation,CA-5312-10-CI-011,0,STANDARD 24M SPAN CONVEYOR GALLERY STRUCTURAL CALCULATION,IFT,,
330,10,CIVIL,Calculation,CA-5312-10-CI-012,0,TRANSFER TOWER TT-2 STRUCTURAL CALCULATION,IFT,,
331,10,CIVIL,Calculation,CA-5312-10-CI-013,0,TRANSFER TOWER TT-3 STRUCTURAL CALCULATION,IFT,,
,,,,,,MECHANICAL,,,
332,10,MECHANICAL,Calculation,CA-5312-10-ME-001,0,CONVEYOR CALCULATION,IFT,,
333,10,MECHANICAL,Design Basis,DB-5312-10-ME-001,0,DESIGN BASIS FOR NEW DUST COLLECTION UNIT,IFT,,
334,10,MECHANICAL,Design Basis,DB-5312-10-ME-002,0,DESIGN BASIS FOR NEW DUST SUPPRESSION UNIT,IFT,,
335,10,MECHANICAL,Data Sheet,DS-5312-10-CV-1001,0,DATASHEET OF BELT CONVEYORS,IFT,,
336,10,MECHANICAL,Data Sheet,DS-5312-10-DC-1001,0,DATA SHEET FOR DUST SUPPRESSION SYSTEM (DS-5312-10-DC-1001),IFT,,
337,10,MECHANICAL,Data Sheet,DS-5312-10-DC-1002,0,DATA SHEET FOR DUST COLLECTION SYSTEM (DS-5312-10-DC-1002),IFT,,
338,10,MECHANICAL,Data Sheet,DS-5312-10-FD-0001,0,DATA SHEETS FOR NEW FEEDER (NEW DOME) (10-FD-0001),IFT,,
339,10,MECHANICAL,Data Sheet,DS-5312-10-FD-0002,0,DATA SHEETS FOR NEW FEEDER (OLD DOME) (10-FD-0002),IFT,,
340,10,MECHANICAL,Data Sheet,DS-5312-10-MS-001,0,DATA SHEET FOR MAGENTIC SEPARATOR (DS-5312-10-MS-0001),IFT,,
341,10,MECHANICAL,Data Sheet,DS-5312-10-SR-0001,0,DATA SHEET FOR STACKER-RECLAIMER (DS-5312-10-SR-0001),IFT,,
342,10,MECHANICAL,Material Requisition,MR-5312-10-ME-001,0,"MATERIAL REQUISITION FOR BULK MATERIAL HANDLING PACKAGE (BELT CONVEYORS & ASSOCIATED ITEMS, STACKER & RECLAIMER AND SHIP LOADER) ",IFT,,
343,10,MECHANICAL,Material Requisition,MR-5312-10-ME-002,0,MATERIAL REQUISITION FOR NEW DUST COLLECTION UNIT,IFT,,
344,10,MECHANICAL,Material Requisition,MR-5312-10-ME-003,0,MATERIAL REQUISITION FOR NEW DUST SUPPRESSION UNIT,IFT,,
345,10,MECHANICAL,Report,RP-5312-10-ME-002,0,"CONDITION ASSESSMENT REPORT FOR EXISTING STACKER AND RECLAIMER (OLD DOME AND NEW DOME), BELT CONVEYOR AND SHIP LOADER UPGRADE",IFT,,
346,10,MECHANICAL,Report,RP-5312-10-ME-003,0,TASK RISK ASSESSMENT FOR BULK SOLID HANDLING EQUIPMENT CONDITION ASSESSMENT INSPECTIONS AND RECOMMENDATIONS ,IFT,,
347,10,MECHANICAL,Report,RP-5312-10-ME-004,0,TECHNICAL METHOD STATEMENT FOR BULK SOLID HANDLING EQUIPMENT CONDITION ASSESSMENT INSPECTIONS AND RECOMMENDATIONS,IFT,,
348,10,MECHANICAL,Report,RP-5312-10-ME-006,0,CHUTES DISCRETE ELEMENT MODELLING REPORT,IFT,,
349,10,MECHANICAL,Specification,SP-5312-10-ME-001,0,PROJECT SPECIFICATION OF BELT CONVEYORS AND TRANSFER CHUTES,IFT,,
350,10,MECHANICAL,Specification,SP-5312-10-ME-002,0,PROJECT SPECIFICATION FOR NEW STACKER / RECLAIMER UNITS,IFT,,
351,10,MECHANICAL,Technical Bid Evaluation,TE-5312-10-ME-001,0,"TBE FOR BULK MATERIAL HANDLING PACKAGE (NEW BELT CONVEYOR SYSTEM, STACKER/RECLAIMER AND SHIPLOADER)",IFT,,
,,,,,,UNIT-20,,,
,,,,,,COASTAL SCIENCE,,,
352,20,COASTAL,Report,PR-5312-20-ST-004,0,COASTAL METOCEAN STUDY REPORT,IFT,,
353,20,COASTAL,Report,PR-5312-20-ST-005,0,HYDRODYNAMIC AND WAVE MODELLING STUDY,IFT,,
354,20,COASTAL,Report,PR-5312-20-ST-006,0,REAL TIME NAVIGATION STUDY,IFT,,
355,20,COASTAL,Report,PR-5312-20-ST-009,1,DYNAMIC MOORING ANALYSIS,IFT,,
,,,,,,MARINE,,,
356,20,MARINE,Design Basis,DB-5312-20-ST-001,0,BASIS OF DESIGN - MARINE,IFT,,
357,20,MARINE,Material Take off,MR-5312-20-ST-001,0,MATERIAL TAKE OFF (MTO) - MARINE,IFT,,
358,20,MARINE,Report,PR-5312-20-ST-001,1,BERTH OCCUPANCY STUDY,IFT,,
359,20,MARINE,Report,PR-5312-20-ST-002,1,DREDGING ASSESSMENT REPORT,IFT,,
360,20,MARINE,Report,PR-5312-20-ST-007,1,ASSESSMENT REPORT OF RETAINED INFRASTRUCTURE,IFT,,
361,20,MARINE,Report,PR-5312-20-ST-008,0,FAST-TIME NAVIGATION STUDY,IFT,,
362,20,MARINE,Report,RP-5312-20-ST-002,0,SUMMARY OF MARINE DESIGN REPORT TERMINAL-1,IFT,,
363,20,MARINE,Report,RP-5312-20-ST-003,0,MARINE CONSTRUCTABILITY REVIEW REPORT,IFT,,
364,20,MARINE,Specification,SP-5312-20-ST-002,0,SPECIFICATIONS - PILES AND PILING,IFT,,
365,20,MARINE,Specification,SP-5312-20-ST-004,0,SPECIFICATIONS - QUICK RELEASE HOOKS,IFT,,
366,20,MARINE,Specification,SP-5312-20-ST-007,0,SPECIFICATION - DREDGING,IFT,,
,,,,,,MECHANICAL,,,
367,20,MECHANICAL,Data Sheet,DS-5312-20-SL-0001,0,DATA SHEET FOR NEW SHIPLOADER (DS-5312-20-SL-0001),IFT,,
368,20,MECHANICAL,Specification,SP-5312-20-ME-001,0,PROJECT SPECIFICATION FOR SHIPLOADERS - BERTH 1,IFT,,
369,20,MECHANICAL,Specification,SP-5312-20-ME-002,0,PROJECT SPECIFICATION FOR BERTH-2 SHIPLOADER RE-COMMISSIONING,IFT,,
,,,,,,UNIT-30,,,
,,,,,,CIVIL/STRUCTURAL,,,
370,30,CIVIL,Calculation,CA-5312-30-CI-011,0,DESIGN CALCULATION OF SULPHUR REMELTER SKID FOUNDATION,IFT,,
371,30,CIVIL,Calculation,CA-5312-30-CI-012,0,ZERO DISCHARGE SETTLEMENT POND CALCULATION,IFT,,
372,30,CIVIL,Calculation,CA-5312-30-CI-013,0,GRANULATOR FOUNDATION STRUCTURAL CALCULATION,IFT,,
373,30,CIVIL,Calculation,CA-5312-30-CI-016,1,DESIGN CALCULATION OF GRANULATOR DAY VESSEL FOUNDATION ,IFT,,
374,30,CIVIL,Calculation,CA-5312-30-CI-018,1,DESIGN CALCULATION FOR TANK FARM TO GRANULATING UNITS PIPEBRIDGE 30-PR-01B,IFT,,
375,30,CIVIL,Calculation,CA-5312-30-CI-019,1,DESIGN CALCULATION OF GRANULATOR COVERING SHELTER,IFT,,
,,,,,,MECHANICAL,,,
376,30,MECHANICAL,Data Sheet,DS-5312-30-F-0001,0,MECHANICAL DATASHEET FOR LIQUID SULPHUR FILTER (30-F-0001A/S / 0002A/S / 0003A/S / 0004A/S / 0005A/S),IFT,,
377,30,MECHANICAL,Data Sheet,DS-5312-30-GD-1001,0,DATA SHEET FOR GRANULATOR UNIT (DS-5312-20-GR-0001),IFT,,
378,30,MECHANICAL,Data Sheet,DS-5312-30-ME-0014,1,DATA SHEET FOR SULPHUR REMELTER PACKAGE (DS-5312-30-ME-0014),IFT,,
379,30,MECHANICAL,Data Sheet,DS-5312-30-P-1001,0,"MECHANICAL DATASHEET FOR GRANULATOR FEED PUMP 30-P-0001 A/B/C/S, 30-P-0002 A/B/C/S, 30-P-0003 A/B/C/S, 30-P-0004 A/B/S & 30-P-0005 A/B/S",IFT,,
380,30,MECHANICAL,Data Sheet,DS-5312-30-V-0001,0,MECHANICAL DATASHEET FOR LIQUID SULPHUR DAY VESSEL (30-V-0001/0002/0003/0004/0005),IFT,,
381,30,MECHANICAL,Material Requisition,MR-5312-30-ME-001,0,MATERIAL REQUISITION FOR NEW GRANULATOR UNITS,IFT,,
382,30,MECHANICAL,Material Requisition,MR-5312-30-ME-002,0,MR FOR GRANULATOR FEED PUMPS,IFT,,
383,30,MECHANICAL,Material Requisition,MR-5312-30-ME-003,0,MATERIAL REQUISITION FOR NEW SULPHUR REMELTER PACKAGE,IFT,,
384,30,MECHANICAL,Material Requisition,MR-5312-30-ME-004,0,MATERIAL REQUISITION FOR LIQUID SULPHUR DAY VESSEL,IFT,,
385,30,MECHANICAL,Material Requisition,MR-5312-30-ME-005,0,MATERIAL REQUISITION FOR LIQUID SULPHUR FILTER ,IFT,,
386,30,MECHANICAL,Scope of Works,RP-5312-30-ME-001,0,SCOPE OF WORK FOR RELOCATION AND REVAMPING OF EXISTING GRANULATOR UNITS,IFT,,
387,30,MECHANICAL,Report,RP-5312-30-ME-003,0,SOLID SULPHUR FORMING TECHNOLOGY REVIEW REPORT,IFT,,
388,30,MECHANICAL,Report,RP-5312-30-ME-004,0,SULPHUR GRANULATION PLANT CONDITION INSPECTION REPORT (GX #1 TO 5 AND GX #6 TO 9),IFT,,
389,30,MECHANICAL,Report,RP-5312-30-ME-005,0,SAFETY RISK ASSESSMENT GRANULATOR CONDITION INSPECTIONS AND RECOMMENDATIONS,IFT,,
