AREA,UNIT,DISC,DOCUMENT NUMBER,REV,TITLE,STATUS,ORIGINATOR,TYPE
COMMON,001,EL,0401413-ADD-1630-025,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - DC UPS SYSTEMS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-026,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - STATIC AC UPS SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-027,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - ELECTRIC MOTORS CAGE INDUCTION AND SYNCHRONOUS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-029,0,"ADDENDUM TO DESIGN GENERAL SPECIFICATION - POWER, CONTROL AND EARTHING CABLE",IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-031,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - ELECTRICAL VARIABLE SPEED DRIVE CONTROLLERS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-032,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - NEUTRAL EARTHING RESISTORS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-033,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - LIGHTING AND SMALL POWER DISTRIBUTION BOARDS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-035,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - FIELD COMMISSIONING OF ELECTRICAL INSTALLATION AND EQUIPMENT,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-037,0,ADDENDUM TO DESIGN GENERAL SEPCIFICATION 33KV GAS INSULATED SWITCHGEAR AND CONTROLGEAR,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-038,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - POWER FACTOR IMPROVEMENT EQUIPMENT,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-2020-012,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - LIGHTING FIXTURES,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-GG-001-16-22-001,0,EARTHING INSTALLATION STANDARD,IFD,WORLEY,DRAWING
