SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
19,16,,,,"1005312, New RSGP at RSHT2 for Hail and Ghasha 
SCOPE OF WORK Package 1 for SGP (RFT 6000066707- Revised) ",,"It is mentioned that Steam Line: the steam line shall connect to an existing high-pressure steam line rated at 65 Barg, with pressure reduced to meet project speciﬁcations as stipulated 
in the scope of work. 
The Bidder understands that the steam line originates from the Borouge 3 plant, where it is available at high pressure, and will be utilized at the new facility through a new pressure reduction station.",Noted,TB-R003
20,17,,,,"1005312, New RSGP at RSHT2 for Hail and Ghasha 
SCOPE OF WORK Package 1 for SGP (RFT 6000066707- Revised) ",,"The Bidder understands that all new facilities will be integrated with the existing Ruwais Sulphur Handling Terminal. This includes the integration of new sulphur pumps, tanks, and the sulphur pit with the existing infrastructure.",Noted,TB-R003
21,18,,,,"1005312, New RSGP at RSHT2 for Hail and Ghasha 
SCOPE OF WORK Package 1 for SGP (RFT 6000066707- Revised) ",,"it is mentioned that
Sulphur Pit and Re-Melter: Bidders shall be responsible to design and provide a new 
sulphur pit with a minimum capacity of 100 m3 and a re-melter with a capacity of 30 
TPD.  All necessary connections from the granulators to the sulphur pit and from the 
pit to the liquid tanks shall be thoroughly studied, designed and submitted for 
Company's review and approval. 

The Bidder understands that this represents a new scope not addressed in the FEED. All these facilities will be located at RSHT2. The existing sulphur pit and re-melter are deemed sufficient, and there is no scope related to evaluating the adequacy of the existing sulphur pit.",No sulphur Pits at RSHT2,TB-R003
22,1,Instrumentation,,,Tender Bulletin Number TB-R001,,"According to the TB-R001, Quote ""The I&C systems shall be designed as standalone system. The new panels, racks, consoles, etc. to be installed in the existing control building"" Unquote.

Bidder assumes that any Modifications or Integration work with the existing systems (instrumentation, automation, CPIMS, etc.) are not required for this project.

COMPANY to confirm.","To reduce the length of interconnecting cables, cable trays and supporting systems, it is proposed to add new E&I room in the new substation (substation 5 of original RFT)  at new plant area

The new standalone system shall have an interface with RSHT2 control and safeguard systems to exchange both hardwired signals as well as serial link",TB-R003
23,2,Instrumentation,,,Tender Bulletin Number TB-R001,,"According to the TB-R001, Quote ""The I&C systems shall be designed as standalone system. The new panels, racks, consoles, etc. to be installed in the existing control building"" Unquote.

Bidder assumes that any Modifications or Integration work with the existing systems (F&G, RACP, etc.) are not required for this project.

COMPANY to confirm.",SEE  item 1 above,TB-R003
24,3,Instrumentation,,,New RSGP at RSHT2 Scope of Work,,"According to the Scope of Work, Quote ""The new conveyor belt system shall be integrated with the existing system to enable connectivity to the existing berths."" Unquote.

As per Tender Bulletin Number TB-R001, the I&C systems shall be designed as standalone. Hence, Bidder assumes that any Modifications or Integration work with the existing systems (instrumentation, automation, CPIMS, etc.) are not required for this project.

COMPANY to confirm.",The new standalone system shall have an interface with RSHT2 control and safeguard systems to exchange both hardwired signals as well as serial link,TB-R003
25,4,Instrumentation,,,New RSGP at RSHT2 Scope of Work,,"According to the Scope of Work, Quote ""The E&I work shall be engineered to accommodate the new configuration as proposed by the successful bidder, ensuring all design elements are consistent with AJES/DGS standards. All systems (instrumentation, automation, and telecom) shall be interfaced and integrated with the existing systems."" Unquote.

As per Tender Bulletin Number TB-R001, the I&C systems shall be designed as standalone. Hence, Bidder assumes that any Modifications or Integration work with the existing systems (instrumentation, automation, CPIMS, etc.) are not required for this project.

COMPANY to confirm.","Modification to existing system is not covered under this scope, 

The new standalone system shall have an interface with RSHT2 control and safeguard systems to exchange both hardwired signals as well as serial link",TB-R003
26,5,Instrumentation,,,New RSGP at RSHT2 Scope of Work,,COMPANY to confirm that cabinets with a purging facility are not required for this project. ,"Confirm.
HVAC system to be designed to ensure positive pressure inside the room with filtration system to eliminate sulphur dust coming thru the fresh air system",TB-R003
27,6,Instrumentation,,,New RSGP at RSHT2 Scope of Work,,Please clarify whether Redundant Communication link (IPCS) is required for third party communication via MODBUS TCP/IP. ,Redundancy Required,TB-R003
28,7,Instrumentation,,,New RSGP at RSHT2 Scope of Work,,COMPANY to confirm that SIL is not applicable for pH and Conductivity Analysers. ,SIL Study under EPC contractor scope,TB-R003
