SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
69,11,Mechanical,,, Modification to the TT-4 is required for the integration with the new additional material handling system.,,"As per BIDDER's understanding, the modification is only for connection from new conveyor to existing TT-4, existing conveyor belts and steel structure will NOT be modified or replaced.
Please confirm.","The modification is connect is new conveyor to existing TT-4 and necessary modification/assessment of existing tower TT-4 to be reviewed in terms of  connections  and its foundations based on approved material handling arrangement and carryout necessary reinforcement / strenghtening.

Also Bidder shall perform assessment/adequacy check of the existing structure based on applicable AGES & guidelines. Bidders to confirm compliance without exception.",TB-R009
70,12,Mechanical,,,Tender Bulletin,,"According to the RFQs, BIDDER understands that the granulation system is operated in three shifts and 24 hours, there are 10 sets of granulation system equipments, 9 sets of equipments are used and one set of equipments is reserved, the processing capacity of one set of equipments is 45.84t/h, and the maximum design capacity is 50t/h. 
Please confirm.",Confirmed.,TB-R009
71,13,Mechanical,,,Tender Bulletin,,"According to the RFQs, BIDDER understands that the belt conveying capacity from granulation to linear warehouse and emergency system to TT-04 transfer building is 412.56t/h (design capacity 500t/h) with three shifts of continuous 24 operation. 
Please confirm.","Bidder to confirm based on which RFQ's document, the transfer rate of 412 t/h(design 500t/h) is quoted. 

Further Bidder to assess & provide the the emergency route or optional route scheme to transfer the granules from new linear warehouse to existing RSHT-2 linear storage inlet and not at the TT-4.",TB-R009
72,14,Mechanical,,,Tender Bulletin,,"According to the RFQs, BIDDER understands that the capacity of the system from the linear warehouse to the ship loader is 4000t/h and the design capacity of the reclaimer and belt conveyor is 4000t/h. 
Please confirm.",Confirmed.,TB-R009
73,15,Mechanical,,,Tender Bulletin,,"According to the RFQs, BIDDER understands that two linear storage warehouses are designed and arranged, each warehouse stores 82,500 tons of materials, the warehouse is 82.5m wide and 260m long, and each warehouse is arranged with two belt conveyors and two stacker and reclaimer, with a capacity of 500t/h and 4000t/h. Stacker and belt conveyor are alternate. 
Please confirm.","Bidder to cofirm based on which RFT document reference the linear storage dimensions is quoted or mentioned.

Note that the dimension of the new linear storage in RSHT-2, shall be similar to existing RSHT-2 linear storage dimensions.

Noted and the existing linear storage in RSHT-2 is arrnaged with two belt conveyors, two stackers and reclaimers. The capacity of each stacker shall be 600t/h and reclaimer shall be 4000t/h.",TB-R009
74,16,Mechanical,,,Tender Bulletin,,"According to the RFQs, BIDDER understands that the conveying capacity of the emergency conveyor belt conveyor from the pelletizer to the TT-04 transfer building is 412.56t/h (the design capacity is 500t/h) and the subsequent ship loading system is 4000t/h, which is incompatible. Considering that from the warehouse to the loading system is a one-use, one-backup scheme, and the loading system is relatively safe, it is recommended to cancel the emergency conveyor belt from the pelletizer to the TT-04 transfer building. 
Please confirm.",Refer to comments point.no.13 above.,TB-R009
75,17,Process,,,General Utilities Plant (GUP),,Please provide the liquid sulfur pipeline access point and data in details.,"Bidder to note that high level information related to Hail & Ghasha liquid sulphur specifications..etc to RSHT-2 are already provided in RFT.
Tentative location of Pig Receiver is shown in the  attachment shared with TB-R001 (File name TB-R001_Att-Coordindates) . However pig receiver will be located as close as possible to the project facilities. Therefore bidder shall consider  South-East corner of the plot earmarked for the project for pig receiver location.",TB-R009
76,18,Process,,,Tender Bulletin ,,"1. As per TB-R3, RSHT2 - Presentation indicates both utility water and fire water will be provided to the new facility from the existing Ruwais Sulphur Handling Plant. Attachment 1 item 15 COMPANY mentions only fire water will be supplied from Ruwais Sulphur Handling Terminal. Please clarify which is correct.

2. BIDDER requests COMPANY to provide the existing water supply systems (fire water, process water and potable water) interface details, such as location, pipe size, material, pressure, flow, AG/UG etc. ","1. Note that Utility water and FW will be supplied from existing RSHT-2 facility.However, Bidder to confirm/perform the adequacy of the existing system catering to new sulphur granulation plant in RSHT-2.

2.Company as-built documents for RSHT-2 as avilable are provided for the same. However, for process water consumption to new GX's, Bidder to confirm whether existing utility/potable water supply characteristics/specifications available in RSHT-2 will be acceptable. 
Bidder to note that, adequacy of  existing utilites to be confirmed for new utility requirements identified in new sulphur granulation plant in RSHT-2.",TB-R009
77,19,Process,,,Tender Bulletin ,,"1.The BIDDER understands that all drainage systems will be integrated with the existing Ruwais Sulphur Handling Terminal. Please clarify if need new storm water / waste water evaporation pond and sanitary treatment package, or will be integrated with the existing infrastructure.

2. BIDDER requests COMPANY to provide the existing drainage systems (storm water, waste water, sanitary water) interface details, such as location, pipe (trench) size, material, pressure (pressurised or gravity), flow, AG/UG etc. ","1)Bidder to note that, the adequacy of the existing infrastructure for the mentioned system to be reveiwed before integrating. Accordingly, new system requirements to be confirmed. 
2) Relevant company as-built drawings as available are provided for bidder review & considerations for mentioned systems.",TB-R009
78,20,Plot Plan,,,"Tender Bulletin Number TB-R001-Clause NO.6 ""Attached are the coordinates of the area that can be utilized for the development of the new facility. HoBIDDERver, the new development shall consider the integration to the existing facility and the need to modify the roads to suite the new development.""",,"
There is no attchment or coordinate file of the Bulletin, please kindly provide the coordinates in plant coodinate system.","As claified in the meeting dated 4th Dec 2024, Bidder shall consider coordinates provided in the referenced attachment for Bidding purpose.",TB-R009
79,21,CIVIL,,,General Utilities Plant (GUP),,"Please provide the project civil engineering interface, including draining system, road interface and etc.","Bidder to Comply but not limited to the RFT for RSHT-1 H&G Upgrade Drianage philosphy and COMPANY AGES-SP-01-07 (Drainage Systems - Design and Construction Specification),AGES-SP-01-05 (Roads and Paving - Design and Construction Specification).
CWS disposal arrangement shall be designed to minimize maintenance in-line with COMPANY AGES-SP-01-07.  
The bidder shall make necessary site visit to understand the existing fcilities in the vicinity of the PROJECT area for all civil engineering interface including drainage disposal or further treatment or tie-ins existing system after checking  adequacy/ modification/update etc(as required).,
 Successful bidder shall carryout all required works without varation, bidder to confirm compliance without exception.",TB-R009
80,22,CIVIL,,,General ,,"COMPANY is requested to provide the reports of geological and geomorphology of project location.
If it's not available yet, the above-mentioned reports of the existing RSHT-2 is required for BIDDER's reference and initial understanding.","COMPANY is in the process of collecting the existing geotechnical details for the nearby facilities and it will be shared at the earliest.
The basic information/Environmental data is availabe in applicable AGES (such as AGES-SP-01-003(structural Design basis), AGES-GL-16-003(Basic Engineering Design Data). 
The bidder shall make necessary site visit to understand the existing geomorphology condition, terrain/ground surface etc of the PROJECT area accordingly bid shall be considered without varation. bidder to confirm compliance without exception.",TB-R009
81,23,CIVL,,,"Tender Bulletin Number TB-R001-Clause NO.7 ""All road works shall be part of the scope.""",,"Road design will follow the drawing 5312-00-A1-1001_Rev.0 Road and paving detail
Please confirm.",The road design and details shall Comply with COMPANY AGES and Standard drawings(STD). ,TB-R009
82,24,CIVIL,,,"DW-5264-6000-A0-PP-0500-1F OVERALL SITE PLAN , NOTES2",,"1.BIDDER requests COMPANY to provide the autocad file of the  DW-5264-6000-A0-PP-0500-1F ;
2. BIDDER requests COMPANY to provide the following specification mentioned in note 2:
AEGS-SP-01-003
AEGS-SP-01-001
DGS-1486-001
DGS-1783-005","1. The native file will be attached with the reply. However Bidder shall note that the file is only for reference. 
2. COMPANY already provided many of the AGES/Standard Drawings(STD) with RFT for RSHT-1 H&G Upgrade along with tender bulletins. 
The DGS-1783-005(PAVING MATERIALS AND CONSTRUCTION) & DGS-1486-001(EARTHWORKS) are superseded by AGES-SP-01-005 (Roads and Paving - Design and Construction Specification)
AGES-SP-01-006 (Site Preparation, Earthworks and Bund Construction Specification)

Bidder shall make a note that many of the existing DGS are superseded by the COMPANY AGES and the same shall be considered for develpment of engineering and construction. COMPANY AGES Register & Civil/Structural Standard drawings (STD) list are attached as part of the PROJECT document. Bidder to review & request the same.",TB-R009
83,25,CIVIL,,,GENERAL,,Kindly provide the civil/structure design criteria and specifications for the existing Ruwais Terminal SHT-2.,Bidder to specify the requirements clearly to enable Company respond,TB-R009
84,26,CIVIL,,,GENERAL,,Kindly provide the foundation drawings for the existing Ruwais Terminal SHT-4 Storage Building.,Bidder to specify the requirements clearly to enable Company respond,TB-R009
85,27,CIVIL,,,GENERAL,,"Kindly provide the foundation drawings for the existing Ruwais Terminal SHT-2 including Storage Building, tanks and etc.",Bidder to specify the requirements clearly to enable Company respond,TB-R009
86,28,CIVIL,,,GENERAL,,Kindly provide the foundation and steel structure calculations for the existing Ruwais Terminal SHT-2.,Bidder to specify the requirements clearly to enable Company respond,TB-R009
87,29,Telecommunication,,,TELECOMMUNICATION DESIGN BASIS,,"Please confirm the existing switches can be support new GBE SM SFP, also BIDDER requests COMPANY to provide existing switches model, type and datasheet for BIDDER",Please see the attached Telecom system block diagram for switch details. The switch vendor (OEM) can confirm if these switches can support GBE SM SFP. To be confirmed later.,TB-R009
88,30,Telecommunication,,,TELECOMMUNICATION DESIGN BASIS,,"Follow ""5312-00-A3-7706_0"" , all backbone FO cable is 48 core, please clarify.
BIDDER requests COMPANY to provide 5312-00-A3-7021 - System Interface Block Diagram.
BIDDER requests COMPANY to provide existing telecommunication cable routing layout.","FO back bone cable is 2 x 12 cores in RSHT-2. Whereas, the FO cable interface with Hail & Ghasha is 2 x 96 cores. As per the AGES (COMPANY specifications), FO  back bone cable shall have a minimum of 24 cores. 
FO cable routing is attached.",TB-R009
89,31,Telecommunication,,,TELECOM TIE-IN LIST,,"Existing CCTV will be demolished after new IP CCTV system working, so the existing CCTV system need add in the telecommunication tie-in list, please confirm.
And BIDDER requests COMPANY to provide each existing CCTV system related documents/drawings.",Bidder's understanding is correct. The IP CCTV system shall be added to Telecom's tie-in list. CCTV documents for RSHT-2 are attached.,TB-R009
90,32,Telecommunication,,,TELECOM TIE-IN LIST,,"Use CAT.6a or CAT .7 UTP Cable, please confirm.",See the attached list. Both Cat-6A and Cat-7 cables are used in RSHT-2 based on specific application requirements. List of Telecom cables in RSHT-2 is attached.,TB-R009
91,33,Telecommunication,,,TELECOMMUNICATIONS SYSTEM MODIFICATION - SCOPE OF WORK,,"The existing radio system ( Motorola make TETRA Radio system ) will be replaced  by Hytera make TETRA Radio system, this replacement is not BIDDER's scope , please confirm.
And BIDDER requests COMPANY to provide new Hytera marke TETRA Radio system detail information.",The current radio system is 'TETRA' in RSHT-2. Adequacy to be checked for upgrade/modification or replacement as per the project requirements.,TB-R009
92,34,Telecommunication,,,TELECOMMUNICATIONS SYSTEM MODIFICATION - SCOPE OF WORK,,BIDDER requests COMPANY to provide COMPANY approved Cyber security consultant vendor list.,This list is part of the COMPANY's approved vendor list (AVL) which is included in the RFT package.,TB-R009
93,35,Electrical,,,Eletrical,,BIDDER requires the voltage level available in the Borouge 3 facility to develop the new plant's electrical one-line diagram,Company will revert back,TB-R009
94,36,Electrical,,,EXHIBIT-B.13 Rev 0,,"As per EXHIBIT-B.13 Rev 0 page 118, section 4.4.9,
""Minimum contents for Electrical discipline shall be as follows:
4. Cable routes (such as trays, cables, trenches, and conduits)
5. High voltage and medium voltage cables shall be shown in SP3D.""
BIDDER requests COMPANY to confirm that cables mentioned in point 4 only refers to high voltage and medium votage cable, which means other cables like LV cable, control cable, FO cable, etc. are not required for SP3D.","Bidder shall refer to following company procedures for SP3D attributes along with Exhibit B13
TE-ST-006  SmartPlant Data Deliverable Standard
TE-ST-005 Engineering Data Deliverable Standard

It seems Bidder is not referring to the latest Exhibit B13 Rev 1 shared with Bidders via TB-021. Exhibit B13, TE-T-005 & 6 re-attached for reference.",TB-R009
95,37,Electrical,,,EXHIBIT-B.13 Rev 0,,"As per EXHIBIT-B.13 Rev 0 page 118, section 4.4.9,
""Minimum contents for Electrical discipline shall be as follows:
4. Cable routes (such as trays, cables, trenches, and conduits)""

BIDDER requests COMPANY to confirm that the conduits requested for SP3D only refer to the conduit inside the duct bank.","Bidder shall refer to following company procedures for SP3D attributes along with Exhibit B13
TE-ST-006  SmartPlant Data Deliverable Standard
TE-ST-005 Engineering Data Deliverable Standard

It seems Bidder is not referring to the latest Exhibit B13 Rev 1 shared with Bidders. Exhibit B13, TE-T-005 & 6 attached for reference.",TB-R009
96,38,Electrical,,,EXHIBIT-B.11,,"As per EXHIBIT - B.11, page 93,  Section B.11.2.14.3 PoBIDDERr System Studies,
""Relay coordination Study and Protection setting shall be performed for all new and existing areas by specialized COMPANY approved third party.""

BIDDER requests COMPANY to confirm that only Relay Coordination Study and Protection Setting shall be performed by third party, other system study are not requested for third party.","The engineering studies to be performed shall include but not be limited to the below by Third party consultant as per ADNOC  AVL                                                                            • Load flow Study• Short circuit Study
• Motor starting study
• Harmonic Study and Resonance study
• Arc flash Study
• Relay coordination Study and Protection setting                                                                              CONSULTANT shall perform all other studies necessary in the course of performance of the STUDY for proper project definition. Implementation of the recommendations and actions points resulting from such studies shall be performed by the CONSULTANT as part of its scope.                                                                     ",TB-R009
97,39,Electrical,,,,,"IPCS shall be considered as part of this project for control and monitoring the electrical system of the new Substation, COMPANY to confirm that this new IPCS system is not requested to link with any existing substation. ",Bidder to note that IPCS shall be considered for new facitlies in RSHT-2 which shall be linked to exiting facilities of RSHT-2,TB-R009
98,40,Electrical,,,Tender Bulletin Number TB-R001,,"As per Tender Bulletin Number TB-R001,
""5. BIDDERs to assume a length of 4,000 m for each of the utilities connected to Borouge for the purpose of quoting.""

BIDDER request COMPANY to confirm that supply for this project new substation is 11kV.","As on date Bidder to consider 4000m power cable and for voltage level  of SS, company will revert .",TB-R009
99,41,Electrical,,,Tender Bulletin Number TB-R001,,"As per Tender Bulletin Number TB-R001,
""5. BIDDERs to assume a length of 4,000 m for each of the utilities connected to Borouge for the purpose of quoting.""

BIDDER request COMPANY to clarify whether the cable routing of 4000m is under contractor scope or not.","Bidder to note that new 4000m power cable termination at both end, laying and routing is in Bidder scope",TB-R009
100,42,Electrical,,,DB-5312-00-EL-001,,"As per 4.5 AMENDMENTS TO SECTION 22 Lighting.
""For all street lighting, fence lighting and flood lighting, LED lamps shall be used.""
HoBIDDERver, as per SECTION 22 Lighting,
""Use of high pressure sodium vapour flood lights shall be maximized as far as possible for illumination of open general areas.""

BIDDER requests Comapny to confirm that all lighting fixtures for this project shall be LED.",Bidder understanding is correct. All lighting fixtures in this project shall be LED ,TB-R009
101,43,HVAC,,,DB-5312-00-ME-003_0,,Please provide the COMPANY DGS documents of HVAC discipline with latest version which is listed in chapter 3.1 of DB-5312-00-ME-003.,All relevant ADNOC AGES will be handed over,TB-R009
102,44,HVAC,,,RP-5312-00-ME-004_0,,"Please provide HVAC drawings of existing buildings including SS#1, SS#2, SS#3 and SS#4 that need to be checked for adequacy of HVAC systems.",Bidder to note that the listed SS in query are in RSHT-1 which is not in scope of current project.  All new buildings of this project is in RSHT-2 shall be provided with new HVAC system ,TB-R009
103,45,Piping,,,General,,COMPANY is requested to provide specification of the jacket pipe.,Specification wii be attached with the reply. However Bidder shall note that specifications EPC Contractor shall develop it  further during detail engineering to meet project scope.,TB-R009
104,1,General,,,"ANNEXURE 9-3
FEED Endorsement",,"Due to no FEED document for this Project, FEED Endorsement is not applicable. Please confirm the Bidder has no need to submit this document.","Bidder to assess & provide the requested design based on the following for new sulphur granulation plant in RSHT-2 for handling Hail & Ghasha liquid sulphur.
1) RFT FEED documents provided information (through put inlet flow &conditions, plant scheme & equipment configuration in RSHT-2, layout development & equipment locations in RSHT-2,associated system/utilities supporting process system...etc.)
2) Anticipated inteface & tie-in w.r.t piping/instrument/electrical/fire firefigting...etc.
3) Interface/tie-in extension/development from existing facilities.
4) Integration of the new sulphur granulation plant with existing facilities for solid sulphur handling & export.",TB-R010
105,2,QUALITY,,,EXHIBIT B.10 QUALITY MANAGEMENT REQUIREMENTS,,Pls provide the following documents as mentioned in EXHIBIT B.10:1) AGES-SP-13-001 Criticality Rating; 2) AGES-SP-13-002 Project Procurement and certification requirements; 3) AGES-SP-13-003 Traceability of Shop & Field Piping Materials;  4) AGES-SP-07-007 Welding & Non-Destructive Examination (NDE);  5) AGES-SP-07-011 Preservation and Export Packing Specification; 6) AGES-GL-13-001 Contractor's QA/QC requirements;7) AGES-GL-13-002 Positive Material Identification of Equiment and Piping,"Provided in a separate folder titled ""AGESs in Exhibit B.10""",TB-R010
106,1,,,,"OPERATIONS BUILDING, Design Criteria",Technical,"In relation to the OPERATIONS BUILDING, with a view to optimising the Design, therefore the Layout of the Building, by virtue of the new location of the Site, now within the Greenfield area, the BIDDER kindly asks the COMPANY which are the Design Criteria to be adopted or to confirm what was previously envisaged.",Bidders to consider the exact same design as provided for RSHT1.,TB-R011
107,1,,,,,Technical,"Bidder refers to below reply from COMPANY
""Number of cabinets will be assessed/designed/calculated by EPC contractor and his system supplier based on the new plant configuration and to cover all instrumentation of the new plant at new areaAny design optimisations/enhancement shall be conducted by successful EPC contractor after awards""

With reference to above response Bidder request as below.

Bidder's query raised earlier is related to HAIL and GASHA Cabinets (Which were Supplied by OPP Contractor) for Onshore Processing Plant (OPP). 
Bidder request Company to confirm the number of cabinets (which will be supplied by OPP Contractor) & which needs to be located inside the Rack Room of new substation in RSHT2.
",03 no. of cabinets will be supplied by the OPP contractor which shall be installed inside the rack room of new substation in RSHT-2,TB-R014
108,2,,,,,Technical,"Bidder refers to below reply from COMPANY
""the proposed number of machine/workstation is acceptable for the main control building, However, if bidder elect to have locale-room, then the e-room shall be equipped with addition engineering consols and operating  consoles and necessary accessories.Any design optimisations/enhancement shall be conducted by successful EPC contractor after awards""

Bidder understands the following, COMPANY to confirm the Bidder's understanding.

1) Number of operator / engineering / application workstations, as listed in sr. no.3a of TB-R07, are confirmed by COMPANY. However COMPANY to note that there was no separate Main Control Building  in EPC Contractor scope in RFT 6000066707 as it was inside existing SS-03 (MCR) & Bidder understands same is also not applicable in the new RSHT Proposal. The operator, engineering & application workstations will be located inside the new Operator & Engineering rooms in the new substation of RSHT2.

2) Bidder understands that virualization of machine is not a technically mandatory requirement hence the same is not considered by Bidder.
","1) Bidder's understanding is not correct. The facility will be operated from the main control building, therefore the required number of operator, engineering and application stations, servers and printers shall be provided in the existing MCR in RSHT-2. Additionally, there shall be operator and engineering workstations in the IER room of the new substation. Storage buildings E-Rooms shall be equipped with operator/application workstations. 

2) Please consider virtualization as it is a mandatory requirement",TB-R014
109,3,,,,,Technical,"Bidder refers to below COMPANY reply.

""For complete plant integration, Package control and safeguard shall be implemented in plant ICSS system bidder may elect to have a local room(e-room) inside/or outside the Storage 
building Any design optimisations/enhancement shall be conducted by successful EPC contractor after awards""

Bidder's request for Package PLC was inline with the below COMPANY response provided in Attachment-1 of TB-014 of RFT 6000066707 for Stacker /Reclaimer (S/R) Control System.

""It is hereby confirmed that the new stacker reclaimer and ship loader will be supplied with their controls as part of the package and the EPC scope is limited to the interface between the DCS and package controls""

Stacker /Reclaimer (S/R) Control System (i.e. PLC) is preferred to be supplied by Stacker /Reclaimer (S/R) vendor for trouble-free operation of Stacker / Reclaimer & to avoid the the design / integration issues due to implementation in ICSS as Package PLC was already accepted in TB-014 of RFT 6000066707.
",Bidder's understanding is not correct. TB-14 has no mention of 'PLC'. Package controls for the Stacker/Reclaimer shall reside in the DCS (ICSS) and hardware/software to be included in the vendor's scope of supply. EPC scope will be the integration of the package controls with the ICSS. The same applies for the Ship Loader.,TB-R014
110,4,,,,,Technical,"In accordance with Note 9 of Table A.1.1, ""Block Separation Distances,"" from the AGES-GL-03-001 standard, the Bidder understands that it is acceptable to maintain a safety distance of 60 meters between the linear sulfur storage and the existing fire water station.

Additionally, to support this approach: the scenarios identified in the QRA and FERA conducted during the FEED phase indicate negligible consequences for receptors located at 60 meters, and the linear sulfur storage is equipped with remotely controlled monitors, ensuring effective fire protection and safety measures.
","
-	Bidder Understanding is correct 
-	During EPC Stage EPC FERA / QRA shall be conducted.
-	The distance between Terminal 2 Firewater Station and new proposed linear storage area is more than the listed distance in GL-03-001 
-	Please mention document number for the FEED FERA / QRA bidder is referring to
",TB-R014
111,5,,,,,Technical,"Subject: Sanitary water
Bidder understanding is that sanitary water generated by the new buildings will be sent to the nearby sanitary water treatment facility of RSHT-2.
Bidder will consider dedicated lifting station to send sanitary water stream to Client Battery Limit. Company to confirm.","Noted for dedicated lifting stations (required number to be confirmed based on new RSHT-2 layout) design as part fo RSHT-2 design. However, Bidder to provide assessment of total sanitary water generated from new RSGP in RSHT-2 and also assess whether existing RSHT-2 Sanitary water treatment facility can handle the same. ",TB-R014
112,6,,,,,Technical,"Subject: laboratory. 
Bidder understanding that no laboratory building nor equipment is to be provided in rebid. The laboratory equipment of existing plants will be used . Company to confirm","No separate laboratory building is required.However, successful bidder to comply to terms & conditions of the agreement(referring to Exhbit B.11) for inspection, testing & commissioning ...etcrequriements during the course of the project. Bidders to further note that the COMPANY existing lab facilities shall not be utilised by EPC contractor during the course of project.",TB-R014
113,7,,,,,Technical,"With reference to RSHT-1 from ITB and existing plant P&IDs, Bidder noticed that everywhere single PSV (No spare PSV) is considered. Bidder will follow same philosophy for RSHT-2 for PSVs.
","Bidder to follow same philosophy based on RSHT-1 ITB. However, for RSHT-2 SGP design, Bidder to review this requirement for any new system/interface or new package requirement identified and not there as part of RSHT-1 ITB design.",TB-R014
114,8,,,,,Technical,"With reference to RSHT-1 from ITB and existing plant P&IDs, Bidder will follow same philosophy for RSHT-2 for Isolation.","Bidder to follow same philosophy based on RSHT-1 ITB. However, for RSHT-2 SGP design, Bidder to review this requirement for any new system/interface or new package requirement identified and not there as part of RSHT-1 ITB.",TB-R014
115,9,,,,,Technical,"Bidder is designing  the settlement pond considering one one hour of fire water demand with a reduction factor of 20%. Query is raised since the fire water demand that was indicate in the feed document ""Firewater Demand Calculation Report (RP- 5312-00-SA-008 ) "" is 1817 m^3 /hr , but the figure used as firewater demand for settlemet pond design in document  ""ZERO DISCHARGE SETTLEMENT POND 
CALCULATION    CA-5312-30-CI-012""  was 616 m3/h. Company to confirm one hour of firewater demand as design parameters with 20% of reduction factor. 
","Bidder to refer Cl.10.12 of AGES-SP-01-007 for Evaporation Pond Sizing but not limited to HSE requirement including the minimum hours required for firefighting and cooling, in any case chosen overflow to sea shall be avoided and all EPC phase HSEIA guidelines and recommendations shall be adhered.",TB-R014
116,10,,,,,Technical,"With reference to the TQ regarding Buildings sent on 29/11/2024 (Buildings Design Criteeria), for the OPERATIONS BUILDING, the BIDDER informs the COMPANY that it is proceeding with the optimization of the Design of such Building, including within it a Rack Room, an Operator Room and an Engineering Room, increasing the HVAC Room, as needed.
BIDDER kindly asks the COMPANY to confirm this approach.
",Bidder to note that the Plinth Areas shown in the respective RSHT-1 RFT FEED Drawings including height of the respective floors shall be considered for bidding purpose. The successful Bidder shall develop further during EPC Stage in-line with PROJECT/COMPANY Specifications & Standards without any cost/schedule impact to COMPANY.,TB-R014
117,11,,,,,Technical,"Bidder understood that Energy Report had been issued during FEED and no further report is required. In any case since , as per HSE-RM-ST02 Appendix 4, Energy Review is required, Bidder assumes that current Feed Energy Review can be included in EPC, as it is, with the addition of the final EPC Close Out Report, in which the Feed recommendations, if still applicable,  are closed. 
 ","Bidder to note that, the existing FEED Energy report to be reviewed & updated for sulphur granulation plant design required in RSHT-2 terminal. This is considering the new interfaces envisaged for utlities from adjacent plant/units.",TB-R014
118,1,,,,"Document n.: 1005312, New RSGP at RSHT2 for Hail and Ghasha
SCOPE OF WORK Package 1 for SGP (RFT 6000066707- Revised).
Tender Bullettin:  TB-09, 
UTILITIES/PROCESS",Technical,"With reference to  Company's statement  in document 1005312, on Utilities connections.  

<quote>
""All required utilities shall be supplied from the Borouge 3 facility . Bidders shall conduct the necessary feasibility study, coordination, and interfacing with Borouge to establish these connections in compliance with project requirements"".
<Unquote>

and with reference to Company statement in point 1 and 18 of TB-09.

Bidder understanding is that,  due to the unavailability of suitable documentation to evaluate: connections with Borouge 3  and RSHT-2 plants , utilties  consumptions and due to the necessary time to develop an adequacy report, the Adequacy Report Studies and the Tie-in schedule will be developed during EPC stage with related schedule and cost impact evaluation. Company kindly  to confirm.","1)  Tentative utility interfaes with RSHT-2 existing facility for new SGP is as below;
a) Process water/Potable water/Fire water
b) Sewer water disposal to existing RSHT-2 effluent treatmet system
Bidder to note that for the above, necessary RSHT-2 as-built documents are provided to bidder to asses whether existing RSHT-2  facility will be able to supply new demand required for SGP in RSHT-2. 
Bidder to confirm the same. Further also confirm whether desalinated water quality/specification available in existing RSHT-2 is suitable for process water/potable water quality required for new SGP.
2)  Tentative utility interfaes with Borouge existing facility for new SGP is as below;a)Power
b) Nitrogen
c) Instrument Air & plan Air
d) HP Steam & Boiler FEED water
e) Steam Condensate return
Bidder to note that for the above, necessary battery limit condition available @ Borouge plant  shall be provided to Bidder ASAP in coming TB for Bidder considerations. Further Bidder advised to consider additional design systems if required to meet the required battery limit conditions for new SGP.
Further, as part of this Bidders to consider extension, routing & necessary infrastructure for identified utilities from Borouge & RSHT-2 plant area to new SGP in RSHT-2. ",TB-R016
119,2,,,,"RP-5312-00-PR-023 “PROCESS SIZING CALCULATIONS FOR EQUIPMENT
HSE/UTILITIES",Technical,"Bidder highlights that in document No.: RP-5312-00-PR-023 “PROCESS SIZING CALCULATIONS FOR EQUIPMENT”,  page 49 and following, the steam sealing system of Sulphur tanks is calculated not considering the  tank volume required in NFPA 655 but only a portion of the tank volume. With this feed design approach, that seems not having a validation, the  steam consumption is low.Bidder instead will follow NFPA 655 requirements  for snuffing system sizing that requires for: 0.45 kg/min of steam for every 2.83 m3 of tank volume on a total working volume of 9500 m3 (16500 ton),  with such parameters a total flow of 93 t/h  of HP steam and a total flow of 22 ton/h of boiler  feed water for desuperheating shall be imported from Bouroge 3, so that a total amount of 115000 t/h of LP steam shall  be available for snuffing system. Company kindly  to confirm availability of such quantities of HP steam anf BFW from Bouroge 3.",Refer to company response provided in TB-023 issued earlier to Bidders as part RSHT-1 RFT package bid proposal.,TB-R016
120,3,,,,"FEED Utility flow diagram waste water 5312-40-A1-0105
UTILITIES",Technical,"Bidder understands that wastewater from water treatment can be sent to the sea outfall, as well as the settlement pond overflow. The routing of such streams from the RSGP battery limit to the outfall will be under the company's responsibility.
Any additional verification and assessment of the adequacy of the outfall, as well as obtaining any authorization for an independent discharge to the sea, requires a dedicated study and verification by the relevant environmental authority. This process will be managed by the company. Company to confirm.","Bidder to note that,currently there is no outfall available in the existing RSHT-2 facility. Hence Bidder needs to consider alternate option to dispose the waste water after treatment. Bidder requested to review the existing RSHT-2 facility provided as-built documents for the same. ",TB-R016
121,4,,,,"TB-09:  Integration of drainage systems with RSHT-2
UTILITIES",Technical,"Bidder understands that the adequacy of the drainage system of RSHT-2 for integration with the new RSGP will be developed during the EPC phase with an adequacy report. The conclusions of this report, along with any resulting modifications, will be treated as a change order and the potential impact on the schedule will be verified. Please confirm.","Bidder to confirm is this sewer system mentione for? 
Bidder to note that,suitable assessment and design to be considered for sewer system (for e.g., new sewer lift system design at required locations in new SGP)  and discharge sewer water from new sewer systems to existing RSHT-2 facility effluent system.
Note that, the necessary existing RSHT-2 as-built documents for sewer/effluent system are provided to Bidder to consider proper assumptions/basis in terms of design and accordingly lump cost be considered during Bid proposal stage.",TB-R016
122,5,,,,"Utility water composition
UTILITIES",Technical,"Company to confirm  that the Utility water composition received at BL from RSHT-2 wil be of the same quality of  the process water indicated in the FEED document:"" Process Basis of Design""  DB-5312-00-PR-001 , table 5.6.1 Process Water",Refer to reply provided in point.no.1 above for the same.,TB-R016
